,X1,X2,labels,Player,Status,Player_ID,url
383,-3.19140329246,1.56635673968,Combo Guards,Mo Williams,Inactive,willima01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/willima01.html
384,-2.67064024639,-0.237080138324,Scoring Wings,Monta Ellis,Active,ellismo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/e/ellismo01.html
385,1.49476170518,0.278425256536,Offensive Centers,Montrezl Harrell,Active,harremo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/harremo01.html
386,3.15476705744,-0.164297101882,Offensive Centers,Myles Turner,Active,turnemy01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/turnemy01.html
387,-2.59274917273,0.404698436493,Scoring Wings,Nate Robinson,Inactive,robinna01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/robinna01.html
388,-2.50112701852,0.823443568366,Combo Guards,Nate Wolters,Inactive,woltena01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/woltena01.html
389,2.96353874102,1.04892731764,Defensive Centers,Nazr Mohammed,Inactive,mohamna01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mohamna01.html
390,0.919911399201,-0.237408053734,Versatile Forwards,Nemanja Bjelica,Active,bjeline01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bjeline01.html
391,1.73833415825,-0.0451216649361,Offensive Centers,Nene Hilario,Active,hilarne01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hilarne01.html
392,2.13635261085,-0.0946207198934,Offensive Centers,Nerlens Noel,Active,noelne01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/n/noelne01.html
393,-2.85855663653,0.845511058292,Combo Guards,Nick Calathes,Inactive,calatni01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/calatni01.html
394,2.35926175347,0.466438616453,Offensive Centers,Nick Collison,Active,collini01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/collini01.html
395,-1.40186860336,-1.42225308334,Shooting Wings,Nick Young,Active,youngni01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/y/youngni01.html
396,-0.389104265991,-0.366199817285,3-and-D Wings,Nicolas Batum,Active,batumni01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/batumni01.html
397,-1.61787175126,-0.923274384682,Shooting Wings,Nik Stauskas,Active,stausni01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/stausni01.html
398,2.76395183722,2.05645481539,Defensive Centers,Nikola Jokic,Active,jokicni01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jokicni01.html
399,0.856212744605,-1.30758577913,Versatile Forwards,Nikola Mirotic,Active,mirotni01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mirotni01.html
400,2.98869200204,0.715064934972,Defensive Centers,Nikola Pekovic,Inactive,pekovni01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/pekovni01.html
401,3.20891621161,0.915661204361,Defensive Centers,Nikola Vucevic,Active,vucevni01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/v/vucevni01.html
402,2.04582390558,0.226532738698,Offensive Centers,Noah Vonleh,Active,vonleno01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/v/vonleno01.html
403,-1.73977509083,-1.26365395312,Shooting Wings,Norman Powell,Active,powelno01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/powelno01.html
404,-3.10117447312,0.308350818608,Combo Guards,Norris Cole,Inactive,coleno01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/coleno01.html
405,-1.74804606461,-0.496813815208,Shooting Wings,O.J. Mayo,Inactive,mayooj01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mayooj01.html
406,2.53260434418,-0.0520947037522,Offensive Centers,Omer Asik,Active,asikom01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/asikom01.html
407,0.690527335154,-1.1544690444,Versatile Forwards,Omri Casspi,Active,casspom01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/casspom01.html
408,-0.854518399792,-0.512502590262,Shooting Wings,Orlando Johnson,Inactive,johnsor01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/johnsor01.html
409,0.468874409293,-1.40052183881,3-and-D Wings,Otto Porter,Active,porteot01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/porteot01.html
410,-0.654913368164,-1.51844591036,3-and-D Wings,P.J. Hairston,Inactive,hairspj02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hairspj02.html
411,-0.200256543842,-1.20611823255,3-and-D Wings,P.J. Tucker,Active,tuckepj01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/tuckepj01.html
