position_one,position_two,position_three,position_four,position_five,unique_id,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
3-and-D Wings,Versatile Forwards,Combo Guards,Combo Guards,Offensive Centers,12001.01,4,71,116.3,94.5,21.8,54.1,1.5,17.6,16.7,87.3,56.8,0.2,60.8,63.9,97.19,61.5
Offensive Centers,Combo Guards,Defensive Centers,3-and-D Wings,Floor Generals,11010.011,13,71,118.6,97.3,21.4,64.1,2.05,19.7,28.8,78.4,57.9,0.1,55.9,61.3,102.13,69.8
Scoring Wings,Combo Guards,Versatile Forwards,Shooting Wings,Defensive Centers,1101.101,16,67,122.8,101.5,21.3,58.6,2.13,19.9,26.5,63.5,45.5,0.1,61.6,62.9,86.33,64.2
Shooting Wings,3-and-D Wings,Versatile Forwards,Offensive Centers,Combo Guards,11101.01,23,97,115.3,94.5,20.8,61.4,2.16,18.6,25.8,77.2,51.4,0.1,52.4,57.9,103.72,63.1
Offensive Centers,Versatile Forwards,Floor Generals,Defensive Centers,3-and-D Wings,10011.011,20,69,114.2,93.6,20.7,63.8,1.61,17.9,41.4,80.3,61.3,0.2,49.6,56.7,98.93,67
Versatile Forwards,3-and-D Wings,Floor Generals,Defensive Centers,3-and-D Wings,11.021,20,67,98.6,77.9,20.6,58.3,1.65,15.3,24.6,77.3,50.4,0.1,41.8,49.3,97.55,69.9
Scoring Wings,3-and-D Wings,Defensive Centers,Floor Generals,Shooting Wings,110.111,36,130,118.2,98.2,20,60.5,2.09,17.8,31,71.2,50.2,0.1,53.1,57.7,99.69,63.6
Defensive Centers,3-and-D Wings,Scoring Wings,Defensive Centers,Scoring Wings,0.212,15,92,115.6,95.6,20,51.2,1.68,17.3,31.5,86.1,58.6,0.1,55,58.4,95.5,60.3
Offensive Centers,Defensive Centers,Floor Generals,Shooting Wings,Scoring Wings,10110.101,16,155,115,95,19.9,63.1,2.24,21.2,16.4,75.8,49.8,0.1,60.2,61.6,102.81,64.1
Shooting Wings,3-and-D Wings,Offensive Centers,Combo Guards,Scoring Wings,11100.11,29,67,110.1,90.6,19.4,67.9,1.89,16.7,20.3,78.3,47.3,0.1,47.6,56.8,108.08,67
Offensive Centers,Defensive Centers,Versatile Forwards,Floor Generals,Shooting Wings,10111.001,18,273,111.1,91.7,19.4,67.1,2.23,21.3,25.4,80.5,54.2,0.1,55.7,56.9,97.27,62.1
Shooting Wings,Offensive Centers,Floor Generals,Versatile Forwards,3-and-D Wings,10111.01,39,178,106,86.7,19.3,69.7,2.41,20.8,15.7,80.3,50,0.1,52.4,55.7,96.98,62.4
Defensive Centers,Shooting Wings,Scoring Wings,Combo Guards,Versatile Forwards,1101.101,44,142,115.8,97.5,18.3,38,1.09,11.7,29.4,71.8,54.1,0.1,54.2,59,92.93,61.9
3-and-D Wings,Defensive Centers,Versatile Forwards,Floor Generals,Shooting Wings,111.011,29,158,104.3,86,18.3,63.3,1.9,17.9,18.7,72,46.1,0.1,50.7,54,98.59,61.4
Defensive Centers,3-and-D Wings,Defensive Centers,3-and-D Wings,Combo Guards,1000.022,59,816,113.3,95.6,17.8,61.9,1.82,19.6,31.6,77.5,56.9,0.2,54.6,58,97.9,62.6
Shooting Wings,3-and-D Wings,Defensive Centers,Shooting Wings,Floor Generals,210.011,20,70,113.6,95.8,17.8,60,2.25,18.1,28.1,79.7,52.8,0.1,52,56,99.11,59.7
Scoring Wings,Offensive Centers,Defensive Centers,Floor Generals,Shooting Wings,10110.101,21,84,122.9,105.6,17.4,73.6,3.12,21.3,12.9,72.9,45.8,0.1,62.1,64.2,103.56,64.6
Shooting Wings,Defensive Centers,Combo Guards,Shooting Wings,Versatile Forwards,1201.001,26,80,115.7,98.9,16.8,38.5,1.32,11.5,31.7,76.7,57.7,0.1,52.6,57.5,106.54,63.5
Defensive Centers,Versatile Forwards,3-and-D Wings,Combo Guards,Offensive Centers,11001.011,21,81,108.8,92,16.8,63.6,1.62,19.1,24.3,81.3,53.8,0.2,53.7,57.6,93.58,60.2
Defensive Centers,Combo Guards,Versatile Forwards,3-and-D Wings,3-and-D Wings,1001.021,31,254,111.7,95.1,16.6,70.8,1.82,22.1,16.3,76.4,50.4,0.2,60.9,62.4,105.66,59.5
Shooting Wings,3-and-D Wings,Shooting Wings,Defensive Centers,3-and-D Wings,200.021,21,67,108.7,92.1,16.5,49,1.09,14.9,28,81.5,58.3,0.2,52.9,58.4,95.28,61.7
Versatile Forwards,Offensive Centers,Scoring Wings,3-and-D Wings,Shooting Wings,10101.11,18,69,108.9,92.4,16.5,68.3,2.53,21.3,16.9,84.1,50,0.1,55.4,56.7,103.59,61.3
Defensive Centers,Scoring Wings,Combo Guards,Versatile Forwards,Shooting Wings,1101.101,42,297,111.1,94.7,16.4,57,1.55,16.7,26.9,70.7,50.1,0.1,53.1,57.3,91.24,62.9
Defensive Centers,Scoring Wings,Shooting Wings,Scoring Wings,Defensive Centers,100.202,25,86,114.4,98.4,16,60,1.77,16.6,32.9,76.5,55,0.1,50,55.9,92.2,59.4
Offensive Centers,Defensive Centers,Scoring Wings,3-and-D Wings,Combo Guards,11000.111,31,121,107.8,92.2,15.6,64,2,19.1,27.6,81.5,54.9,0.1,49.3,54.6,95.68,60.6
Offensive Centers,Versatile Forwards,Scoring Wings,3-and-D Wings,Scoring Wings,10001.21,41,114,113.2,97.9,15.3,66.7,2.13,21.1,18.5,74.3,48.2,0.1,56,60.1,95.15,59.4
Defensive Centers,Shooting Wings,Shooting Wings,Versatile Forwards,Combo Guards,1201.001,16,78,101.7,86.5,15.2,52.7,1.21,14.6,30.6,77.1,53.5,0.2,48.1,51.5,90.54,59
3-and-D Wings,Offensive Centers,Shooting Wings,Combo Guards,Combo Guards,12100.01,20,81,120.9,105.7,15.2,54.2,3.25,19.1,16.2,76.7,47.5,0.1,58.3,60.8,92.96,52.9
Scoring Wings,Defensive Centers,Floor Generals,Shooting Wings,Shooting Wings,210.101,27,83,116.8,102.1,14.8,64.3,1.73,19.5,11.5,84.6,49.2,0.1,61.9,65.4,99.01,60.5
Combo Guards,Shooting Wings,Versatile Forwards,Offensive Centers,3-and-D Wings,11101.01,37,272,115.2,100.6,14.6,56.7,2.4,17.8,22.4,78.2,50.1,0.1,53,57.4,93.2,58.5
Versatile Forwards,3-and-D Wings,Combo Guards,Scoring Wings,Offensive Centers,11001.11,36,290,113.2,98.8,14.4,61.1,1.64,18.7,25.3,75.2,51.2,0.2,56.7,59.4,100.92,57.3
