,Player,Pos
361,Bobby Portis,PF
362,Kristaps Porzingis,PF
363,Dwight Powell,C
364,Norman Powell,SG
365,Ronnie Price,PG
366,Tim Quarterman,SG
367,Chasson Randle,PG
368,Julius Randle,PF
369,Zach Randolph,PF
370,J.J. Redick,SG
371,Willie Reed,C
372,Josh Richardson,SG
373,Malachi Richardson,SG
374,Austin Rivers,SG
375,Andre Roberson,SF
376,Brian Roberts,PG
377,Glenn Robinson,SF
378,Thomas Robinson,PF
379,Sergio Rodriguez,PG
380,Rajon Rondo,PG
381,Derrick Rose,PG
382,Terrence Ross,SF
383,Terry Rozier,PG
384,Ricky Rubio,PG
385,Damjan Rudez,SF
386,Brandon Rush,SG
387,D'Angelo Russell,PG
388,Domantas Sabonis,PF
389,Dario Saric,PF
390,Tomas Satoransky,SG
391,Dennis Schroder,PG
392,Luis Scola,PF
393,Mike Scott,PF
394,Thabo Sefolosha,SF
395,Kevin Seraphin,PF
396,Ramon Sessions,PG
397,Iman Shumpert,SG
398,Pascal Siakam,PF
399,Jonathon Simmons,SG
400,Kyle Singler,SF
401,Marcus Smart,PG
402,Ish Smith,PG
403,J.R. Smith,SG
404,Jason Smith,C
405,Tony Snell,SF
406,Marreese Speights,C
407,Nik Stauskas,SG
408,Lance Stephenson,SG
411,Jarnell Stokes,PF
412,Diamond Stone,C
413,Rodney Stuckey,PG
414,Jared Sullinger,PF
415,Walter Tavares,C
416,Jeff Teague,PG
417,Mirza Teletovic,PF
418,Garrett Temple,SG
419,Jason Terry,SG
420,Isaiah Thomas,PG
421,Lance Thomas,PF
422,Hollis Thompson,SG
423,Klay Thompson,SG
424,Tristan Thompson,C
425,Marcus Thornton,SG
426,Anthony Tolliver,PF
427,Karl-Anthony Towns,C
428,P.J. Tucker,SF
429,Evan Turner,SG
430,Myles Turner,C
431,Beno Udrih,PG
432,Tyler Ulis,PG
433,Jonas Valanciunas,C
434,Denzel Valentine,SG
435,Fred VanVleet,PG
436,Anderson Varejao,C
437,Greivis Vasquez,PG
438,Rashad Vaughn,SG
