,Age,Height,Weight,Pos,cleaned_player
269,31,6-9,220,SF,luol deng
270,21,6-6,205,SG,malachi richardson
271,24,6-5,215,SG,malcolm brogdon
272,27,6-3,190,PG,malcolm delaney
273,20,6-5,196,SG,malik beasley
274,39,6-6,205,SG,manu ginobili
275,32,7-1,255,C,marc gasol
276,33,6-3,200,PG,marcelo huertas
277,32,6-11,240,C,marcin gortat
278,30,6-5,210,SG,marco belinelli
279,27,6-9,235,SF,marcus morris
280,22,6-4,220,PG,marcus smart
281,29,6-4,205,SG,marcus thornton
282,21,6-8,218,SF,mario hezonja
283,27,6-10,245,PF,markieff morris
284,19,6-10,233,PF,marquese chriss
285,29,6-10,255,C,marreese speights
286,24,7-1,250,C,marshall plumlee
287,30,6-9,237,PF,marvin williams
288,26,6-11,255,C,mason plumlee
289,36,6-7,226,SF,matt barnes
290,26,6-4,198,PG,matthew dellavedova
291,23,6-9,220,SF,maurice harkless
292,24,6-9,200,PF,maurice ndour
293,37,6-7,260,SF,metta world peace
294,24,7-1,255,PF,meyers leonard
295,28,6-10,235,SF,michael beasley
296,25,6-6,190,PG,michael carter-williams
297,24,6-7,200,SG,michael gbinije
298,23,6-7,232,SF,michael kidd-gilchrist
299,29,6-1,175,PG,mike conley
300,36,6-9,230,SF,mike dunleavy
301,36,6-8,218,SF,mike miller
302,25,6-11,240,C,mike muscala
303,28,6-8,237,PF,mike scott
304,28,6-11,249,C,miles plumlee
305,27,6-9,215,SF,mindaugas kuzminskas
306,31,6-9,245,PF,mirza teletovic
307,31,6-3,185,SG,monta ellis
308,23,6-8,240,PF,montrezl harrell
309,20,6-11,243,C,myles turner
310,28,6-10,225,PF,nemanja bjelica
311,22,6-11,228,C,nerlens noel
312,36,6-10,255,PF,nick collison
313,31,6-7,210,SG,nick young
314,28,6-8,200,SG,nicolas batum
315,23,6-8,215,SF,nicolas brussino
316,27,6-4,180,PG,nicolas laprovittola
317,23,6-6,205,SG,nik stauskas
318,21,6-10,250,C,nikola jokic
319,26,6-10,238,PF,nikola mirotic
320,26,7-1,260,C,nikola vucevic
321,21,6-9,245,PF,noah vonleh
322,23,6-4,215,SG,norman powell
323,24,6-8,204,PF,okaro white
324,30,7-1,255,C,omer asik
325,28,6-9,225,SF,omri casspi
326,23,6-8,198,SF,otto porter
327,22,6-9,230,PF,pascal siakam
328,24,6-5,210,SG,pat connaughton
329,28,6-1,185,SG,patrick beverley
330,21,6-7,185,SG,patrick mccaw
331,27,6-9,235,PF,patrick patterson
332,28,6-1,185,PG,patty mills
333,36,7-1,250,C,pau gasol
334,26,6-9,220,SF,paul george
335,32,6-8,246,PF,paul millsap
336,39,6-7,235,SF,paul pierce
337,22,6-8,210,SF,paul zipser
338,25,5-10,180,PG,pierre jackson
339,26,6-7,240,PF,quincy acy
340,30,6-1,186,PG,rajon rondo
341,25,6-9,250,PF,rakeem christmas
342,30,6-3,190,PG,ramon sessions
343,33,6-4,218,SG,randy foye
344,20,6-6,202,SG,rashad vaughn
345,24,6-1,179,PG,raul neto
346,32,6-1,205,PG,raymond felton
347,25,6-7,205,SF,reggie bullock
348,26,6-3,208,PG,reggie jackson
349,30,6-6,205,SF,reggie williams
350,36,6-7,233,SF,richard jefferson
351,23,6-10,245,C,richaun holmes
352,26,6-4,190,PG,ricky rubio
353,26,6-9,215,SF,robert covington
354,28,7-1,255,C,robin lopez
355,24,6-8,206,SG,rodney hood
356,25,6-4,205,SG,rodney mcgruder
357,30,6-5,205,PG,rodney stuckey
358,23,6-4,220,SG,ron baker
359,22,6-7,214,SF,rondae hollis-jefferson
360,33,6-2,190,PG,ronnie price
361,30,7-2,270,C,roy hibbert
362,30,6-8,230,SF,rudy gay
363,24,7-1,245,C,rudy gobert
364,28,6-3,200,PG,russell westbrook
365,28,6-10,240,PF,ryan anderson
366,25,6-11,230,PF,ryan kelly
367,30,7-2,245,C,salah mejri
368,22,6-9,230,SF,sam dekker
369,32,6-7,195,SG,sasha vujacic
370,27,6-4,219,SG,sean kilpatrick
371,24,6-3,190,PG,semaj christon
372,27,6-10,235,PF,serge ibaka
373,30,6-3,176,PG,sergio rodriguez
374,26,6-2,185,PG,seth curry
375,24,6-6,223,SF,shabazz muhammad
376,25,6-1,175,PG,shabazz napier
377,31,6-7,192,PG,shaun livingston
378,24,6-6,200,SG,sheldon mcclellan
379,26,6-3,203,PG,shelvin mack
380,20,6-11,225,PF,skal labissiere
381,25,6-7,225,SF,solomon hill
382,23,6-6,200,PG,spencer dinwiddie
383,28,7-1,245,PF,spencer hawes
384,20,6-7,245,SF,stanley johnson
385,28,6-3,190,PG,stephen curry
386,20,7-1,240,C,stephen zimmerman
387,33,6-10,225,PF,steve novak
388,23,7-1,255,C,steven adams
389,24,6-2,200,PG,tj mcconnell
390,31,6-9,236,PF,taj gibson
391,25,6-9,250,C,tarik black
392,25,6-9,255,PF,terrence jones
393,26,6-7,195,SF,terrence ross
394,22,6-2,190,PG,terry rozier
395,32,6-7,220,SF,thabo sefolosha
396,28,6-8,221,PF,thaddeus young
397,25,6-10,237,PF,thomas robinson
398,19,7-1,223,PF,thon maker
399,26,6-1,170,PG,tim frazier
400,22,6-6,190,SG,tim quarterman
401,30,7-1,275,C,timofey mozgov
402,21,6-6,205,SF,timothe luwawu-cabarrot
403,24,6-9,235,PF,tobias harris
404,25,6-7,210,SG,tomas satoransky
405,30,6-2,195,PG,toney douglas
406,35,6-4,213,SG,tony allen
407,34,6-2,185,PG,tony parker
408,25,6-7,217,SF,tony snell
409,23,6-6,226,SG,treveon graham
410,31,6-8,215,SF,trevor ariza
411,29,6-8,228,PF,trevor booker
412,24,6-1,191,PG,trey burke
413,21,6-10,234,PF,trey lyles
414,25,6-9,238,C,tristan thompson
415,25,6-4,205,SG,troy daniels
416,22,6-7,210,SF,troy williams
417,29,5-11,195,PG,ty lawson
418,22,6-3,194,PG,tyler ennis
419,24,6-4,186,PG,tyler johnson
420,21,5-10,150,PG,tyler ulis
421,27,7-1,253,C,tyler zeller
422,27,6-6,220,SG,tyreke evans
423,34,7-1,240,C,tyson chandler
424,20,6-2,195,PG,tyus jones
425,36,6-8,235,C,udonis haslem
426,24,6-4,210,SG,victor oladipo
427,40,6-6,220,SG,vince carter
428,29,6-4,200,SG,wayne ellington
429,29,6-7,215,SF,wesley johnson
430,30,6-5,220,SG,wesley matthews
431,26,6-6,175,SG,will barton
432,23,7-1,240,C,willie cauley-stein
433,26,6-11,245,C,willie reed
434,22,6-11,240,C,willy hernangomez
435,29,6-8,225,SF,wilson chandler
436,23,6-1,180,PG,yogi ferrell
437,21,6-5,185,SG,zach lavine
438,35,6-9,260,PF,zach randolph
439,33,6-11,275,C,zaza pachulia
