Status,Player,Pos,Player_ID,url,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DPM,BPM,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,%ASTd_3P,%_CORNER3PA,3P%_CORNER3
Active,Blake Griffin,PF,griffbl01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/griffbl01.html,447,15724,22.8,0.56,0.027,0.437,8.3,22.5,15.5,21,1.4,1.4,11.4,27.7,2.7,1.4,4.1,0.518,8.8,0.973,0.381,0.239,0.081,0.271,0.027,0.525,0.728,0.424,0.342,0.381,0.28,0.641,0.145,0.889,0.269,0.308
Active,Boban Marjanovic,C,marjabo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/marjabo01.html,77,667,27,0.628,0,0.583,17.8,27.6,22.8,6.2,1.1,3.7,10.6,23.2,1.7,0.5,2.2,0.566,4.8,1,0.442,0.397,0.132,0.029,0,0.566,0.72,0.469,0.344,0.571,0,0.642,0.165,0,0,0
Active,Bobby Brown,PG,brownbo02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/brownbo02.html,131,1504,8.7,0.457,0.388,0.093,1.8,5.6,3.7,22.6,1.2,0.2,14.5,22.9,-2.7,-4.5,-7.3,0.378,17.2,0.612,0.188,0.083,0.061,0.281,0.388,0.422,0.5,0.404,0.289,0.403,0.309,0.265,0.021,0.72,0.148,0.333
Active,Bobby Portis,PF,portibo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/portibo01.html,101,1574,13.8,0.487,0.149,0.166,11.2,20.2,15.7,7.3,1,1.3,10.7,19.8,-2.2,-1,-3.2,0.44,11.1,0.851,0.316,0.188,0.112,0.234,0.149,0.459,0.604,0.423,0.258,0.391,0.33,0.606,0.068,0.966,0.295,0.308
Active,Bojan Bogdanovic,SF,bogdabo02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bogdabo02.html,212,5451,11.7,0.56,0.45,0.209,2.2,11.3,6.7,7.6,0.8,0.2,11.9,19.5,-0.3,-2.5,-2.8,0.441,14.5,0.55,0.28,0.124,0.077,0.069,0.45,0.502,0.635,0.369,0.322,0.398,0.366,0.572,0.026,0.922,0.362,0.435
Active,Boris Diaw,PF,diawbo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/diawbo01.html,1039,28357,12.9,0.548,0.183,0.192,5.2,13.3,9.3,19.6,1.2,1.3,18.5,16.3,-0.3,1.1,0.7,0.494,10.7,0.817,0.361,0.188,0.076,0.192,0.183,0.529,0.647,0.479,0.355,0.425,0.338,0.574,0.02,0.977,0.167,0.332
Active,Bradley Beal,SG,bealbr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bealbr01.html,298,9847,15.3,0.536,0.341,0.212,2.6,9.6,6.1,15.5,1.6,0.7,10.5,24.1,1.1,-1,0,0.435,15.9,0.659,0.197,0.089,0.109,0.264,0.341,0.454,0.628,0.384,0.378,0.38,0.398,0.517,0.03,0.861,0.248,0.422
Active,Brandan Wright,PF,wrighbr03,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/wrighbr03.html,380,6232,20.5,0.626,0.006,0.308,9.5,15.7,12.6,4.5,1.4,4.9,8,16.8,0.6,1.1,1.7,0.607,4.8,0.994,0.526,0.322,0.11,0.035,0.006,0.611,0.743,0.48,0.435,0.373,0,0.783,0.213,0,0.083,0
Inactive,Branden Dawson,PF,dawsobr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/dawsobr01.html,6,29,7.1,0.46,0,0.2,7.6,7.4,7.5,0,0,2.7,0,8.5,-4.9,-1.7,-6.6,0.4,2.8,1,0.6,0.4,0,0,0,0.4,0.333,0.5,0,0,0,0.5,0,0,0,0
Active,Brandon Bass,PF,bassbr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bassbr01.html,744,16282,15.2,0.558,0.011,0.337,8,15.9,12,6.1,0.9,2.2,10.9,18.4,-1.5,0.3,-1.1,0.499,9.6,0.989,0.343,0.139,0.233,0.274,0.011,0.502,0.625,0.364,0.463,0.453,0.211,0.674,0.134,0.917,0.526,0.3
Inactive,Brandon Davies,PF,daviebr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/daviebr01.html,78,998,8.7,0.469,0.166,0.34,7.9,13.1,10.4,9.3,2.1,1.2,17.4,15.9,-4.3,-0.4,-4.7,0.411,9.6,0.834,0.396,0.204,0.102,0.132,0.166,0.448,0.533,0.352,0.407,0.371,0.227,0.697,0.045,0.9,0.068,0
