Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DPM,BPM,VORP
Alex Abrines,42,0,14,1.8,4.5,0.396,1.2,3.2,0.378,0.5,1.2,0.442,0.532,0.8,0.9,0.865,0.3,0.8,1.1,0.5,0.4,0.1,0.5,1.5,5.5,20.6,0.278,0.107,0.053,0.048,0.07,0.722,0.5,0.5,0.111,0.538,0.609,0.016,3,0.961,0.222,0.367,1,0,9.9,0.568,0.722,0.198,2.3,6.5,4.4,5,1.5,0.7,10.2,16.4,0.6,0.5,1.1,0.088,0,-2.6,-3.2,-0.2
Quincy Acy,237,51,14.9,1.7,3.5,0.495,0.2,0.7,0.359,1.5,2.8,0.527,0.529,0.9,1.2,0.757,1.1,2.4,3.5,0.6,0.4,0.4,0.6,1.9,4.6,10.9,0.811,0.393,0.121,0.08,0.215,0.189,0.662,0.41,0.439,0.382,0.72,0.159,123,0.982,0.404,0.381,1,0,12.8,0.572,0.189,0.334,8.2,18.3,13.1,6,1.4,2.2,13,13.8,4.4,2.8,7.3,0.099,0,0,-1.5,0.5
Steven Adams,282,218,23.2,2.9,5.2,0.568,0,0,0,2.9,5.1,0.57,0.568,1.4,2.5,0.582,2.6,3.8,6.3,0.8,0.6,1,1.3,2.7,7.3,3.1,0.997,0.635,0.325,0.034,0.003,0.003,0.649,0.441,0.38,0.2,0.692,0.224,278,0,0,0,2,0,14.7,0.585,0.003,0.479,12.6,17.1,14.9,5.1,1.3,3.4,16.8,13.9,9.3,8.7,18,0.132,0,1.6,0.9,4.8
Arron Afflalo,693,519,28.4,4.1,9.2,0.45,1.2,3,0.385,3,6.1,0.483,0.514,1.9,2.3,0.823,0.5,2.5,3,1.9,0.5,0.2,1.2,2,11.3,15.2,0.669,0.188,0.115,0.143,0.223,0.331,0.612,0.41,0.465,0.423,0.549,0.004,24,0.946,0.44,0.428,5,0,12.2,0.557,0.331,0.255,1.9,10,6,10.8,0.9,0.5,10.4,18,23.4,9.3,32.7,0.08,0,-1.3,-1,5.2
Alexis Ajinca,275,71,13.2,2.2,4.3,0.5,0,0.1,0.293,2.1,4.2,0.508,0.505,0.8,1.1,0.803,1.2,2.7,3.9,0.5,0.3,0.6,0.9,2.3,5.2,9.2,0.966,0.337,0.239,0.147,0.242,0.034,0.643,0.446,0.429,0.431,0.7,0.118,124,1,0.049,1,0,0,14.8,0.545,0.034,0.243,10,23.6,16.7,6.2,1.3,3.8,15.1,19.4,2.7,4.2,6.8,0.091,0,0.4,-2.5,-0.4
Cole Aldrich,304,23,10.7,1.4,2.6,0.531,0,0,0,1.4,2.6,0.531,0.531,0.6,0.8,0.747,1.1,2.5,3.6,0.6,0.4,0.8,0.6,1.6,3.4,3.7,1,0.469,0.493,0.03,0.003,0,0.684,0.403,0.292,0,0.69,0.133,94,0,0,0,0,0,17,0.568,0,0.298,11.3,27.2,19.2,8.8,2.1,5.7,17.7,15.2,3.9,5.7,9.6,0.141,0,3.5,1.3,2.7
LaMarcus Aldridge,769,728,34.8,7.8,16,0.487,0.1,0.4,0.281,7.7,15.6,0.492,0.49,3.5,4.3,0.802,2.6,5.7,8.3,1.9,0.8,1,1.6,2.5,19.1,11.1,0.978,0.242,0.204,0.199,0.333,0.022,0.7,0.439,0.41,0.422,0.574,0.065,727,0.909,0.347,0.326,16,0,20.4,0.535,0.022,0.273,8.8,19.1,14,10.1,1.2,2.3,8.1,25.7,52.8,31.8,84.5,0.152,0,0.5,1.3,21.9
Lavoy Allen,367,85,17.9,2.2,4.6,0.469,0,0,0.133,2.1,4.6,0.472,0.469,0.5,0.7,0.683,1.8,2.9,4.7,1,0.3,0.6,0.7,1.9,4.8,9.6,0.991,0.301,0.244,0.135,0.311,0.009,0.656,0.471,0.325,0.358,0.726,0.044,68,1,0.067,0,0,0,12.3,0.489,0.009,0.155,10.9,18.3,14.5,8.4,0.9,2.4,11.9,14,4.9,7.8,12.8,0.093,0,1.2,-1.4,1
Tony Allen,774,420,22.2,3.2,6.7,0.476,0.1,0.5,0.276,3,6.1,0.493,0.487,1.7,2.4,0.713,1.2,2.3,3.5,1.3,1.4,0.4,1.4,2.4,8.2,6.9,0.921,0.572,0.16,0.052,0.136,0.079,0.601,0.308,0.315,0.325,0.568,0.059,289,0.973,0.545,0.327,8,0,14.3,0.531,0.079,0.359,6.4,12.1,9.3,9.6,3.4,1.6,15.2,18.8,9.1,28.7,37.8,0.106,0,2.2,1.1,13.5
Al-Farouq Aminu,494,279,23.8,2.7,6.2,0.425,0.5,1.7,0.317,2.1,4.5,0.466,0.469,1.2,1.7,0.729,1.4,4.2,5.6,1.2,1,0.6,1.3,1.9,7.1,11.3,0.723,0.366,0.173,0.052,0.132,0.277,0.612,0.323,0.327,0.307,0.622,0.1,280,0.959,0.415,0.342,3,0,12.3,0.507,0.277,0.272,6.7,20.2,13.4,7.9,2.1,2,15.3,15.6,3.3,12.7,16,0.065,0,1.4,-0.3,4.9
Chris Andersen,695,45,17.7,1.9,3.6,0.532,0,0.1,0.221,1.9,3.5,0.541,0.535,1.5,2.3,0.654,1.7,3.3,5,0.5,0.4,1.4,0.7,1.9,5.4,5,0.973,0.695,0.084,0.07,0.123,0.027,0.636,0.276,0.291,0.326,0.678,0.243,552,0.933,0.235,0.375,10,1,16.7,0.581,0.027,0.65,11.3,22.1,16.7,4.4,1.3,6.3,13.7,13.9,20.2,19.5,39.7,0.155,0,2.7,1.2,9.8
Alan Anderson,320,66,21,2.6,6.5,0.404,1,3,0.345,1.6,3.5,0.455,0.483,1.2,1.5,0.816,0.5,1.7,2.2,1.2,0.6,0.1,0.9,1.8,7.5,16.2,0.539,0.201,0.109,0.096,0.132,0.461,0.644,0.338,0.402,0.297,0.48,0.02,38,0.866,0.354,0.365,9,0,10.3,0.525,0.461,0.237,2.6,9.7,6.1,8.9,1.4,0.4,11.3,17.7,3.6,3.6,7.2,0.052,0,-1.5,-2.1,-0.2
Justin Anderson,102,11,13,1.7,4.3,0.4,0.6,2,0.292,1.2,2.4,0.49,0.466,1.1,1.4,0.799,0.5,2.1,2.7,0.6,0.4,0.4,0.6,1.1,5.1,14.5,0.544,0.278,0.129,0.061,0.077,0.456,0.699,0.281,0.333,0.206,0.458,0.081,33,0.949,0.322,0.338,1,0,13.7,0.52,0.456,0.314,4.7,19.3,11.8,7.2,1.8,2.7,10.8,20,0.4,1.7,2.1,0.076,0,0.5,-1.6,0.1
Kyle Anderson,158,30,14.2,1.4,3.1,0.439,0.1,0.4,0.333,1.2,2.7,0.456,0.462,0.6,0.8,0.752,0.3,2.5,2.8,1.3,0.7,0.3,0.6,1,3.5,11.5,0.861,0.239,0.209,0.215,0.199,0.139,0.613,0.365,0.421,0.394,0.472,0.03,14,1,0.768,0.415,1,0,11.8,0.503,0.139,0.268,2.5,19.2,11.1,12.5,2.5,1.9,14.6,13.2,0.7,4.6,5.3,0.113,0,3.5,1,1.7
Ryan Anderson,536,211,26.5,4.6,10.8,0.423,2.1,5.5,0.38,2.5,5.2,0.468,0.52,2,2.3,0.861,2.1,3.4,5.5,0.9,0.6,0.4,1,2,13.2,16.6,0.488,0.24,0.08,0.056,0.112,0.512,0.555,0.362,0.351,0.42,0.451,0.022,117,0.963,0.186,0.386,11,0,17.3,0.559,0.512,0.212,9,15.1,12,5.8,1.1,1.1,7.9,22,30.5,10.6,41,0.139,0,-2.1,0.9,10.3
Giannis Antetokounmpo,288,223,31.3,5.2,10.5,0.496,0.4,1.4,0.283,4.8,9.1,0.528,0.514,3.3,4.5,0.738,1.3,5.4,6.7,3.4,1.1,1.2,2.3,3,14.1,8.4,0.868,0.5,0.158,0.062,0.147,0.132,0.666,0.327,0.328,0.359,0.489,0.146,415,0.735,0.185,0.23,7,0,17.5,0.566,0.132,0.433,4.9,19.4,12.2,17.7,1.8,3.4,15.5,21.2,11.5,10.8,22.3,0.119,0,1.9,2.2,9.4
Carmelo Anthony,955,955,36.2,8.9,19.6,0.452,1.2,3.4,0.345,7.7,16.2,0.475,0.482,5.9,7.3,0.813,1.8,4.8,6.6,3.1,1.1,0.5,2.8,2.9,24.8,12.3,0.825,0.326,0.081,0.136,0.282,0.175,0.591,0.338,0.397,0.418,0.443,0.055,968,0.784,0.114,0.349,43,0,21,0.545,0.175,0.374,5.7,15.1,10.4,16.3,1.5,1,10.9,31.5,65,31.5,96.4,0.134,0,-1.2,1.4,29.4
Joel Anthony,478,110,14.6,0.8,1.6,0.512,0,0,0,0.8,1.6,0.512,0.512,0.6,0.8,0.664,1.2,1.6,2.8,0.2,0.3,1.1,0.5,1.7,2.2,4,1,0.553,0.339,0.094,0.014,0,0.633,0.373,0.375,0,0.651,0.172,109,0,0,0,0,0,9.7,0.557,0,0.52,9.7,12.9,11.3,2,1,6.1,19.2,7.8,5.1,10.1,15.2,0.104,0,3.2,0.1,3.8
Trevor Ariza,850,549,29,3.8,8.8,0.426,1.3,3.6,0.353,2.5,5.2,0.478,0.499,1.6,2.3,0.716,1.1,3.7,4.8,2.1,1.5,0.3,1.4,2,10.4,14.2,0.588,0.326,0.078,0.047,0.138,0.412,0.617,0.278,0.214,0.35,0.568,0.075,531,0.931,0.373,0.406,19,1,13.7,0.531,0.412,0.255,4.3,14.8,9.5,11.4,2.7,0.9,12.6,17.4,18.7,31.8,50.5,0.098,0,1.4,1.7,22.8
Darrell Arthur,470,103,18.3,2.8,6.4,0.446,0.3,0.8,0.353,2.5,5.5,0.46,0.469,0.7,1,0.764,1.1,2.5,3.7,0.8,0.6,0.6,0.9,2.5,6.7,13,0.868,0.242,0.131,0.132,0.363,0.132,0.585,0.376,0.434,0.416,0.779,0.066,172,0.986,0.242,0.344,5,0,12.2,0.494,0.132,0.151,7.1,16,11.5,7.2,1.7,2.8,11.1,18.6,2.4,9.6,12.1,0.067,0,0.5,-1.8,0.3
Omer Asik,452,262,20,2.1,3.9,0.529,0,0,0,2.1,3.9,0.529,0.529,1.3,2.3,0.554,2.3,5.1,7.3,0.6,0.4,0.7,1.2,2,5.4,2.2,0.999,0.83,0.147,0.013,0.009,0.001,0.581,0.264,0.391,0.25,0.681,0.231,379,0,1,0,0,0,13.7,0.55,0.001,0.592,13,28.2,20.7,4.5,0.9,2.8,19.2,13.7,7.5,13.4,20.9,0.111,0,1.4,-1.4,1.3
DJ Augustin,626,190,23.9,3.1,7.8,0.403,1.2,3.3,0.373,1.9,4.5,0.426,0.483,2.1,2.5,0.862,0.3,1.5,1.8,3.9,0.6,0,1.5,1.5,9.7,15.6,0.575,0.257,0.109,0.062,0.146,0.425,0.516,0.293,0.341,0.403,0.217,0,0,0.715,0.183,0.409,40,2,14.1,0.544,0.425,0.318,1.2,7.4,4.3,27.3,1.3,0.1,14.5,20,21,10.2,31.2,0.1,0,-2.6,-1.5,1.7
Luke Babbitt,307,69,13.9,1.7,4.2,0.401,1,2.4,0.397,0.7,1.8,0.406,0.515,0.3,0.5,0.743,0.3,2,2.3,0.6,0.2,0.2,0.4,1.4,4.7,18.1,0.422,0.109,0.142,0.087,0.084,0.578,0.504,0.393,0.366,0.343,0.471,0.005,6,0.98,0.266,0.434,0,0,10,0.531,0.578,0.112,2.7,16.3,9.4,6.3,0.9,0.9,9.2,15.8,2.7,2.6,5.2,0.059,0,-1.8,-2.9,-1
Ron Baker,26,3,11.2,1.2,3.2,0.373,0.5,1.4,0.324,0.7,1.8,0.413,0.446,0.4,0.7,0.611,0.2,1.3,1.5,1,0.6,0.1,0.8,1,3.3,14.9,0.554,0.361,0.072,0.024,0.096,0.446,0.467,0.167,1,0.25,0.474,0,0,0.917,0.27,0.3,1,0,8.2,0.467,0.446,0.217,2.2,12.2,7.2,13,2.6,0.8,18,16.4,-0.2,0.2,0,-0.001,0,-0.5,-3.9,-0.1
Wade Baldwin,24,1,12.9,1.1,3.5,0.31,0.1,0.8,0.111,1,2.8,0.364,0.321,1.1,1.3,0.844,0.3,1.1,1.4,2,0.6,0.3,1.3,1.3,3.4,12.5,0.786,0.298,0.131,0.214,0.143,0.214,0.44,0.273,0.333,0.333,0.25,0.048,3,0.5,0.222,0,1,0,6.9,0.413,0.214,0.381,2.5,9.8,6.1,24,2.3,1.9,24,18.9,-0.6,0.4,-0.2,-0.028,0,0.8,-5.4,-0.3
Leandro Barbosa,832,112,21.7,4,8.7,0.46,1.2,3,0.389,2.8,5.7,0.498,0.527,1.5,1.8,0.82,0.4,1.6,2,2.1,0.8,0.1,1.2,2,10.7,13.3,0.654,0.347,0.094,0.067,0.146,0.346,0.62,0.325,0.356,0.386,0.464,0.001,6,0.866,0.321,0.425,23,0,15.2,0.561,0.346,0.204,2,8.3,5.3,15.2,1.9,0.5,11.6,22.2,24.9,12.7,37.5,0.1,0,-1.6,-0.3,7.7
JJ Barea,678,90,19.4,3.3,7.7,0.423,0.9,2.6,0.351,2.4,5.2,0.459,0.481,1.1,1.4,0.801,0.3,1.7,2,3.6,0.4,0,1.4,1.5,8.6,13.1,0.671,0.295,0.172,0.089,0.115,0.329,0.555,0.355,0.42,0.396,0.161,0,0,0.56,0.134,0.377,10,0,14,0.513,0.329,0.182,1.8,10,5.9,30.2,1,0.1,14.7,22.9,10.2,8.2,18.4,0.067,0,-2.2,-1.8,0.7
Harrison Barnes,359,298,29.2,4.4,9.7,0.454,0.9,2.6,0.369,3.5,7.2,0.484,0.502,1.8,2.3,0.763,1.1,3.7,4.7,1.5,0.7,0.2,1.1,1.8,11.5,13,0.737,0.243,0.176,0.135,0.183,0.263,0.662,0.41,0.367,0.406,0.528,0.077,251,0.962,0.403,0.392,1,0,12.7,0.537,0.263,0.238,4.1,13.6,8.9,7.5,1.3,0.6,9,18.1,10,10.9,21,0.096,0,-0.1,-0.9,3
Matt Barnes,905,354,23.7,3,6.9,0.437,1.1,3.2,0.335,2,3.8,0.522,0.513,1.1,1.5,0.742,1.2,3.4,4.6,1.8,0.8,0.5,1.3,2.5,8.2,14.3,0.543,0.307,0.132,0.028,0.076,0.457,0.631,0.396,0.309,0.381,0.685,0.04,231,0.945,0.38,0.343,18,0,12.8,0.542,0.457,0.217,5.6,16.4,11,11.3,1.7,1.6,14.3,16.7,19,22.6,41.6,0.093,0,0.7,1,16.2
Will Barton,292,24,19.5,3.2,7.6,0.426,0.7,2.2,0.32,2.5,5.4,0.47,0.473,1.6,2,0.788,0.6,2.9,3.5,1.7,0.7,0.3,1.2,1.3,8.7,12.1,0.709,0.321,0.186,0.091,0.112,0.291,0.594,0.376,0.365,0.356,0.439,0.056,120,0.786,0.201,0.31,13,0,14.2,0.517,0.291,0.265,3.4,16.7,10,14,1.7,1.3,12.2,21.5,3.4,4.5,7.9,0.066,0,-0.3,-1.1,1.2
Brandon Bass,742,283,21.9,3.4,6.8,0.499,0,0.1,0.211,3.4,6.8,0.502,0.5,1.9,2.3,0.831,1.5,3.1,4.6,0.8,0.4,0.6,1,1.8,8.7,9.6,0.989,0.343,0.139,0.233,0.274,0.011,0.624,0.363,0.464,0.453,0.674,0.134,623,0.917,0.526,0.3,8,0,15.2,0.557,0.011,0.336,8,15.9,12,6.1,0.9,2.2,10.9,18.4,23.3,18.7,42,0.124,0,0.3,-1.1,3.6
Nicolas Batum,600,547,31.6,4.2,9.7,0.438,1.6,4.5,0.359,2.6,5.2,0.507,0.522,1.8,2.2,0.837,1.1,4.2,5.4,3.6,0.9,0.7,1.9,1.9,11.9,16.5,0.533,0.221,0.06,0.079,0.173,0.467,0.685,0.362,0.397,0.382,0.587,0.055,287,0.896,0.273,0.385,10,0,15.3,0.561,0.467,0.226,4,15.2,9.6,17.6,1.5,1.7,14.9,17.9,25.9,19.7,45.6,0.115,0,1.1,2.8,23
Jerryd Bayless,513,82,21.3,3,7.2,0.414,0.8,2.2,0.366,2.2,5,0.436,0.471,1.8,2.2,0.825,0.3,1.8,2.1,2.9,0.6,0.1,1.5,2.1,8.6,15.2,0.691,0.238,0.09,0.063,0.301,0.309,0.559,0.32,0.376,0.386,0.345,0.022,68,0.897,0.312,0.383,5,0,12.8,0.526,0.309,0.303,1.6,10.2,5.9,22.2,1.6,0.5,15.2,20.7,8.8,8.8,17.6,0.078,0,-1.5,-1.7,0.7
Aron Baynes,270,24,13.9,2.1,4,0.511,0,0,0.143,2.1,4,0.514,0.512,1.1,1.4,0.815,1.4,2.6,4,0.5,0.2,0.4,0.8,2,5.2,5.5,0.994,0.491,0.293,0.119,0.09,0.006,0.605,0.448,0.372,0.418,0.748,0.113,114,1,0.286,0,0,0,14.5,0.566,0.006,0.342,11.2,20.8,16,5.7,0.7,2.2,14.7,17.4,5.4,5,10.4,0.133,0,0.4,-1.5,0.4
Kent Bazemore,329,141,18.2,2.6,6.2,0.422,0.8,2.4,0.348,1.8,3.8,0.469,0.49,1.1,1.6,0.692,0.3,2.4,2.7,1.5,0.8,0.4,1.2,1.7,7.1,13.8,0.613,0.316,0.109,0.051,0.138,0.387,0.596,0.29,0.308,0.381,0.498,0.034,55,0.858,0.349,0.415,7,0,11.7,0.519,0.387,0.253,1.8,14.5,8.3,12.7,2.3,1.6,14.8,19.8,-1.4,8.7,7.3,0.058,0,0.9,-1.2,1.2
Bradley Beal,295,261,33.1,6.3,14.6,0.434,1.9,4.9,0.396,4.4,9.6,0.454,0.501,2.4,3.1,0.791,0.8,2.8,3.6,3.1,1,0.3,1.9,2.1,17,15.8,0.662,0.198,0.09,0.11,0.264,0.338,0.628,0.384,0.379,0.379,0.517,0.03,121,0.859,0.25,0.419,4,0,15.2,0.535,0.338,0.21,2.6,9.7,6.1,15.5,1.6,0.7,10.5,24.1,9.3,9.3,18.6,0.092,0,-1,0,4.8
Malik Beasley,16,0,4.9,1.1,2.6,0.439,0.4,1,0.375,0.8,1.6,0.48,0.512,0.4,0.5,0.75,0.1,0.3,0.4,0.4,0.3,0,0.1,0.4,3,13.2,0.61,0.439,0.024,0.024,0.122,0.39,0.556,0,0,0.4,0.25,0.024,1,1,0.438,0.429,0,0,17.7,0.539,0.39,0.195,2.8,7.2,5,12.8,2.5,0,4.3,25.2,0.2,0,0.2,0.118,0,-4.3,-2.4,0
Michael Beasley,496,200,23.6,5.1,11.2,0.456,0.5,1.5,0.347,4.6,9.8,0.472,0.478,1.9,2.5,0.756,1.1,3.6,4.7,1.3,0.6,0.5,1.7,2.2,12.6,12,0.871,0.249,0.193,0.155,0.274,0.129,0.632,0.424,0.391,0.407,0.488,0.041,207,0.844,0.29,0.402,4,0,15.2,0.512,0.129,0.221,5.3,17.9,11.6,9.7,1.3,1.7,12.1,26.8,0.8,11.5,12.2,0.05,0,-1.2,-3.5,-4.5
Marco Belinelli,617,216,23.2,3.4,8.1,0.425,1.3,3.5,0.38,2.1,4.6,0.46,0.508,1.4,1.7,0.827,0.2,1.8,2,1.7,0.6,0.1,1,1.5,9.6,17.9,0.565,0.156,0.073,0.066,0.269,0.435,0.622,0.331,0.41,0.413,0.689,0.008,41,0.878,0.259,0.42,28,2,12.1,0.546,0.435,0.216,1.1,8.8,5,11.2,1.3,0.2,10.5,19.3,13.1,9.6,22.8,0.076,0,-1.8,-1.6,1.6
DeAndre' Bembry,23,0,10.3,1.4,3,0.478,0,0.4,0,1.4,2.6,0.55,0.478,0.3,0.6,0.429,0.3,1.3,1.7,0.7,0.2,0.1,0.3,0.7,3.1,6.7,0.87,0.623,0.087,0.116,0.043,0.13,0.628,0.167,0.25,1,0.667,0.101,5,0,0.222,0,0,0,8.9,0.479,0.13,0.203,3.8,13.8,8.8,9.5,0.8,0.7,9.6,15.3,0,0.2,0.2,0.037,0,-0.8,-5.3,-0.2
Dragan Bender,38,0,12.7,1.2,3.3,0.371,0.7,2.1,0.321,0.5,1.1,0.465,0.476,0.1,0.2,0.375,0.4,1.7,2.2,0.4,0.2,0.5,0.7,1.6,3.2,18.8,0.347,0.194,0.048,0.016,0.089,0.653,0.625,0.333,0.5,0.182,0.65,0.032,4,1,0.284,0.391,0,0,5.9,0.474,0.653,0.065,3.6,15.7,9.4,5,0.9,3.2,17.5,13.6,-0.4,0.3,-0.1,-0.014,0,-0.1,-3.9,-0.2
Anthony Bennett,151,4,12.6,1.7,4.2,0.392,0.2,0.9,0.261,1.4,3.3,0.427,0.42,0.8,1.2,0.67,0.9,2.3,3.1,0.5,0.4,0.2,0.7,1.4,4.4,13.1,0.785,0.314,0.086,0.064,0.32,0.215,0.652,0.2,0.22,0.312,0.66,0.103,61,0.972,0.283,0.282,0,0,10.2,0.457,0.215,0.279,7.6,20.4,13.9,6.5,1.5,1.1,12.1,19,-0.9,1.4,0.5,0.012,0,-1.6,-5.6,-1.7
Davis Bertans,44,3,11.7,1.5,3.2,0.451,0.9,2.4,0.394,0.5,0.9,0.605,0.595,0.5,0.6,0.786,0.3,1.1,1.4,0.8,0.3,0.5,0.4,1.1,4.3,20.2,0.268,0.176,0.021,0.007,0.063,0.732,0.68,0.667,0,0.444,0.783,0.077,11,0.976,0.192,0.45,1,0,13.6,0.619,0.732,0.197,2.8,10.7,6.9,9.2,1.3,3.2,10.4,15.2,0.8,0.7,1.6,0.147,0,0.6,2.3,0.6
Patrick Beverley,265,214,28.3,3.3,8,0.415,1.6,4.4,0.374,1.7,3.7,0.464,0.516,0.9,1.2,0.768,1.2,2.7,3.9,3.3,1.2,0.4,1.3,3.1,9.2,16.1,0.456,0.19,0.173,0.047,0.045,0.544,0.57,0.416,0.366,0.302,0.289,0.004,7,0.908,0.393,0.376,2,0,12.7,0.539,0.544,0.154,4.7,10.5,7.6,17.5,2.1,1.2,13.1,15.1,10.7,7,17.7,0.113,0,0.5,1.8,7.2
Bismack Biyombo,419,181,21.5,1.8,3.5,0.509,0,0,0,1.8,3.5,0.51,0.509,1.2,2.2,0.543,2,4.6,6.6,0.4,0.3,1.5,0.9,2.3,4.8,3.8,0.999,0.603,0.285,0.085,0.027,0.001,0.641,0.312,0.336,0.2,0.708,0.225,298,0,0,0,0,0,12.4,0.533,0.001,0.636,10.5,24.3,17.3,2.8,0.6,5.7,16.8,11.4,5.4,11.4,16.8,0.089,0,2,-2.1,-0.2
Nemanja Bjelica,111,1,17.5,2,4.4,0.441,0.8,2.4,0.338,1.2,2.1,0.559,0.532,0.7,0.9,0.731,0.7,2.6,3.3,1.3,0.5,0.3,0.8,2.4,5.4,15.4,0.465,0.256,0.157,0.02,0.035,0.535,0.675,0.429,0.4,0.353,0.586,0.022,11,0.921,0.152,0.45,0,0,10.6,0.557,0.535,0.211,4.8,17.3,11,10.5,1.5,1.4,14.9,14.5,1.5,1.3,2.8,0.068,0,-0.4,-0.7,0.7
Tarik Black,145,45,16.5,2.2,4,0.549,0,0,0,2.2,3.9,0.551,0.549,1,1.7,0.582,2,3.3,5.3,0.6,0.3,0.4,0.7,2.4,5.3,3.2,0.997,0.686,0.251,0.026,0.035,0.003,0.64,0.389,0.267,0.15,0.663,0.237,117,0,0,0,2,0,14.6,0.567,0.003,0.425,12.8,22.4,17.5,5.6,1,2.2,13.4,14.3,3.8,1.8,5.6,0.112,0,-0.3,-1.9,0.1
Eric Bledsoe,405,243,26.9,4.5,10.1,0.445,0.8,2.5,0.331,3.7,7.6,0.483,0.486,3,3.8,0.798,0.8,2.9,3.8,4.5,1.4,0.5,2.7,2,12.9,12.4,0.753,0.33,0.149,0.084,0.191,0.247,0.619,0.383,0.397,0.363,0.199,0.021,73,0.589,0.166,0.315,12,0,17.4,0.545,0.247,0.371,3.5,12.4,7.9,27.2,2.6,1.4,18.4,23.6,11.4,11.2,22.7,0.1,0,0.8,1.9,10.8
Bojan Bogdanovic,209,118,25.7,4,9.1,0.441,1.5,4.1,0.367,2.5,5,0.502,0.524,1.6,1.9,0.847,0.5,2.6,3.1,1.2,0.4,0.1,1.3,1.5,11.2,14.5,0.549,0.278,0.125,0.077,0.069,0.451,0.638,0.366,0.32,0.402,0.568,0.026,46,0.921,0.359,0.44,0,0,11.7,0.561,0.451,0.209,2.2,11.1,6.7,7.6,0.8,0.3,11.8,19.5,3.8,1.1,4.9,0.044,0,-2.5,-2.7,-1
Andrew Bogut,669,651,29.1,4.4,8.3,0.534,0,0,0.12,4.4,8.2,0.536,0.535,1.2,2.2,0.556,2.6,6.4,8.9,2.3,0.6,1.6,1.8,3.2,10.1,4,0.995,0.547,0.353,0.064,0.031,0.005,0.646,0.424,0.329,0.31,0.587,0.127,646,0.667,0,0,3,0,16.4,0.545,0.005,0.27,9.9,25.2,17.5,12.3,1.1,4.3,16,17,19,30.8,49.8,0.123,0,3.5,2.4,21.4
Joel Bolomboy,9,0,2.2,0.3,0.6,0.6,0,0.1,0,0.3,0.4,0.75,0.6,0.2,0.4,0.5,0.1,1,1.1,0.1,0.1,0.1,0.1,0.1,0.9,9.8,0.8,0.4,0.2,0,0.2,0.2,1,1,0,0,1,0.2,1,0,0,0,0,0,22.7,0.592,0.2,0.8,6,49.8,28.8,8.2,2.6,4.1,12.9,18.3,0,0.1,0.1,0.217,0,4.1,0.6,0
Devin Booker,128,103,30.6,5.9,14,0.422,1.5,4.3,0.351,4.4,9.6,0.453,0.476,3.4,4.1,0.834,0.5,2.1,2.6,2.9,0.7,0.3,2.4,3.1,16.7,14.6,0.69,0.212,0.129,0.128,0.22,0.31,0.613,0.407,0.348,0.389,0.37,0.016,26,0.785,0.171,0.368,2,0,12.9,0.53,0.31,0.293,1.6,7.9,4.7,15.8,1.1,0.7,13.3,25.2,2.2,1,3.1,0.038,0,-2.6,-3,-0.9
Trevor Booker,441,155,20.9,2.9,5.6,0.516,0.1,0.4,0.303,2.8,5.2,0.533,0.527,1,1.5,0.621,2,3.6,5.6,1,0.7,0.6,1,2,6.9,7.5,0.924,0.469,0.246,0.074,0.135,0.076,0.689,0.411,0.33,0.325,0.564,0.11,253,0.947,0.452,0.282,5,0,15.1,0.547,0.076,0.276,10.7,19.5,15.1,8,1.7,2.2,13.7,15.6,10.9,11.6,22.6,0.117,0,1.4,0.4,5.6
Avery Bradley,394,321,28,4.9,11,0.443,1.2,3.4,0.367,3.6,7.6,0.476,0.499,1.1,1.4,0.778,0.6,2.4,3,1.7,1.1,0.2,1.4,2.1,12.1,15.5,0.694,0.233,0.062,0.056,0.343,0.306,0.627,0.319,0.391,0.416,0.598,0.025,95,0.895,0.436,0.376,3,0,12,0.519,0.306,0.124,2.5,9.4,6,9.9,1.9,0.6,10.6,20.7,2.2,11.4,13.6,0.059,0,-0.5,-1.4,1.7
Corey Brewer,684,286,24.3,3.5,8.4,0.423,0.7,2.3,0.284,2.9,6.1,0.476,0.463,1.6,2.3,0.712,0.8,2.1,2.9,1.6,1.3,0.3,1.3,2.2,9.4,12.1,0.723,0.368,0.13,0.066,0.16,0.277,0.615,0.329,0.335,0.334,0.658,0.067,350,0.962,0.548,0.309,48,2,11.9,0.5,0.277,0.272,3.6,10,6.7,10.3,2.7,0.9,11.8,19.1,4.4,14.3,18.7,0.054,0,0.1,-1,4.1
