Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DPM,BPM,VORP
Evan Turner,519,251,28.3,4.3,9.9,0.432,0.4,1.4,0.302,3.9,8.5,0.453,0.453,1.7,2.1,0.783,0.6,4.4,5,3.7,0.8,0.2,1.9,2,10.6,12.1,0.862,0.222,0.163,0.262,0.215,0.138,0.605,0.383,0.419,0.391,0.355,0.02,96,0.916,0.447,0.36,5,0,12.4,0.491,0.138,0.215,2.2,17.6,9.8,20.5,1.5,0.6,15.2,20.1,-0.8,16.5,15.7,0.051,0,0.5,-2,0
Myles Turner,111,81,26.4,5.1,9.9,0.511,0.3,0.9,0.356,4.7,9,0.527,0.528,2.3,2.9,0.774,1.3,5,6.3,0.8,0.6,1.8,1.2,2.9,12.7,11.6,0.908,0.291,0.139,0.151,0.328,0.092,0.712,0.454,0.416,0.444,0.802,0.074,79,0.972,0.099,0.2,1,0,17.6,0.569,0.092,0.298,5.6,20.7,13.2,5.2,1.1,5.7,9.9,20.8,3.7,4.7,8.4,0.137,0,1.9,0,1.5
Beno Udrih,822,272,22,3.3,7.1,0.462,0.6,1.6,0.349,2.7,5.5,0.495,0.502,1.2,1.5,0.832,0.4,1.7,2.1,3.4,0.7,0.1,1.4,1.5,8.4,14,0.774,0.227,0.088,0.201,0.257,0.226,0.61,0.414,0.498,0.421,0.381,0,0,0.858,0.317,0.401,36,0,14,0.538,0.226,0.204,1.9,8.9,5.4,25,1.6,0.3,15.4,18.9,19.1,11.9,31,0.083,0,-1.5,-1.6,1.9
Tyler Ulis,33,0,8.7,1.2,3.2,0.381,0.2,0.4,0.357,1.1,2.8,0.385,0.405,0.3,0.4,0.786,0.2,0.5,0.7,1,0.6,0,0.7,0.8,2.9,13.9,0.867,0.133,0.19,0.305,0.248,0.133,0.286,0.4,0.5,0.269,0.086,0,0,0.8,0.071,0,1,0,8.1,0.432,0.133,0.133,2.6,6.4,4.4,17.8,3.2,0.3,17.8,19.9,-0.4,0.2,-0.3,-0.044,0,-1.3,-6.1,-0.3
Jonas Valanciunas,335,329,26.3,4.5,8.1,0.552,0,0,0,4.5,8.1,0.553,0.552,2.5,3.2,0.785,2.7,5.8,8.5,0.7,0.4,1.1,1.5,2.9,11.5,5.2,0.999,0.476,0.345,0.102,0.077,0.001,0.652,0.496,0.413,0.378,0.584,0.119,292,0,0,0,0,0,18.7,0.603,0.001,0.4,11.8,25.5,18.6,4.2,0.7,3.4,13.5,18.9,19.4,11.1,30.6,0.166,0,0.1,-0.6,3.2
Denzel Valentine,28,0,12.3,1.2,3.9,0.306,0.8,2.6,0.297,0.4,1.2,0.324,0.407,0.3,0.3,0.875,0.1,1.5,1.6,0.7,0.5,0.1,0.6,1,3.4,20.8,0.315,0.074,0.093,0.046,0.102,0.685,0.5,0.2,0.4,0.273,0.455,0,0,0.955,0.243,0.333,1,0,5.5,0.426,0.685,0.074,0.6,13.4,6.9,8.4,2.1,0.7,13.2,16.3,-0.4,0.4,-0.1,-0.009,0,-0.7,-4.5,-0.2
Fred VanVleet,21,0,6.9,1,2.9,0.361,0.3,0.9,0.389,0.7,2,0.349,0.418,0.4,0.5,0.818,0.1,0.8,0.9,0.9,0.5,0,0.2,0.9,2.9,13.1,0.705,0.328,0.148,0.066,0.148,0.295,0.4,0.111,0.5,0.444,0.4,0,0,0.857,0.278,0.8,1,0,13.9,0.456,0.295,0.18,2.3,12.5,7.4,18.5,3.5,0.6,5.7,21.4,0.1,0.2,0.3,0.088,0,-0.6,-1.4,0
Anderson Varejao,627,209,24,2.9,5.6,0.51,0,0.1,0.024,2.9,5.6,0.516,0.511,1.5,2.4,0.631,2.4,4.8,7.2,1.2,0.9,0.6,0.9,2.6,7.3,6.2,0.988,0.538,0.187,0.118,0.145,0.012,0.633,0.356,0.381,0.4,0.711,0.06,196,1,0.071,0,7,0,15.6,0.543,0.012,0.427,11.5,23.3,17.4,7.7,1.9,2.1,12.4,14.5,22.2,24.2,46.4,0.148,0,2.3,1.5,13.3
Greivis Vasquez,401,157,23.7,3.4,8.2,0.418,1,2.9,0.349,2.4,5.3,0.456,0.48,1.1,1.3,0.817,0.3,2.2,2.5,4.8,0.6,0.1,1.9,1.9,9,14.5,0.642,0.153,0.291,0.083,0.114,0.358,0.585,0.404,0.442,0.43,0.24,0.002,3,0.784,0.123,0.386,18,0,13.7,0.509,0.358,0.157,1.5,11.1,6.3,33.5,1.3,0.3,17.6,20.6,7.8,4.8,12.6,0.064,0,-2.1,-1.5,1.1
Rashad Vaughn,91,6,13.6,1.2,3.9,0.319,0.7,2.2,0.308,0.6,1.7,0.333,0.406,0.1,0.2,0.765,0.1,1.1,1.2,0.5,0.4,0.2,0.4,0.9,3.3,17.5,0.436,0.148,0.094,0.077,0.117,0.564,0.404,0.212,0.185,0.439,0.765,0.011,2,0.967,0.399,0.291,0,0,5.1,0.416,0.564,0.048,1.1,9.2,5.2,5.4,1.6,1.4,8.7,14.3,-1.3,0.6,-0.7,-0.028,0,-1.9,-5.9,-1.2
