Player,Age,Height,Weight
Lance Stephenson,26,6-5,230
Lance Thomas,28,6-8,235
Langston Galloway,25,6-2,200
Larry Nance Jr.,24,6-9,230
Lavoy Allen,28,6-9,260
LeBron James,32,6-8,250
Leandro Barbosa,34,6-3,194
Lou Williams,30,6-1,175
Luc Mbah a Moute,30,6-8,230
Lucas Nogueira,24,7-1,220
Luis Scola,36,6-9,241
Luke Babbitt,27,6-9,225
Luol Deng,31,6-9,220
Malachi Richardson,21,6-6,205
Malcolm Brogdon,24,6-5,215
Malcolm Delaney,27,6-3,190
Malik Beasley,20,6-5,196
Manu Ginobili,39,6-6,205
Marc Gasol,32,7-1,255
Marcelo Huertas,33,6-3,200
Marcin Gortat,32,6-11,240
Marco Belinelli,30,6-5,210
Marcus Morris,27,6-9,235
Marcus Smart,22,6-4,220
Marcus Thornton,29,6-4,205
Mario Hezonja,21,6-8,218
Markieff Morris,27,6-10,245
Marquese Chriss,19,6-10,233
Marreese Speights,29,6-10,255
Marshall Plumlee,24,7-1,250
Marvin Williams,30,6-9,237
Mason Plumlee,26,6-11,255
Matt Barnes,36,6-7,226
Matthew Dellavedova,26,6-4,198
Maurice Harkless,23,6-9,220
Maurice Ndour,24,6-9,200
Metta World Peace,37,6-7,260
Meyers Leonard,24,7-1,255
Michael Beasley,28,6-10,235
Michael Carter-Williams,25,6-6,190
Michael Gbinije,24,6-7,200
Michael Kidd-Gilchrist,23,6-7,232
Mike Conley,29,6-1,175
Mike Dunleavy,36,6-9,230
Mike Miller,36,6-8,218
Mike Muscala,25,6-11,240
Mike Scott,28,6-8,237
Miles Plumlee,28,6-11,249
Mindaugas Kuzminskas,27,6-9,215
Mirza Teletovic,31,6-9,245
Monta Ellis,31,6-3,185
Montrezl Harrell,23,6-8,240
Myles Turner,20,6-11,243
Nemanja Bjelica,28,6-10,225
Nene,34,6-11,250
Nerlens Noel,22,6-11,228
Nick Collison,36,6-10,255
Nick Young,31,6-7,210
Nicolas Batum,28,6-8,200
Nicolas Brussino,23,6-8,215
Nicolas Laprovittola,27,6-4,180
Nik Stauskas,23,6-6,205
Nikola Jokic,21,6-10,250
Nikola Mirotic,26,6-10,238
Nikola Vucevic,26,7-1,260
Noah Vonleh,21,6-9,245
Norman Powell,23,6-4,215
Okaro White,24,6-8,204
Omer Asik,30,7-1,255
Omri Casspi,28,6-9,225
Otto Porter,23,6-8,198
PJ Tucker,31,6-6,245
Pascal Siakam,22,6-9,230
Pat Connaughton,24,6-5,210
Patrick Beverley,28,6-1,185
Patrick McCaw,21,6-7,185
Patrick Patterson,27,6-9,235
Patty Mills,28,6-1,185
Pau Gasol,36,7-1,250
Paul George,26,6-9,220
Paul Millsap,32,6-8,246
Paul Pierce,39,6-7,235
Paul Zipser,22,6-8,210
Pierre Jackson,25,5-10,180
Quincy Acy,26,6-7,240
RJ Hunter,23,6-5,185
Rajon Rondo,30,6-1,186
Rakeem Christmas,25,6-9,250
Ramon Sessions,30,6-3,190
Randy Foye,33,6-4,218
Rashad Vaughn,20,6-6,202
Raul Neto,24,6-1,179
Raymond Felton,32,6-1,205
Reggie Bullock,25,6-7,205
Reggie Jackson,26,6-3,208
Reggie Williams,30,6-6,205
Richard Jefferson,36,6-7,233
Richaun Holmes,23,6-10,245
Ricky Rubio,26,6-4,190
Robert Covington,26,6-9,215
Robin Lopez,28,7-1,255
Rodney Hood,24,6-8,206
Rodney McGruder,25,6-4,205
Rodney Stuckey,30,6-5,205
Ron Baker,23,6-4,220
Rondae Hollis-Jefferson,22,6-7,214
Ronnie Price,33,6-2,190
Roy Hibbert,30,7-2,270
Rudy Gay,30,6-8,230
Rudy Gobert,24,7-1,245
Russell Westbrook,28,6-3,200
Ryan Anderson,28,6-10,240
Ryan Kelly,25,6-11,230
Salah Mejri,30,7-2,245
Sam Dekker,22,6-9,230
Sasha Vujacic,32,6-7,195
Sean Kilpatrick,27,6-4,219
Semaj Christon,24,6-3,190
