Season,Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,url,Games,Min_Played,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD
2014-15,Marcin Gortat,C,gortama01,30,82,2453,18.2,0.587,0.004,0.226,8.5,24.1,16.5,6.5,1,3.6,10.5,17.6,4.4,4.2,8.6,0.168,-0.4,2.3,1.8,2.4,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/gortama01.html,82,2453,0.566,6,0.996,0.471,0.277,0.186,0.062,0.004,0.569,0.74,0.414,0.438,0.354,0,0.768,0.077,58,0,0,0,0,0
2014-15,Marco Belinelli,SG,belinma01,28,62,1388,12.4,0.553,0.489,0.211,2.2,10.5,6.4,10.3,1.1,0.2,10.6,18.8,1.5,1.4,2.9,0.1,0.6,-1.1,-0.5,0.5,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/belinma01.html,62,1388,0.423,18.5,0.511,0.13,0.079,0.077,0.226,0.489,0.471,0.607,0.27,0.472,0.462,0.374,0.637,0.004,2,0.919,0.235,0.444,1,0
2014-15,Marcus Morris,PF,morrima03,25,81,2045,13.7,0.52,0.41,0.148,3.9,16.9,10.3,10.2,1.5,0.6,8.2,19,2.2,1.8,4,0.093,0.2,-0.6,-0.4,0.8,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/morrima03.html,81,2045,0.434,16.7,0.59,0.155,0.096,0.155,0.185,0.41,0.487,0.593,0.384,0.483,0.454,0.358,0.443,0.014,10,0.902,0.329,0.408,7,1
2014-15,Marcus Smart,PG,smartma01,20,67,1808,11,0.491,0.57,0.266,3.6,9.9,6.7,16.3,2.7,0.8,14.4,15.1,0.7,2.2,2.9,0.077,-0.1,1.3,1.1,1.4,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/smartma01.html,67,1808,0.367,18,0.43,0.176,0.09,0.071,0.092,0.57,0.41,0.56,0.256,0.382,0.295,0.335,0.393,0.015,6,0.901,0.176,0.396,4,0
2014-15,Marcus Thornton,SG,thornma01,27,32,480.6666667,13.03333333,0.474666667,0.432,0.151333333,4,10.46666667,7.166666667,6.966666667,2.4,0.533333333,7.9,24.53333333,0.4,0.466666667,0.833333333,0.036666667,-1.5,-2.4,-3.933333333,-0.066666667,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/thornma01.html,9,81,0.325,16.7,0.525,0.175,0.125,0.05,0.175,0.475,0.524,0.429,0.6,0.5,0.571,0.105,0.545,0,0,1,0.158,0,0,0
2014-15,Mario Chalmers,PG,chalmma01,28,80,2368,11.7,0.521,0.374,0.401,1.2,9,5.2,21,2.7,0.4,18.2,18.9,0.8,2,2.8,0.056,-0.6,-0.4,-1,0.6,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/chalmma01.html,80,2368,0.403,13.6,0.626,0.305,0.166,0.065,0.089,0.374,0.467,0.53,0.418,0.419,0.373,0.294,0.361,0.006,4,0.932,0.375,0.366,7,1
2014-15,Markel Brown,SG,brownma02,23,47,781,9.1,0.459,0.305,0.271,2.3,13,7.7,7.4,2.1,1.2,10.3,15.3,-0.2,0.7,0.5,0.031,-3,0.3,-2.7,-0.1,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/brownma02.html,47,781,0.362,13.7,0.695,0.29,0.11,0.09,0.205,0.305,0.404,0.541,0.348,0.316,0.279,0.266,0.576,0.062,10,0.941,0.406,0.308,1,0
2014-15,Markieff Morris,PF,morrima02,25,82,2581,15.8,0.523,0.163,0.211,4.6,17,10.7,12.4,2,1.2,12.4,23.3,1.8,2.7,4.6,0.085,-0.7,0.5,-0.2,1.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/morrima02.html,82,2581,0.465,12.5,0.837,0.229,0.163,0.246,0.199,0.163,0.494,0.611,0.436,0.502,0.397,0.318,0.523,0.053,48,0.982,0.145,0.269,2,0
2014-15,Marreese Speights,C,speigma01,27,76,1207,19.5,0.546,0.028,0.276,10.1,18.7,14.5,9.9,0.8,2.1,10.2,29.1,2.2,1.8,4,0.158,-1.3,-1.3,-2.6,-0.2,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/speigma01.html,76,1207,0.492,11.1,0.972,0.313,0.144,0.102,0.413,0.028,0.498,0.634,0.419,0.5,0.423,0.278,0.776,0.056,33,0.8,0.222,0.25,2,0
2014-15,Martell Webster,SF,webstma02,28,32,352,5.9,0.445,0.473,0.703,3.3,11.3,7.4,6.7,1,0.2,15.6,18.2,-0.3,0.3,0,0,-4.4,-1.6,-6.1,-0.4,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/webstma02.html,32,352,0.264,17.8,0.527,0.165,0.044,0.055,0.264,0.473,0.292,0.4,0.25,0.2,0.25,0.233,0.357,0.044,2,0.9,0.186,0.125,0,0
