Player,Pos,Player_ID,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Evan Fournier,SG,fournev01,24.0,45.0,1488.0,13.6,0.545,0.352,0.29,2.2,8.8,5.4,17.1,1.4,0.2,12.8,23.7,0.8,0.8,1.6,0.053,0.4,-1.9,-1.5,0.2
Evan Turner,SG,turneev01,28.0,50.0,1311.0,12.2,0.504,0.222,0.184,2.2,14.0,8.0,19.5,1.6,1.1,14.2,18.8,0.3,0.7,1.0,0.036,-2.0,-0.5,-2.5,-0.2
Frank Kaminsky,C,kaminfr01,23.0,54.0,1351.0,12.8,0.489,0.425,0.187,3.5,16.2,9.9,13.4,1.5,1.6,8.3,21.4,0.0,1.7,1.6,0.057,-1.2,0.1,-1.1,0.3
Fred VanVleet,PG,vanvlfr01,22.0,21.0,145.0,13.8,0.456,0.295,0.18,2.3,12.6,7.4,18.6,3.5,0.6,5.7,21.4,0.1,0.2,0.3,0.089,-0.8,-0.5,-1.4,0.0
Garrett Temple,SG,templga01,30.0,49.0,1301.0,11.2,0.561,0.515,0.202,2.4,9.3,5.9,12.8,2.3,1.6,13.0,13.3,1.1,1.0,2.0,0.074,-0.2,0.3,0.2,0.7
Gary Harris,SG,harriga01,22.0,32.0,917.0,15.5,0.581,0.375,0.229,3.4,9.1,6.2,13.3,2.0,0.5,10.4,19.0,1.7,0.3,2.0,0.103,2.2,-1.6,0.6,0.6
Gary Neal,SG,nealga01,32.0,2.0,18.0,-4.3,0.228,0.286,0.571,0.0,6.0,3.1,7.0,0.0,0.0,0.0,21.3,-0.1,0.0,-0.1,-0.193,-11.7,-4.9,-16.6,-0.1
George Hill,PG,hillge01,30.0,32.0,1011.0,20.1,0.594,0.387,0.324,2.1,10.3,6.3,22.4,1.6,0.6,9.1,24.1,2.9,1.3,4.2,0.199,4.3,-0.3,4.0,1.5
Georges Niang,PF,niangge01,23.0,22.0,90.0,0.0,0.285,0.333,0.056,2.5,17.2,10.0,7.8,1.7,0.0,11.9,20.8,-0.4,0.1,-0.3,-0.181,-9.9,-2.3,-12.1,-0.2
Georgios Papagiannis,C,papagge01,19.0,4.0,18.0,13.0,0.75,0.0,0.0,6.5,25.9,16.2,0.0,0.0,5.2,20.0,12.6,0.0,0.0,0.0,0.096,-5.5,-3.2,-8.8,0.0
Gerald Green,SG,greenge01,31.0,36.0,410.0,12.4,0.512,0.453,0.144,4.1,13.7,8.9,11.2,0.9,1.0,7.7,22.7,0.2,0.3,0.5,0.053,-1.4,-2.9,-4.3,-0.2
Gerald Henderson,SG,hendege02,29.0,51.0,1226.0,11.8,0.556,0.28,0.288,1.8,9.7,5.8,11.2,1.2,0.7,9.7,17.6,1.1,0.9,2.0,0.076,-1.4,-1.0,-2.5,-0.1
Giannis Antetokounmpo,SF,antetgi01,22.0,54.0,1914.0,26.6,0.606,0.159,0.456,6.2,21.3,13.9,26.4,2.5,4.9,13.5,28.3,5.7,2.9,8.6,0.216,4.7,3.4,8.1,4.9
Glenn Robinson,SF,robingl02,23.0,55.0,1204.0,10.7,0.552,0.352,0.217,4.6,13.9,9.4,4.7,1.2,1.2,9.4,12.6,0.9,0.9,1.8,0.071,-1.4,-0.3,-1.7,0.1
Goran Dragic,PG,dragigo01,30.0,49.0,1680.0,19.4,0.584,0.252,0.331,2.4,10.0,6.2,31.0,1.5,0.4,15.3,26.6,3.3,1.6,4.9,0.139,3.3,-1.0,2.4,1.9
Gordon Hayward,SF,haywago01,26.0,50.0,1732.0,22.9,0.602,0.33,0.427,2.1,16.1,9.4,18.3,1.5,0.7,9.2,27.6,5.4,2.5,7.9,0.219,4.5,0.4,4.9,3.0
Gorgui Dieng,PF,dienggo01,27.0,57.0,1825.0,14.2,0.557,0.061,0.22,8.1,20.7,14.3,8.6,1.6,2.9,12.4,14.5,2.2,1.8,4.0,0.105,-0.6,2.0,1.4,1.6
Greg Monroe,C,monrogr01,26.0,54.0,1178.0,22.2,0.578,0.004,0.361,10.5,24.7,17.7,16.2,2.9,2.0,13.6,23.9,2.2,1.8,4.0,0.162,0.8,1.7,2.5,1.3
Greivis Vasquez,PG,vasqugr01,30.0,3.0,39.0,4.1,0.376,0.375,0.375,0.0,5.4,2.7,17.5,1.2,1.9,9.7,11.3,0.0,0.0,0.0,-0.013,-5.7,-1.9,-7.7,-0.1
Harrison Barnes,PF,barneha02,24.0,56.0,2007.0,17.3,0.54,0.175,0.197,3.9,13.8,8.6,8.0,1.3,0.6,6.4,26.2,2.0,1.5,3.5,0.084,-0.4,-1.2,-1.7,0.2
Hassan Whiteside,C,whiteha01,27.0,52.0,1712.0,21.5,0.572,0.0,0.358,11.8,35.2,23.5,3.4,1.1,5.0,12.4,22.7,2.1,3.5,5.7,0.159,-2.7,1.3,-1.4,0.3
Henry Ellenson,PF,ellenhe01,20.0,14.0,56.0,6.0,0.448,0.609,0.043,3.9,20.3,11.9,10.5,0.0,0.0,17.6,22.7,-0.1,0.0,-0.1,-0.065,-4.9,-2.6,-7.5,-0.1
Hollis Thompson,SG,thompho01,25.0,31.0,561.0,9.0,0.51,0.447,0.126,2.9,13.4,8.1,7.1,1.2,0.9,5.1,13.7,0.3,0.5,0.7,0.062,-2.3,-0.6,-2.8,-0.1
Ian Clark,SG,clarkia01,25.0,51.0,727.0,13.4,0.578,0.414,0.149,2.0,8.6,5.5,12.1,1.8,0.7,10.4,18.9,0.8,0.9,1.6,0.107,-0.2,-1.3,-1.5,0.1
Ian Mahinmi,C,mahinia01,30.0,5.0,67.0,3.7,0.452,0.0,1.5,3.4,18.2,11.0,0.0,2.2,3.8,23.1,11.4,-0.1,0.1,0.0,0.004,-8.5,0.5,-8.0,-0.1
Iman Shumpert,SG,shumpim01,26.0,51.0,1297.0,10.5,0.57,0.581,0.206,2.5,10.0,6.4,8.5,1.9,0.9,12.5,13.5,1.2,1.1,2.3,0.085,0.0,0.5,0.5,0.8
Isaiah Canaan,SG,canaais01,25.0,33.0,572.0,8.4,0.49,0.537,0.189,1.1,7.9,4.5,9.0,1.9,0.1,9.7,15.0,0.1,0.4,0.5,0.046,-1.8,-1.3,-3.1,-0.2
Isaiah Thomas,PG,thomais02,27.0,53.0,1830.0,27.5,0.629,0.423,0.444,1.8,6.9,4.4,33.8,1.1,0.2,10.0,34.2,8.7,0.8,9.5,0.248,9.5,-3.9,5.7,3.5
Isaiah Whitehead,PG,whiteis01,21.0,48.0,1048.0,6.9,0.469,0.267,0.189,1.6,10.0,5.8,20.2,1.2,1.7,21.0,18.6,-1.4,0.4,-1.0,-0.044,-5.0,-0.8,-5.8,-1.0
Ish Smith,PG,smithis01,28.0,56.0,1317.0,13.8,0.483,0.146,0.146,1.2,11.7,6.3,30.8,1.5,1.4,14.1,19.2,0.5,1.5,1.9,0.07,-1.6,0.3,-1.3,0.2
Ivica Zubac,C,zubaciv01,19.0,23.0,305.0,16.2,0.534,0.0,0.209,9.6,22.8,16.0,6.4,0.8,4.8,12.5,20.1,0.2,0.3,0.5,0.073,-3.7,-0.1,-3.7,-0.1
J.J. Barea,PG,bareajo01,32.0,18.0,444.0,17.3,0.53,0.385,0.172,1.3,13.0,6.9,35.2,1.1,0.2,13.1,25.4,0.5,0.3,0.8,0.087,1.4,-1.8,-0.3,0.2
J.J. Redick,SG,redicjj01,32.0,53.0,1498.0,14.3,0.587,0.526,0.204,0.8,7.6,4.3,7.4,1.2,0.4,9.2,22.4,1.9,1.0,3.0,0.095,1.7,-2.4,-0.7,0.5
J.R. Smith,SG,smithjr01,31.0,21.0,607.0,7.8,0.481,0.75,0.049,1.5,6.5,4.1,5.9,2.1,1.2,7.4,14.7,0.0,0.5,0.5,0.038,-0.7,0.0,-0.7,0.2
JaMychal Green,PF,greenja01,26.0,56.0,1599.0,13.0,0.586,0.283,0.344,8.6,20.9,14.6,6.8,1.3,1.7,14.3,14.2,2.1,2.3,4.4,0.132,-0.6,1.8,1.1,1.2
JaVale McGee,C,mcgeeja01,29.0,51.0,487.0,23.6,0.66,0.014,0.327,13.1,20.8,17.3,4.0,1.2,5.7,11.5,23.8,1.1,0.9,2.0,0.2,-0.1,0.0,-0.1,0.2
