,Player_ID,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_ID1,Games,Min_Played,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD
26,harrian01,53.0,15.0,21.9,1.7,5.3,0.316,0.6,2.3,0.26,1.1,3.0,0.358,0.372,2.2,2.9,0.766,0.4,1.6,1.9,3.0,0.8,0.3,1.2,3.0,6.2,harrian01,53.0,1162.0,0.316,15.3,0.564,0.287,0.096,0.067,0.124,0.436,0.358,0.457,0.333,0.158,0.229,0.26,0.14,0.007,1.0,0.594,0.138,0.471,3.0,0.0
27,nichoan01,275.0,36.0,14.4,2.5,5.4,0.469,0.3,0.9,0.327,2.2,4.4,0.499,0.497,0.7,0.9,0.771,0.7,2.3,3.0,0.4,0.3,0.3,0.7,1.6,6.1,nichoan01,275.0,3969.0,0.469,12.5,0.825,0.19,0.278,0.106,0.25,0.175,0.499,0.709,0.443,0.401,0.442,0.327,0.6,0.041,58.0,0.965,0.45,0.316,2.0,0.0
28,wiggian01,220.0,220.0,36.1,7.2,15.9,0.453,0.8,2.4,0.324,6.4,13.5,0.476,0.477,4.8,6.3,0.759,1.4,2.7,4.1,2.2,1.0,0.5,2.2,2.2,19.9,wiggian01,220.0,7934.0,0.453,11.5,0.851,0.3,0.162,0.147,0.241,0.149,0.476,0.656,0.398,0.397,0.35,0.324,0.47,0.066,211.0,0.78,0.156,0.383,2.0,0.0
29,bennean01,151.0,4.0,12.6,1.7,4.2,0.392,0.2,0.9,0.261,1.4,3.3,0.427,0.42,0.8,1.2,0.67,0.9,2.3,3.1,0.5,0.4,0.2,0.7,1.4,4.4,bennean01,151.0,1905.0,0.392,13.1,0.785,0.314,0.086,0.064,0.32,0.215,0.427,0.652,0.2,0.22,0.312,0.261,0.66,0.103,61.0,0.972,0.283,0.282,0.0,0.0
30,davisan02,314.0,309.0,34.3,8.3,16.3,0.513,0.2,0.7,0.288,8.1,15.6,0.523,0.519,5.1,6.5,0.785,2.5,7.5,10.1,1.8,1.3,2.4,1.8,2.5,22.0,davisan02,314.0,10783.0,0.513,9.5,0.957,0.347,0.198,0.171,0.242,0.043,0.523,0.707,0.436,0.435,0.393,0.288,0.697,0.141,656.0,0.969,0.176,0.231,6.0,0.0
31,morroan01,555.0,142.0,22.0,3.5,7.8,0.447,1.4,3.5,0.417,2.1,4.4,0.471,0.539,1.1,1.2,0.878,0.6,1.6,2.2,0.9,0.6,0.1,0.7,1.6,9.5,morroan01,555.0,12193.0,0.447,17.7,0.558,0.093,0.105,0.147,0.213,0.442,0.471,0.556,0.476,0.45,0.447,0.417,0.556,0.001,3.0,0.949,0.359,0.423,1.0,0.0
32,tollian01,501.0,76.0,19.9,2.1,5.0,0.413,1.1,3.0,0.36,1.0,2.0,0.493,0.522,0.9,1.2,0.772,0.9,2.7,3.5,0.9,0.4,0.3,0.6,1.6,6.1,tollian01,501.0,9987.0,0.413,18.4,0.395,0.17,0.069,0.039,0.118,0.605,0.493,0.657,0.405,0.316,0.363,0.36,0.736,0.032,75.0,0.996,0.335,0.394,0.0,0.0
33,goodwar01,153.0,15.0,14.5,2.2,5.2,0.419,0.3,1.2,0.23,1.9,4.0,0.473,0.445,1.6,2.2,0.698,0.5,1.5,2.0,1.2,0.4,0.2,1.3,1.2,6.2,goodwar01,153.0,2212.0,0.419,9.0,0.776,0.53,0.137,0.03,0.079,0.224,0.473,0.572,0.22,0.292,0.317,0.23,0.356,0.077,53.0,0.805,0.213,0.211,5.0,0.0
34,baynear01,275.0,24.0,13.9,2.0,4.0,0.509,0.0,0.0,0.143,2.0,4.0,0.511,0.509,1.1,1.4,0.815,1.4,2.6,4.0,0.5,0.2,0.4,0.8,1.9,5.2,baynear01,275.0,3827.0,0.509,5.5,0.994,0.49,0.295,0.12,0.089,0.006,0.511,0.601,0.449,0.364,0.418,0.143,0.748,0.112,114.0,1.0,0.286,0.0,0.0,0.0
35,afflaar01,697.0,523.0,28.4,4.1,9.1,0.451,1.2,3.0,0.385,3.0,6.1,0.483,0.514,1.9,2.3,0.823,0.5,2.5,3.0,1.9,0.5,0.2,1.2,2.0,11.3,afflaar01,697.0,19820.0,0.451,15.2,0.669,0.188,0.115,0.143,0.223,0.331,0.483,0.612,0.41,0.465,0.424,0.385,0.549,0.004,24.0,0.946,0.439,0.428,5.0,0.0
36,dayeau01,293.0,29.0,14.1,1.9,4.8,0.402,0.6,1.8,0.351,1.3,3.0,0.433,0.469,0.7,0.9,0.778,0.5,2.1,2.6,0.7,0.4,0.4,0.7,1.6,5.2,dayeau01,293.0,4132.0,0.402,16.1,0.621,0.174,0.099,0.14,0.206,0.379,0.433,0.589,0.414,0.389,0.34,0.351,0.573,0.021,25.0,0.963,0.327,0.377,4.0,0.0
37,riverau01,328.0,69.0,22.4,3.1,7.4,0.416,0.8,2.2,0.351,2.3,5.2,0.443,0.468,1.3,2.0,0.648,0.3,1.6,1.9,2.1,0.6,0.2,1.1,2.1,8.3,riverau01,328.0,7349.0,0.416,12.0,0.703,0.311,0.227,0.071,0.092,0.297,0.443,0.563,0.36,0.351,0.311,0.351,0.266,0.013,26.0,0.835,0.232,0.411,7.0,0.0
38,bradlav01,394.0,321.0,28.0,4.9,11.0,0.443,1.2,3.4,0.367,3.6,7.6,0.476,0.499,1.1,1.4,0.778,0.6,2.4,3.0,1.7,1.1,0.2,1.4,2.1,12.1,bradlav01,394.0,11041.0,0.443,15.5,0.694,0.233,0.062,0.056,0.343,0.306,0.476,0.627,0.319,0.391,0.416,0.367,0.598,0.025,95.0,0.895,0.436,0.376,3.0,0.0
39,gordobe01,744.0,269.0,27.4,5.3,12.2,0.432,1.6,3.9,0.401,3.7,8.3,0.447,0.497,2.8,3.2,0.857,0.4,2.0,2.5,2.5,0.7,0.2,2.1,2.3,14.9,gordobe01,744.0,20366.0,0.432,16.4,0.679,0.161,0.088,0.103,0.325,0.321,0.447,0.496,0.419,0.421,0.439,0.401,0.395,0.004,28.0,0.708,0.265,0.431,8.0,0.0
40,mclembe01,275.0,212.0,25.7,3.3,8.1,0.414,1.3,3.6,0.35,2.1,4.5,0.465,0.491,1.3,1.6,0.786,0.5,2.0,2.5,1.2,0.7,0.2,1.3,2.3,9.2,mclembe01,275.0,7077.0,0.414,15.9,0.557,0.221,0.118,0.05,0.168,0.443,0.465,0.674,0.256,0.396,0.356,0.35,0.654,0.065,125.0,0.936,0.339,0.401,10.0,1.0
41,udrihbe01,822.0,272.0,22.0,3.3,7.1,0.462,0.6,1.6,0.349,2.7,5.5,0.495,0.502,1.2,1.5,0.832,0.4,1.7,2.1,3.4,0.7,0.1,1.4,1.5,8.4,udrihbe01,822.0,18045.0,0.462,14.0,0.774,0.227,0.088,0.201,0.257,0.226,0.495,0.61,0.414,0.498,0.421,0.349,0.381,0.0,0.0,0.858,0.317,0.401,36.0,0.0
