X1,X2,labels,Player,Status,Player_ID,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DPM,BPM,VORP
-3.591723475,1.3691998,Combo Guards,Bobby Brown,Active,brownbo02,92,116,8.7,0.457,0.388,0.093,1.8,5.6,3.7,22.6,1.2,0.2,14.5,22.9,-1.4,0.1,-1.3,-0.042,-2.7,-4.5,-7.3,-2
2.352766593,0.413542183,Offensive Centers,Bobby Portis,Active,portibo01,102,107,13.8,0.487,0.149,0.166,11.2,20.2,15.7,7.3,1,1.3,10.7,19.8,0.7,1.7,2.4,0.074,-2.2,-1,-3.2,-0.5
-0.528679688,-1.531946315,3-and-D Wings,Bojan Bogdanovic,Active,bogdabo02,104,114,11.7,0.56,0.45,0.209,2.2,11.3,6.7,7.6,0.8,0.2,11.9,19.5,3.7,1.1,4.8,0.042,-0.3,-2.5,-2.8,-1.1
0.038906229,0.997427554,Versatile Forwards,Boris Diaw,Active,diawbo01,106,107,12.9,0.548,0.183,0.192,5.2,13.3,9.3,19.6,1.2,1.3,18.5,16.3,23.1,28,51.1,0.087,-0.3,1.1,0.7,19.5
-1.391175609,-0.83766716,Shooting Wings,Bradley Beal,Active,bealbr01,105,107,15.3,0.536,0.341,0.212,2.6,9.6,6.1,15.5,1.6,0.7,10.5,24.1,9.6,9.4,19.1,0.093,1.1,-1,0,5
2.435319089,0.592428954,Offensive Centers,Brandan Wright,Active,wrighbr03,125,106,20.5,0.626,0.006,0.308,9.5,15.7,12.6,4.5,1.4,4.9,8,16.8,16.7,7,23.6,0.182,0.6,1.1,1.7,5.7
1.536890605,-0.176356667,Versatile Forwards,Brandon Bass,Active,bassbr01,111,106,15.2,0.558,0.011,0.337,8,15.9,12,6.1,0.9,2.2,10.9,18.4,23.4,18.7,42.1,0.124,-1.5,0.3,-1.1,3.7
1.026329685,0.446036994,Versatile Forwards,Brandon Davies,Inactive,daviebr01,93,108,8.7,0.469,0.166,0.34,7.9,13.1,10.4,9.3,2.1,1.2,17.4,15.9,-0.5,0.8,0.3,0.016,-4.3,-0.4,-4.7,-0.7
-0.975433962,-1.05335334,Shooting Wings,Brandon Ingram,Active,ingrabr01,94,115,7.2,0.451,0.302,0.331,2.7,13.7,8,10,0.8,1.3,12.6,15.6,-0.9,0.4,-0.5,-0.014,-3.7,-0.7,-4.4,-1
-3.867162795,1.058147129,Combo Guards,Brandon Jennings,Active,jennibr01,104,108,15.9,0.498,0.37,0.248,2.1,8.9,5.4,30,2.1,0.5,13.2,24.1,15.5,14.2,29.6,0.088,1.9,-1.2,0.6,10.8
-2.611636569,0.327515629,Scoring Wings,Brandon Knight,Active,knighbr03,101,111,14.2,0.52,0.347,0.247,2.1,10.3,6.1,23.5,1.5,0.5,15.4,24.7,5.9,5.9,11.8,0.047,0.7,-2,-1.2,2.3
