Season,Player,Pos,Player_ID,url,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,%ASTd_3P,%_CORNER3PA,3P%_CORNER3
Active,Alex Len,C,lenal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/lenal01.html,23,54,1061,14.6,0.556,0.013,0.436,10.4,26.1,18,4.3,0.9,5.3,16.4,17.4,0.8,1.1,1.9,0.087,-3.4,1.2,-2.1,0,0.502,6,0.987,0.524,0.251,0.085,0.127,0.013,0.505,0.64,0.39,0.308,0.308,0.25,0.693,0.182,1,0.25,0
Active,Alexis Ajinca,C,ajincal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/ajincal01.html,28,23,350,11,0.497,0.031,0.247,7.7,23.7,15.6,3,1.7,4,16.3,16.3,-0.2,0.6,0.4,0.049,-6.4,1.6,-4.8,-0.2,0.464,9.9,0.969,0.351,0.186,0.134,0.299,0.031,0.479,0.676,0.389,0.538,0.276,0,0.844,0.113,0,0,0
Active,Allen Crabbe,SG,crabbal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/crabbal01.html,24,56,1594,10.6,0.591,0.443,0.213,1,9.8,5.3,6.5,1,0.5,9,14.9,1.8,0.4,2.2,0.066,-0.3,-1.8,-2,0,0.46,17.4,0.559,0.148,0.101,0.073,0.24,0.441,0.484,0.657,0.37,0.394,0.45,0.43,0.797,0.004,0.965,0.27,0.407
Active,Alonzo Gee,SF,geeal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/geeal01.html,29,13,89,3,0.306,0.214,0.643,5,12.6,8.8,8.4,2.8,0.9,18.2,10.4,-0.1,0.1,-0.1,-0.037,-5.3,0.9,-4.5,-0.1,0.214,10,0.786,0.429,0.143,0.143,0,0.214,0.273,0.5,0,0,0,0,0.667,0.143,0,0.667,0
Active,Amir Johnson,PF,johnsam01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/johnsam01.html,29,56,1104,15.3,0.623,0.169,0.265,9.1,16.9,13,12.9,1.4,2.8,14.4,13.7,2.3,1.2,3.5,0.151,0.3,1.7,2,1.1,0.573,6.7,0.831,0.538,0.281,0.004,0.008,0.169,0.606,0.714,0.425,0,0,0.409,0.771,0.119,1,0.318,0.429
Active,Anderson Varejao,C,varejan01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/v/varejan01.html,34,14,92,9.4,0.478,0,0.786,15.5,16.7,16.1,12.8,1.6,2.6,29.8,12.6,0,0.1,0.2,0.098,-3,2.5,-0.5,0,0.357,5,1,0.5,0.357,0.143,0,0,0.357,0.286,0.4,0.5,0,0,0.6,0,0,0,0
Active,Andre Drummond,C,drumman01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/drumman01.html,23,56,1705,21.4,0.525,0.009,0.366,14.6,36.2,25.2,5.6,2.9,3.3,13,23.5,0.9,3.9,4.8,0.136,-2.1,3.1,1,1.3,0.529,4.3,0.991,0.492,0.429,0.063,0.006,0.009,0.53,0.679,0.375,0.488,0,0.333,0.621,0.145,0,0,0
Active,Andre Iguodala,SF,iguodan01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/i/iguodan01.html,33,54,1381,12.9,0.595,0.455,0.205,3.2,12.8,8.4,16.4,1.7,1.2,11.2,10.3,2.5,1.8,4.3,0.15,1,1.5,2.5,1.6,0.493,14.4,0.547,0.35,0.04,0.029,0.124,0.453,0.607,0.75,0.273,0,0.471,0.355,0.747,0.168,0.909,0.427,0.321
Active,Andre Roberson,SF,roberan03,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/roberan03.html,25,57,1745,9,0.487,0.417,0.247,4.2,14.3,9.3,4.4,1.9,2.6,9,10.3,0.4,2.2,2.6,0.071,-2.7,2,-0.7,0.6,0.437,11.3,0.583,0.506,0.057,0.003,0.017,0.417,0.576,0.642,0.1,0,0.333,0.241,0.786,0.132,0.971,0.476,0.246
Active,Andrew Bogut,C,bogutan01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bogutan01.html,32,26,582,9.4,0.46,0.012,0.136,10.5,34.3,21.8,12.3,1.2,3.9,33.4,10.5,-0.3,1,0.7,0.054,-5.6,5.3,-0.3,0.2,0.469,4.3,0.988,0.457,0.469,0.062,0,0.012,0.475,0.568,0.421,0.2,0,0,0.526,0.099,0,0,0
Active,Andrew Harrison,SG,harrian01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/harrian01.html,22,53,1162,8.5,0.469,0.436,0.546,1.8,8.3,5,20.2,2,1.5,15.9,16.2,0,1.4,1.3,0.056,-2.5,0.4,-2.1,0,0.316,15.3,0.564,0.287,0.096,0.067,0.124,0.436,0.358,0.457,0.333,0.158,0.229,0.26,0.14,0.007,0.594,0.138,0.471
Active,Andrew Nicholson,PF,nichoan01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/n/nichoan01.html,27,28,231,6.4,0.425,0.208,0.156,5.5,11.1,8.3,4.2,2.4,2.2,11.8,17.8,-0.3,0.3,0,-0.005,-5.5,-0.1,-5.6,-0.2,0.39,11,0.792,0.234,0.364,0.156,0.039,0.208,0.443,0.667,0.357,0.333,0.333,0.188,0.63,0.026,1,0.25,0
Active,Andrew Wiggins,SF,wiggian01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/wiggian01.html,21,57,2120,17,0.544,0.192,0.342,3.9,9.2,6.5,11.6,1.2,0.9,9.7,28.2,2.7,0.8,3.4,0.078,0.6,-2.7,-2,0,0.463,12.9,0.808,0.269,0.134,0.148,0.256,0.192,0.488,0.658,0.394,0.429,0.395,0.355,0.398,0.049,0.694,0.099,0.3
Active,Anthony Bennett,PF,bennean01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bennean01.html,23,23,264,14.7,0.533,0.522,0.391,10.1,21,15.6,7.1,0.9,0.9,10,19.4,0.3,0.2,0.5,0.083,-0.8,-2.4,-3.2,-0.1,0.413,13.8,0.478,0.37,0.087,0.011,0.011,0.522,0.568,0.676,0.25,0,0,0.271,0.44,0.098,0.923,0.375,0.167
Active,Anthony Brown,SF,brownan02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/brownan02.html,24,7.333333333,106,10.6,0.448333333,0.486,0,7.7,22.33333333,14.86666667,12.33333333,1.066666667,0.366666667,10.53333333,19.2,-0.133333333,0.133333333,0,0.024666667,-2.366666667,-0.733333333,-3.066666667,-0.066666667,0.444,18.4,0.667,0,0.111,0.111,0.444,0.333,0.5,0,0,1,0.5,0.333,0.333,0,0,0,0
Active,Anthony Davis,C,davisan02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/davisan02.html,23,53,1927,27.3,0.578,0.08,0.428,6.5,28.3,17.3,11.7,1.7,5.5,9.9,32.5,3.8,3.7,7.6,0.188,1.1,2.6,3.7,2.7,0.501,10.7,0.92,0.266,0.232,0.189,0.234,0.08,0.518,0.679,0.494,0.461,0.408,0.299,0.631,0.083,1,0.069,0.167
Active,Anthony Morrow,SG,morroan01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/morroan01.html,31,40,627,9.1,0.493,0.536,0.117,1.9,3.2,2.6,4.5,1.6,0.3,2.9,16.3,0.4,0.4,0.8,0.064,-1.8,-3,-4.8,-0.4,0.387,18.1,0.464,0.063,0.153,0.144,0.104,0.536,0.495,0.571,0.588,0.344,0.522,0.294,0.608,0,0.971,0.303,0.222
Active,Anthony Tolliver,PF,tollian01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/tollian01.html,31,45,1042,11.4,0.606,0.667,0.218,5,14,9.5,6.2,1.4,0.9,12.5,13.2,1.2,0.6,1.8,0.083,0.4,-1,-0.6,0.4,0.444,18.7,0.339,0.145,0.089,0.04,0.069,0.661,0.548,0.639,0.591,0.2,0.471,0.39,0.609,0.024,1,0.299,0.408
Active,Archie Goodwin,SG,goodwar01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/goodwar01.html,22,3,30,19.7,0.798,0.4,2,0,0,0,4.6,0,2.7,0,13.9,0.2,0,0.2,0.291,2.2,-4,-1.7,0,0.4,10.8,0.6,0.4,0.2,0,0,0.4,0.333,0,1,0,0,0.5,0,0.2,1,0.5,1
Active,Arinze Onuaku,C,onuakar01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/o/onuakar01.html,29,8,28,5.8,0.5,0,0,7.7,16.1,11.8,10,0,2.9,33.3,9.5,0,0,0,-0.001,-6.5,0.9,-5.6,0,0.5,7.8,1,0,0.75,0.25,0,0,0.5,0,0.667,0,0,0,1,0,0,0,0
Active,Aron Baynes,C,baynear01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/baynear01.html,30,54,835,11,0.552,0,0.366,8.7,20.4,14.4,3,0.8,2.3,14.3,13.8,0.7,1.1,1.7,0.1,-3.6,0.8,-2.8,-0.2,0.482,5.7,1,0.482,0.293,0.115,0.11,0,0.482,0.533,0.446,0.455,0.381,0,0.761,0.084,0,0,0
Active,Arron Afflalo,SG,afflaar01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/afflaar01.html,31,49,1253,8.2,0.548,0.386,0.216,0.8,7.8,4.3,7.4,0.7,0.5,8.6,13.8,0.8,0.2,1,0.039,-1.8,-2.2,-3.9,-0.6,0.429,16.9,0.614,0.107,0.116,0.16,0.229,0.386,0.454,0.529,0.486,0.431,0.425,0.39,0.528,0,0.958,0.39,0.5
Active,Austin Rivers,SG,riverau01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/riverau01.html,24,54,1528,11.9,0.546,0.393,0.251,1.2,6.9,4.1,16.1,1.3,0.5,12.2,20,1.1,1.1,2.2,0.068,0.1,-1.5,-1.4,0.2,0.441,13.5,0.602,0.299,0.183,0.056,0.065,0.398,0.467,0.581,0.343,0.516,0.25,0.401,0.191,0.016,0.719,0.203,0.467
Active,Avery Bradley,SG,bradlav01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bradlav01.html,26,36,1257,15.5,0.561,0.345,0.117,3.6,18.6,11.1,11.3,1.9,0.5,10.3,22.5,1,1.3,2.3,0.087,0.2,-0.3,-0.1,0.6,0.475,15.1,0.655,0.26,0.083,0.078,0.234,0.345,0.51,0.636,0.356,0.571,0.405,0.409,0.578,0.024,0.763,0.296,0.473
Active,Ben McLemore,SG,mclembe01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mclembe01.html,23,42,754,8.7,0.518,0.432,0.16,2,7.9,4.9,7.3,1.5,0.6,11.9,18.2,-0.2,0.3,0.1,0.006,-2.5,-2.5,-5.1,-0.6,0.414,16.6,0.566,0.188,0.09,0.074,0.215,0.434,0.441,0.708,0.261,0.211,0.364,0.378,0.781,0.039,1,0.351,0.41
Active,Beno Udrih,PG,udrihbe01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/u/udrihbe01.html,34,30,420,15.3,0.527,0.187,0.173,1.3,8.9,5,32.7,0.8,0,12.9,19.7,0.6,0.3,0.9,0.105,-0.5,-2.6,-3.1,-0.1,0.453,14.5,0.813,0.207,0.1,0.28,0.227,0.187,0.475,0.581,0.6,0.476,0.324,0.357,0.121,0,0.5,0.179,0.6
Active,Bismack Biyombo,C,biyombi01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/biyombi01.html,24,57,1327,12.2,0.539,0,0.707,9,25.5,17.1,6.2,0.7,4.4,17.8,13.1,0.4,1.6,2.1,0.075,-4.3,2.5,-1.8,0.1,0.533,4.1,1,0.573,0.309,0.089,0.033,0,0.533,0.674,0.342,0.409,0.125,0,0.84,0.22,0,0,0
Active,Blake Griffin,PF,griffbl01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/griffbl01.html,27,36,1198,23.8,0.555,0.06,0.413,7.3,21.4,14.6,26.3,1.6,1.3,10.8,29.6,3,1.6,4.5,0.181,3,1.9,4.9,2.1,0.485,9.9,0.938,0.367,0.188,0.07,0.312,0.062,0.496,0.644,0.348,0.349,0.44,0.316,0.537,0.082,1,0.342,0.308
Active,Boban Marjanovic,C,marjabo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/marjabo01.html,28,23,159,24.8,0.532,0,0.397,20.5,32.1,26.2,5.1,0.6,4.2,8.1,24.4,0.4,0.3,0.7,0.2,-1.4,-0.7,-2.2,0,0.471,5.3,1,0.338,0.529,0.132,0,0,0.471,0.652,0.417,0.222,0,0,0.719,0.074,0,0,0
Active,Bobby Brown,PG,brownbo02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/brownbo02.html,32,17,51,-1,0.345,0.483,0,0,10.9,5.4,2.9,0,0,6.5,25.9,-0.2,0,-0.2,-0.183,-10.3,-6.9,-17.2,-0.2,0.267,18.7,0.5,0.133,0.133,0.067,0.167,0.5,0.267,0.25,0.25,0,0.4,0.267,0.5,0,0.75,0,0
Active,Bobby Portis,PF,portibo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/portibo01.html,21,39,472,13.6,0.538,0.232,0.206,9.5,20.5,14.9,6.7,0.8,1,11.5,17.6,0.5,0.5,0.9,0.094,-1.7,-1.4,-3.1,-0.1,0.477,12.6,0.768,0.303,0.161,0.116,0.187,0.232,0.513,0.66,0.6,0.278,0.345,0.361,0.541,0.065,1,0.5,0.444
Active,Bojan Bogdanovic,SF,bogdabo02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bogdabo02.html,27,55,1482,13.1,0.572,0.453,0.273,1.7,12.3,7,10.1,0.8,0.2,11.8,22.4,1.1,0.3,1.5,0.048,-0.3,-2.8,-3,-0.4,0.44,14.6,0.547,0.319,0.092,0.074,0.062,0.453,0.509,0.61,0.411,0.289,0.395,0.357,0.488,0.028,0.929,0.235,0.446
Active,Boris Diaw,PF,diawbo01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/diawbo01.html,34,48,872,8,0.505,0.265,0.112,3.6,9.1,6.4,18.4,0.8,0.2,22.1,15.6,-0.3,0.9,0.6,0.032,-3,-0.2,-3.2,-0.3,0.451,11.7,0.735,0.363,0.158,0.074,0.14,0.265,0.519,0.692,0.441,0.5,0.167,0.263,0.366,0.005,0.933,0.263,0.4
Active,Bradley Beal,SG,bealbr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bealbr01.html,23,51,1757,19.6,0.598,0.434,0.268,2,7.4,4.8,17.1,1.5,0.6,9.9,26.4,4.4,1.3,5.6,0.154,4.2,-2.4,1.9,1.7,0.473,16,0.566,0.237,0.098,0.077,0.153,0.434,0.527,0.612,0.422,0.446,0.508,0.402,0.478,0.031,0.777,0.155,0.439
Active,Brandan Wright,PF,wrighbr03,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/wrighbr03.html,29,8,111,19.5,0.573,0.023,0.205,10,10.5,10.2,1.7,1.4,5.2,5.9,20.8,0.2,0.2,0.3,0.148,-1.7,-0.3,-1.9,0,0.568,3.7,0.977,0.727,0.114,0.136,0,0.023,0.581,0.594,0.4,0.667,0,0,0.88,0.295,0,0,0
Active,Brandon Bass,PF,bassbr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bassbr01.html,31,37,436,17.9,0.664,0.015,0.396,6.8,14.6,10.8,6.9,0.9,1.5,13.7,18.6,1.1,0.4,1.5,0.162,-0.3,-0.7,-1,0.1,0.597,7.2,0.986,0.489,0.129,0.245,0.122,0.014,0.599,0.765,0.444,0.5,0.294,0.5,0.707,0.223,1,0,0
Active,Brandon Ingram,SF,ingrabr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/i/ingrabr01.html,19,58,1604,7.2,0.451,0.302,0.331,2.7,13.7,8,10,0.8,1.3,12.6,15.6,-0.9,0.4,-0.5,-0.014,-3.7,-0.7,-4.4,-1,0.362,13.4,0.698,0.244,0.157,0.141,0.154,0.302,0.388,0.541,0.257,0.349,0.319,0.304,0.388,0.038,0.976,0.363,0.408
Active,Brandon Jennings,PG,jennibr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jennibr01.html,27,56,1402,12.8,0.513,0.47,0.312,1.5,9.7,5.6,28.2,1.9,0.2,18.1,17.8,1,0.6,1.6,0.055,-0.2,-2.2,-2.4,-0.1,0.383,16.1,0.531,0.225,0.096,0.092,0.11,0.469,0.42,0.531,0.268,0.41,0.34,0.34,0.2,0,0.485,0.18,0.444
Active,Brandon Knight,SG,knighbr03,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/k/knighbr03.html,25,54,1140,12.6,0.502,0.265,0.293,2.2,9.6,5.8,18.1,1.1,0.4,12.9,25.2,0.2,0.3,0.5,0.02,-1.5,-2.9,-4.4,-0.7,0.398,13.7,0.735,0.246,0.158,0.118,0.211,0.265,0.425,0.558,0.325,0.387,0.369,0.324,0.171,0.011,0.511,0.245,0.324
Active,Brandon Rush,SG,rushbr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/rushbr01.html,31,23,414,7.5,0.503,0.61,0.122,2.2,9.1,5.6,5.3,1.5,2.3,12.2,10.5,0,0.2,0.2,0.028,-2.1,0.1,-2.1,0,0.366,18.5,0.39,0.134,0.049,0.049,0.159,0.61,0.313,0.455,0.25,0.25,0.231,0.4,0.8,0.037,1,0.64,0.5
Active,Brian Roberts,PG,roberbr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/roberbr01.html,31,20,146,11.9,0.546,0.351,0.595,2.2,9.5,5.9,23.9,0.7,0,17.6,17.3,0.1,0.1,0.2,0.079,-2.4,-2.8,-5.2,-0.1,0.333,15.4,0.667,0.143,0.167,0.167,0.19,0.333,0.286,0,0.143,0.286,0.625,0.429,0.25,0,0.833,0.286,0.75
Active,Briante Weber,PG,weberbr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/weberbr01.html,24,5,41,4.9,0.353,0.2,0.3,0,7.5,4,14.7,2.3,1.9,15,14,-0.1,0.1,0,-0.013,-6.8,0.3,-6.5,0,0.273,13.1,0.818,0.273,0.273,0,0.273,0.182,0.333,0.667,0,0,0.333,0,0,0,0,0,0
Active,Brook Lopez,C,lopezbr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/lopezbr01.html,28,51,1509,21.3,0.579,0.328,0.325,5.7,12.7,9.3,16,0.9,4.5,11.7,29.3,2.5,1,3.5,0.113,2.3,-0.3,2,1.5,0.47,12.4,0.673,0.23,0.315,0.1,0.028,0.328,0.532,0.663,0.492,0.413,0.318,0.344,0.462,0.051,0.978,0.149,0.385
Active,Bruno Caboclo,SF,cabocbr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/cabocbr01.html,21,8,23,7.9,0.3,0.6,0,14.6,14.9,14.7,16.8,4.4,0,28.6,13.5,0,0,0,0.005,-2.2,2.5,0.3,0,0.2,17.8,0.4,0.2,0,0,0.2,0.6,0,0,0,0,0,0.333,0,0,1,0.667,0
Active,Bryn Forbes,SG,forbebr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/f/forbebr01.html,23,20,95,4.7,0.44,0.5,0.036,1.2,8.1,4.8,4.4,0.5,0,0,13.5,0,0.1,0.1,0.039,-3.2,-2.3,-5.4,-0.1,0.357,21,0.5,0.036,0.036,0.071,0.357,0.5,0.429,0,0,0.5,0.5,0.286,0.833,0,0.75,0.286,0.25
Active,Buddy Hield,SG,hieldbu01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hieldbu01.html,23,57,1161,9.9,0.502,0.511,0.07,1.7,13.4,7.5,10.4,0.8,0.5,9,20.4,-0.4,0.9,0.4,0.018,-1.9,-1.8,-3.8,-0.5,0.6,12.7,0.7,0.1,0.3,0.2,0.1,0.3,0.714,0,0.667,1,1,0.333,0.4,0,0,0,0
