,Status,Player,Pos,Player_ID,url,G,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DPM,BPM,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,FG_100,FGA_100,FG%_100,3P_100,3PA_100,3P%_100,2P_100,2PA_100,2P%_100,FT_100,FTA_100,FT%_100,ORB_100,DRB_100,TRB_100,AST_100,STL_100,BLK_100,TOV_100,PF_100,PTS_100,ORtg,DRtg,Cluster
13,Active,Alex Len,C,lenal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/lenal01.html,243,12.9,0.513,0.373,10.4,24.2,17.2,5.3,1.0,4.2,16.7,17.1,-3.9,1.3,-2.6,0.463,6.5,0.99,0.489,0.214,0.134,0.153,0.01,0.465,0.62,0.316,0.297,0.327,0.214,0.663,0.175,1.0,0.429,0.333,6.5,14.0,0.463,0.0,0.1,0.214,6.5,13.9,0.465,3.8,5.2,0.719,4.8,10.6,15.4,1.7,1.0,2.6,3.3,7.0,16.8,101,106,0
15,Inactive,Alexey Shved,SG,shvedal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/shvedal01.html,182,12.8,0.489,0.323,2.8,9.6,6.1,23.2,1.7,1.2,15.0,22.0,-0.4,-1.3,-1.7,0.369,15.7,0.562,0.264,0.094,0.061,0.137,0.438,0.417,0.58,0.298,0.243,0.261,0.306,0.332,0.022,0.685,0.089,0.426,7.0,18.9,0.369,2.5,8.3,0.306,4.4,10.6,0.417,4.6,6.1,0.762,1.3,4.2,5.6,7.2,1.7,0.8,3.8,3.1,21.1,99,108,2
16,Active,Alexis Ajinca,C,ajincal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/ajincal01.html,277,14.8,0.545,0.249,10.0,23.5,16.6,6.1,1.3,3.8,15.2,19.4,-2.9,0.4,-2.5,0.5,9.2,0.966,0.337,0.238,0.148,0.242,0.034,0.507,0.644,0.444,0.433,0.426,0.293,0.701,0.117,1.0,0.049,1.0,8.4,16.8,0.5,0.2,0.6,0.293,8.2,16.2,0.507,3.3,4.2,0.799,4.6,10.5,15.1,1.9,1.3,2.5,3.3,8.8,20.3,104,106,0
17,Active,Allen Crabbe,SG,crabbal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/crabbal01.html,204,10.9,0.571,0.174,1.2,9.8,5.5,7.1,1.3,0.7,8.6,15.1,-0.2,-1.1,-1.2,0.451,17.3,0.557,0.149,0.076,0.09,0.244,0.443,0.492,0.699,0.37,0.449,0.419,0.401,0.784,0.02,0.966,0.307,0.419,6.6,14.6,0.451,2.6,6.5,0.401,4.0,8.1,0.492,2.2,2.5,0.856,0.5,4.5,5.0,2.4,1.3,0.5,1.5,4.4,18.0,112,111,1
18,Active,Alonzo Gee,SF,geeal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/geeal01.html,417,10.7,0.522,0.325,4.7,12.6,8.5,7.6,2.1,0.9,14.5,15.2,-1.6,0.2,-1.4,0.434,10.3,0.752,0.426,0.147,0.079,0.099,0.248,0.469,0.621,0.224,0.295,0.323,0.325,0.531,0.146,0.93,0.582,0.318,5.7,13.1,0.434,1.1,3.2,0.325,4.6,9.8,0.469,3.2,4.3,0.754,2.2,5.5,7.7,2.5,2.1,0.6,2.5,4.5,15.6,102,109,1
19,Inactive,Amar'e Stoudemire,C,stoudam01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/stoudam01.html,846,21.8,0.597,0.495,9.0,19.5,14.4,6.9,1.2,2.9,12.7,26.2,0.8,-0.2,0.5,0.537,6.9,0.988,0.448,0.249,0.116,0.175,0.012,0.54,0.67,0.441,0.418,0.431,0.236,0.591,0.159,0.7,0.252,0.313,11.5,21.3,0.537,0.1,0.2,0.236,11.4,21.1,0.54,8.0,10.6,0.761,3.9,8.9,12.9,2.0,1.2,2.0,3.8,5.2,31.0,113,105,7
20,Active,Amir Johnson,PF,johnsam01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/johnsam01.html,721,16.0,0.604,0.29,10.9,18.6,14.8,8.4,1.4,3.7,15.2,14.9,0.3,2.2,2.6,0.574,6.3,0.942,0.531,0.258,0.037,0.117,0.058,0.589,0.707,0.463,0.377,0.399,0.333,0.676,0.13,0.974,0.276,0.365,7.3,12.8,0.574,0.2,0.7,0.333,7.1,12.1,0.589,2.5,3.7,0.674,4.9,8.3,13.3,2.7,1.4,2.4,2.6,7.2,17.4,117,105,0
21,Active,Anderson Varejao,C,varejan01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/v/varejan01.html,627,15.6,0.543,0.427,11.5,23.3,17.4,7.7,1.9,2.1,12.4,14.5,-0.8,2.3,1.5,0.51,6.2,0.988,0.538,0.187,0.118,0.145,0.012,0.516,0.633,0.356,0.381,0.4,0.024,0.711,0.06,1.0,0.071,0.0,6.3,12.4,0.51,0.0,0.1,0.024,6.3,12.2,0.516,3.3,5.3,0.631,5.3,10.5,15.8,2.6,1.9,1.4,2.1,5.7,15.9,114,102,0
23,Active,Andre Drummond,C,drumman01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/drumman01.html,361,21.7,0.532,0.441,16.5,31.2,23.6,3.9,2.1,4.1,11.0,20.9,-0.9,1.5,0.6,0.549,2.9,0.995,0.662,0.298,0.031,0.004,0.005,0.55,0.643,0.376,0.292,0.063,0.278,0.577,0.194,0.0,0.0,0.0,9.9,18.1,0.549,0.0,0.1,0.278,9.9,18.0,0.55,3.1,8.0,0.388,7.9,14.0,21.9,1.2,2.1,2.7,2.7,5.3,23.0,109,100,0
24,Active,Andre Iguodala,SF,iguodan01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/i/iguodan01.html,955,16.0,0.553,0.386,3.2,14.1,8.7,20.0,2.4,1.0,14.9,18.0,1.4,1.6,3.0,0.463,13.4,0.725,0.324,0.07,0.094,0.237,0.275,0.511,0.703,0.322,0.324,0.38,0.335,0.513,0.142,0.828,0.31,0.345,6.9,14.9,0.463,1.4,4.1,0.335,5.5,10.8,0.511,4.1,5.8,0.715,1.4,6.4,7.8,6.7,2.4,0.7,3.1,2.8,19.3,110,105,5
25,Inactive,Andre Miller,PG,millean02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/millean02.html,1304,17.4,0.532,0.38,4.0,9.9,6.9,34.7,2.0,0.4,16.9,20.6,1.7,-0.6,1.1,0.461,10.1,0.932,0.338,0.167,0.224,0.203,0.068,0.479,0.607,0.405,0.416,0.397,0.218,0.303,0.002,0.727,0.128,0.234,7.8,17.0,0.461,0.3,1.2,0.217,7.6,15.8,0.478,5.2,6.4,0.807,1.8,4.4,6.2,11.0,2.0,0.3,4.0,3.7,21.1,110,108,4
26,Active,Andre Roberson,SF,roberan03,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/roberan03.html,235,9.5,0.524,0.222,5.5,14.0,9.8,5.1,1.9,2.2,12.4,9.6,-1.5,1.8,0.3,0.464,10.5,0.612,0.527,0.064,0.007,0.013,0.388,0.593,0.649,0.263,0.167,0.167,0.26,0.724,0.147,0.967,0.581,0.308,4.2,8.9,0.468,0.9,3.5,0.266,3.2,5.4,0.595,1.0,2.0,0.5,2.4,6.5,8.9,1.9,1.9,1.4,1.4,4.8,10.2,109,105,1
27,Inactive,Andrea Bargnani,C,bargnan01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bargnan01.html,550,14.4,0.531,0.251,3.9,15.0,9.5,7.1,0.7,2.4,10.3,24.0,-0.6,-1.6,-2.2,0.439,15.0,0.735,0.185,0.131,0.144,0.274,0.265,0.47,0.594,0.428,0.438,0.424,0.354,0.679,0.034,0.954,0.021,0.324,9.7,22.1,0.439,2.1,5.9,0.354,7.6,16.2,0.47,4.6,5.5,0.824,1.8,6.6,8.4,2.2,0.7,1.6,2.8,4.4,26.0,103,111,3
28,Inactive,Andrei Kirilenko,SF,kirilan01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/k/kirilan01.html,797,18.7,0.571,0.554,7.1,14.9,11.0,14.7,2.4,5.0,15.5,18.6,1.5,3.5,5.0,0.474,9.8,0.821,0.49,0.08,0.051,0.2,0.179,0.51,0.64,0.276,0.26,0.348,0.31,0.664,0.133,0.935,0.162,0.328,7.0,14.7,0.474,0.8,2.6,0.31,6.2,12.1,0.51,6.1,8.1,0.754,3.1,6.5,9.6,4.8,2.4,3.2,3.4,3.6,20.9,112,103,3
29,Active,Andrew Bogut,C,bogutan01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bogutan01.html,670,16.4,0.545,0.27,9.9,25.2,17.5,12.3,1.1,4.3,16.0,17.0,-1.2,3.5,2.4,0.534,4.0,0.995,0.547,0.353,0.064,0.031,0.005,0.536,0.646,0.424,0.329,0.31,0.12,0.587,0.127,0.667,0.0,0.0,7.8,14.6,0.534,0.0,0.1,0.12,7.8,14.5,0.536,2.2,3.9,0.556,4.5,11.3,15.8,4.0,1.1,2.8,3.1,5.6,17.8,107,102,0
30,Inactive,Andrew Goudelock,PG,goudean01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/goudean01.html,49,8.6,0.485,0.082,1.7,6.1,4.0,8.5,1.1,0.4,12.1,22.1,-2.7,-3.8,-6.5,0.393,18.8,0.571,0.015,0.163,0.133,0.26,0.429,0.429,0.0,0.563,0.577,0.294,0.345,0.292,0.0,0.793,0.131,0.545,8.5,21.7,0.393,3.2,9.3,0.345,5.3,12.4,0.429,1.5,1.8,0.875,0.8,3.0,3.8,2.7,1.1,0.2,3.1,4.0,21.8,93,109,6
31,Active,Andrew Harrison,SG,harrian01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/harrian01.html,53,8.5,0.469,0.546,1.8,8.3,5.0,20.2,2.0,1.5,15.9,16.2,-2.5,0.4,-2.1,0.316,15.3,0.564,0.287,0.096,0.067,0.124,0.436,0.358,0.457,0.333,0.158,0.229,0.26,0.14,0.007,0.594,0.138,0.471,4.0,12.5,0.316,1.4,5.5,0.26,2.5,7.1,0.358,5.2,6.8,0.766,0.8,3.7,4.5,7.0,2.0,0.8,2.9,7.0,14.6,100,107,6
32,Active,Andrew Nicholson,PF,nichoan01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/n/nichoan01.html,275,12.4,0.524,0.171,5.2,18.4,11.8,5.1,0.9,1.9,11.4,20.5,-3.4,-1.8,-5.2,0.469,12.5,0.825,0.19,0.278,0.106,0.25,0.175,0.499,0.709,0.443,0.401,0.442,0.327,0.6,0.041,0.965,0.45,0.316,9.0,19.1,0.469,1.1,3.3,0.327,7.9,15.8,0.499,2.5,3.3,0.771,2.4,8.3,10.7,1.6,0.9,1.2,2.7,5.7,21.5,99,108,3
33,Active,Andrew Wiggins,SF,wiggian01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/wiggian01.html,220,15.7,0.535,0.399,4.5,8.7,6.6,10.4,1.4,1.2,10.7,25.7,0.1,-2.3,-2.1,0.453,11.5,0.851,0.3,0.162,0.147,0.241,0.149,0.476,0.656,0.398,0.397,0.35,0.324,0.47,0.066,0.78,0.156,0.383,10.1,22.3,0.453,1.1,3.3,0.324,9.0,19.0,0.476,6.7,8.9,0.759,2.0,3.8,5.8,3.0,1.4,0.8,3.1,3.0,28.0,105,114,1
34,Active,Anthony Bennett,PF,bennean01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bennean01.html,151,10.2,0.457,0.279,7.6,20.5,13.9,6.5,1.5,1.1,12.1,19.0,-4.0,-1.6,-5.6,0.392,13.1,0.785,0.314,0.086,0.064,0.32,0.215,0.427,0.652,0.2,0.22,0.312,0.261,0.66,0.103,0.972,0.283,0.282,6.7,17.0,0.392,1.0,3.7,0.261,5.7,13.4,0.427,3.2,4.8,0.67,3.5,9.0,12.5,2.0,1.5,0.7,2.6,5.5,17.5,94,109,3
36,Active,Anthony Davis,PF,davisan02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/davisan02.html,314,26.5,0.575,0.398,8.3,25.0,16.5,9.5,2.0,5.7,8.5,27.4,1.9,2.2,4.1,0.513,9.5,0.957,0.347,0.198,0.171,0.242,0.043,0.523,0.707,0.436,0.435,0.393,0.288,0.697,0.141,0.969,0.176,0.231,12.5,24.3,0.513,0.3,1.1,0.288,12.2,23.3,0.523,7.6,9.7,0.785,3.8,11.3,15.1,2.6,2.0,3.6,2.7,3.7,32.9,115,103,7
37,Active,Anthony Morrow,SG,morroan01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/morroan01.html,555,13.2,0.568,0.156,2.8,8.4,5.6,6.4,1.3,0.5,7.6,18.2,1.0,-2.6,-1.5,0.447,17.7,0.558,0.093,0.105,0.147,0.213,0.442,0.471,0.556,0.476,0.45,0.447,0.417,0.556,0.001,0.949,0.359,0.423,8.1,18.1,0.447,3.3,8.0,0.417,4.7,10.1,0.471,2.5,2.8,0.878,1.3,3.8,5.0,2.0,1.3,0.3,1.6,3.7,21.9,114,113,5
38,Active,Anthony Tolliver,PF,tollian01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/tollian01.html,501,11.1,0.555,0.236,4.8,15.2,9.9,6.5,1.0,1.1,10.2,13.7,-0.2,-0.5,-0.7,0.413,18.4,0.395,0.17,0.069,0.039,0.118,0.605,0.493,0.657,0.405,0.316,0.363,0.36,0.736,0.032,0.996,0.335,0.394,5.2,12.7,0.413,2.8,7.7,0.36,2.5,5.0,0.493,2.3,3.0,0.772,2.2,6.8,9.0,2.2,1.0,0.8,1.6,4.2,15.6,112,109,3
39,Active,Archie Goodwin,SG,goodwar01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/goodwar01.html,153,11.1,0.5,0.429,3.9,11.3,7.5,13.1,1.5,1.2,16.9,22.2,-3.2,-1.3,-4.5,0.419,9.0,0.776,0.53,0.137,0.03,0.079,0.224,0.473,0.572,0.22,0.292,0.317,0.23,0.356,0.077,0.805,0.213,0.211,7.4,17.7,0.419,0.9,4.0,0.23,6.5,13.8,0.473,5.3,7.6,0.698,1.8,5.0,6.8,4.1,1.4,0.8,4.3,4.1,21.1,95,110,5
41,Active,Aron Baynes,C,baynear01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/baynear01.html,275,14.4,0.563,0.338,11.2,20.8,16.0,5.7,0.7,2.2,14.6,17.3,-2.1,0.5,-1.6,0.509,5.5,0.994,0.49,0.295,0.12,0.089,0.006,0.511,0.601,0.449,0.364,0.418,0.143,0.748,0.112,1.0,0.286,0.0,7.4,14.6,0.509,0.0,0.1,0.143,7.4,14.5,0.511,4.0,4.9,0.815,5.1,9.4,14.5,1.9,0.7,1.4,2.9,7.1,18.9,111,104,0
42,Active,Arron Afflalo,SG,afflaar01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/afflaar01.html,697,12.2,0.557,0.255,1.9,10.0,6.0,10.8,0.9,0.5,10.4,18.0,0.4,-1.3,-1.0,0.451,15.2,0.669,0.188,0.115,0.143,0.223,0.331,0.483,0.612,0.41,0.465,0.424,0.385,0.549,0.004,0.946,0.439,0.428,7.4,16.5,0.451,2.1,5.5,0.385,5.3,11.1,0.483,3.5,4.2,0.823,0.9,4.5,5.4,3.5,0.9,0.3,2.1,3.7,20.4,109,111,5
43,Inactive,Austin Daye,SF,dayeau01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/dayeau01.html,293,11.6,0.5,0.182,4.0,18.6,11.1,8.3,1.5,2.3,11.8,19.3,-2.0,-0.6,-2.6,0.402,16.1,0.621,0.174,0.099,0.14,0.206,0.379,0.433,0.589,0.414,0.389,0.34,0.351,0.573,0.021,0.963,0.327,0.377,7.3,18.3,0.402,2.4,6.9,0.351,4.9,11.3,0.433,2.6,3.3,0.778,1.9,8.0,9.9,2.7,1.5,1.5,2.6,6.2,19.7,99,107,3
44,Active,Austin Rivers,SG,riverau01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/riverau01.html,328,10.2,0.497,0.272,1.7,8.1,4.9,14.7,1.5,0.6,11.8,19.0,-1.5,-1.6,-3.1,0.416,12.0,0.703,0.311,0.227,0.071,0.092,0.297,0.443,0.563,0.36,0.351,0.311,0.351,0.266,0.013,0.835,0.232,0.411,7.1,17.0,0.416,1.8,5.1,0.351,5.3,12.0,0.443,3.0,4.6,0.648,0.7,3.7,4.5,4.9,1.5,0.4,2.5,4.7,18.9,100,111,2
45,Active,Avery Bradley,SG,bradlav01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bradlav01.html,394,12.0,0.519,0.124,2.5,9.4,6.0,9.9,1.9,0.6,10.6,20.7,-0.9,-0.5,-1.4,0.443,15.5,0.694,0.233,0.062,0.056,0.343,0.306,0.476,0.627,0.319,0.391,0.416,0.367,0.598,0.025,0.895,0.436,0.376,8.8,19.9,0.443,2.2,6.1,0.367,6.6,13.8,0.476,1.9,2.5,0.778,1.1,4.3,5.4,3.1,1.9,0.4,2.5,3.9,21.8,100,106,5
47,Inactive,Ben Gordon,SG,gordobe01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/gordobe01.html,744,14.9,0.546,0.263,1.9,8.7,5.2,16.5,1.3,0.4,13.3,25.9,1.1,-2.2,-1.1,0.432,16.4,0.679,0.161,0.088,0.103,0.325,0.321,0.447,0.496,0.419,0.421,0.439,0.401,0.395,0.004,0.708,0.265,0.431,10.1,23.3,0.432,3.0,7.5,0.401,7.1,15.8,0.447,5.3,6.1,0.857,0.9,3.9,4.7,4.8,1.3,0.3,4.0,4.4,28.4,105,110,2
48,Active,Ben McLemore,SG,mclembe01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mclembe01.html,275,9.0,0.524,0.202,2.1,8.8,5.5,7.4,1.4,0.6,13.3,17.3,-1.1,-1.4,-2.5,0.414,15.9,0.557,0.221,0.118,0.05,0.168,0.443,0.465,0.674,0.256,0.396,0.356,0.35,0.654,0.065,0.936,0.339,0.401,6.5,15.7,0.414,2.4,7.0,0.35,4.1,8.7,0.465,2.5,3.2,0.786,0.9,4.0,4.9,2.4,1.4,0.4,2.6,4.4,17.9,99,112,1
49,Active,Beno Udrih,PG,udrihbe01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/u/udrihbe01.html,822,14.0,0.538,0.204,1.9,8.9,5.4,25.0,1.6,0.3,15.4,18.9,0.0,-1.5,-1.6,0.462,14.0,0.774,0.227,0.088,0.201,0.257,0.226,0.495,0.61,0.414,0.498,0.421,0.349,0.381,0.0,0.858,0.317,0.401,7.8,16.8,0.462,1.3,3.8,0.349,6.4,13.0,0.495,2.9,3.4,0.832,0.9,4.0,4.8,8.0,1.6,0.2,3.3,3.6,19.7,107,110,6
50,Inactive,Bernard James,C,jamesbe01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jamesbe01.html,92,13.8,0.546,0.49,12.6,18.5,15.6,2.4,1.1,6.4,15.5,13.1,-2.9,1.8,-1.1,0.497,3.6,0.98,0.725,0.216,0.026,0.013,0.02,0.507,0.595,0.303,0.0,0.0,0.0,0.711,0.144,0.0,0.333,0.0,5.1,10.2,0.497,0.0,0.2,0.0,5.1,10.0,0.507,3.4,5.0,0.68,5.7,8.5,14.2,0.9,1.1,4.1,2.3,7.0,13.6,111,104,0
