,labels,x,y,Player
145,0,1.5078524748,-0.18108316252,Donatas Motiejunas
146,2,-0.170170097295,-1.20426814423,Dorell Wright
147,2,0.30906578044,-2.03010308996,Dorian Finney-Smith
148,2,0.203058863176,-1.44176707115,Doug McDermott
149,7,0.889377801496,-1.60393604925,Dragan Bender
150,9,0.558753974307,0.446036455966,Draymond Green
151,5,2.44581076783,0.448716178785,Drew Gooden
152,6,3.98161451169,0.483976701732,Dwight Howard
153,0,2.43200306165,-0.652948939589,Dwight Powell
154,1,-1.99229526123,0.766918839554,Dwyane Wade
155,1,-1.82952919914,-0.185003646635,E'Twaun Moore
156,5,2.25975321051,0.635464565112,Earl Barron
157,0,1.46130981278,-0.566816269863,Earl Clark
158,6,3.27508976764,1.21666088172,Ed Davis
159,5,1.90657543549,1.17496564033,Ekpe Udoh
160,3,-3.54051505724,2.10014676238,Elfrid Payton
161,8,-1.06179762519,-1.05535126141,Elijah Millsap
162,8,-1.04710662653,-0.892773226849,Elliot Williams
163,5,2.84948497292,0.766236481503,Elton Brand
164,4,-2.85205502979,1.09985974808,Emmanuel Mudiay
165,5,2.77059974906,0.363625681849,Enes Kanter
166,4,-2.78660584665,0.907264176132,Eric Bledsoe
167,1,-1.99201182458,-0.644345080932,Eric Gordon
168,1,-2.16760140634,-0.321933471362,Erick Green
169,0,1.91427989425,-0.444325293353,Ersan Ilyasova
170,8,-1.40145166076,-0.924909473812,Evan Fournier
171,1,-1.50838674419,0.37657284814,Evan Turner
172,6,3.51414734756,1.49440200614,Festus Ezeli
173,2,-0.566709432342,-1.08256911339,Francisco Garcia
174,7,0.482886747598,-0.651953392568,Frank Kaminsky
175,1,-2.82298591621,-0.110034626713,Fred VanVleet
176,5,2.20724830553,1.90431602121,Furkan Aldemir
177,3,-4.07501316349,2.73291306214,Gal Mekel
178,8,-1.64947356357,-0.974511482147,Garrett Temple
179,8,-1.00243272592,-1.56704626177,Gary Harris
180,8,-1.49898097404,-0.465179834549,Gary Neal
181,1,-2.12698947428,-0.290859860892,George Hill
182,2,-0.610981296466,-1.14219605882,Georges Niang
183,8,-0.701272540807,-1.06458799155,Gerald Green
184,8,-0.719707128323,-0.784586465957,Gerald Henderson
185,2,0.141857086267,-1.2444725265,Gerald Wallace
186,9,0.421122592521,0.350056326117,Giannis Antetokounmpo
187,0,1.58830241052,-0.213642804723,Glen Davis
188,2,-0.146228654217,-1.39557100318,Glenn Robinson
189,4,-3.05684487069,1.10829663322,Goran Dragic
190,8,-1.25292523614,-0.41961625419,Gordon Hayward
191,5,2.5208356443,0.114192190675,Gorgui Dieng
192,5,1.98798746712,0.706362396218,Greg Monroe
193,5,3.0843431036,1.02200826311,Greg Smith
194,5,2.95615436087,0.806747569419,Greg Stiemsma
195,3,-3.51006717577,2.51379248404,Greivis Vasquez
196,2,-0.0268437188449,-1.30821776794,Harrison Barnes
197,6,5.01149283119,1.81825754848,Hassan Whiteside
198,8,-1.32886471967,-0.102499986279,Hedo Turkoglu
199,5,2.31364651165,0.878695291139,Henry Sims
200,2,0.0413500648239,-1.42016597506,Henry Walker
201,2,-0.324858043187,-1.34841121576,Hollis Thompson
202,8,-1.28162784374,-0.43931412162,Ian Clark
203,5,2.65234749649,0.613496144648,Ian Mahinmi
204,8,-1.56595299267,-1.00183892439,Iman Shumpert
205,1,-2.55361306574,-0.829904423786,Isaiah Canaan
206,4,-3.17637183765,0.709626752892,Isaiah Thomas
207,1,-2.14250103305,0.967156199551,Isaiah Whitehead
208,3,-3.87454614232,2.26144058313,Ish Smith
209,6,3.63888639218,1.89876832589,Ivica Zubac
210,4,-3.63000391634,1.82161335839,J.J. Barea
211,5,2.67317781864,0.314583736493,J.J. Hickson
212,8,-0.992935157271,-1.19390150074,J.J. Redick
213,8,-1.64732625484,-0.96600410796,J.R. Smith
214,7,0.399498096694,-0.760124952491,Jabari Parker
215,2,0.0808820896323,-1.77692429927,Jae Crowder
216,0,1.7754189691,0.535459743995,Jahlil Okafor
217,9,-0.0399831340186,-0.661347371947,JaKarr Sampson
218,2,-0.898955989997,-2.30630965995,Jake Layman
219,5,2.68921950261,0.983075148157,Jakob Poeltl
220,9,0.120955526826,-0.341176304889,Jamaal Franklin
221,1,-2.91530784977,-0.136388567891,Jamal Crawford
222,8,-1.09330269163,-0.614472982523,Jamal Murray
223,4,-3.62309685751,1.65105721226,Jameer Nelson
224,2,-0.592235879649,-1.25781239098,James Anderson
225,7,0.299296219428,-1.17835923939,James Ennis
226,1,-2.41836408932,0.111871651492,James Harden
227,9,0.00761187029429,0.136881432261,James Johnson
228,2,-0.213286302405,-1.6251048239,James Jones
229,5,2.10350720401,0.534933559242,James Michael McAdoo
230,2,0.227400397877,-2.21589916441,James Young
231,0,1.98673017779,-0.221782529706,JaMychal Green
232,4,-3.04956187242,0.862881580087,Jannero Pargo
233,8,-1.42809513248,-1.64913338572,Jared Cunningham
234,2,0.0902394827657,-1.13787211561,Jared Dudley
235,5,2.52827057622,0.867502882487,Jared Sullinger
236,8,-0.880924454417,-0.895249602152,Jarell Eddie
237,0,1.73135228873,-0.235891597526,Jarell Martin
238,5,2.02049816365,1.07965353621,Jarnell Stokes
239,4,-3.161285853,1.15693636931,Jarrett Jack
240,5,2.42257211694,0.709335295006,Jason Maxiell
241,2,-0.588927841936,-1.13958777578,Jason Richardson
242,0,2.0576558592,0.0929183217697,Jason Smith
243,1,-2.92541673361,0.146744411722,Jason Terry
244,5,2.89621302007,0.623057090946,Jason Thompson
245,6,3.87208606996,1.2782175862,JaVale McGee
246,7,0.373119985623,-1.1815236769,Jaylen Brown
247,5,2.80534216908,1.32562761667,Jeff Adrien
248,5,2.95694088809,0.622872580298,Jeff Ayres
249,2,-0.039120010518,-1.20279247658,Jeff Green
250,3,-4.17861192752,1.95016118715,Jeff Teague
251,6,3.04814415559,1.16998380074,Jeff Withey
252,2,-0.611966388696,-1.692631177,Jeffery Taylor
253,7,0.529197612861,-1.01438755858,Jerami Grant
254,5,2.35737061089,0.26485209684,Jeremy Evans
255,9,-0.352163213631,-0.695705532279,Jeremy Lamb
256,4,-3.07569746626,1.00488227192,Jeremy Lin
257,1,-2.72660417581,0.275110753803,Jerian Grant
258,6,3.03706626704,1.75334314583,Jerome Jordan
259,1,-2.74640055508,0.575787597852,Jerryd Bayless
260,1,-2.76136411213,0.131727308024,Jimmer Fredette
261,8,-0.871179425094,-0.989305172729,Jimmy Butler
262,6,2.52119511213,1.97081073209,Joakim Noah
263,2,-0.74110816564,-2.14407878497,Jodie Meeks
264,2,-0.261354359079,-1.47459954972,Joe Harris
265,8,-2.31033798908,-1.06577131339,Joe Ingles
266,1,-1.99281629171,0.0263865150015,Joe Johnson
267,4,-3.63343361713,1.01517118905,Joe Young
268,5,2.31431669909,0.939005357919,Joel Anthony
269,6,3.45215232669,0.756195798483,Joel Embiid
270,6,3.00269742208,1.36680954879,Joel Freeland
271,5,2.97644904379,1.00076045327,Joey Dorsey
272,0,2.23460947235,0.217698801804,Joffrey Lauvergne
273,6,3.1222110581,1.45671304173,John Henson
274,8,-0.742285956888,-1.04117512306,John Jenkins
275,4,-3.69068062542,0.625284520611,John Lucas III
276,1,-1.88990187459,-0.553341601095,John Salmons
277,3,-4.2854816086,2.46646118077,John Wall
278,0,1.35922740871,-0.259108045516,Johnny O'Bryant
279,0,1.99638621424,-0.345168720964,Jon Leuer
