Season,Player,Pos,Player_ID,url
Inactive,Carlos Boozer,PF,boozeca01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/boozeca01.html
Active,Carmelo Anthony,SF,anthoca01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/anthoca01.html
Inactive,Caron Butler,SF,butleca01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/butleca01.html
Inactive,Cartier Martin,SF,martica01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/martica01.html
Active,Chandler Parsons,SF,parsoch01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/parsoch01.html
Active,Channing Frye,C,fryech01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/f/fryech01.html
Inactive,Charlie Villanueva,PF,villach01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/v/villach01.html
Inactive,Chase Budinger,SF,budinch01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/budinch01.html
Active,Chasson Randle,PG,randlch01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/randlch01.html
Active,Cheick Diallo,PF,diallch01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/diallch01.html
Active,Chinanu Onuaku,C,onuakch01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/o/onuakch01.html
Active,Chris Andersen,C,anderch01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/anderch01.html
Inactive,Chris Bosh,C,boshch01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/boshch01.html
Inactive,Chris Copeland,PF,copelch01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/copelch01.html
Inactive,Chris Douglas-Roberts,SG,douglch01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/douglch01.html
Inactive,Chris Johnson,SF,johnsch04,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/johnsch04.html
Inactive,Chris Kaman,C,kamanch01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/k/kamanch01.html
Active,Chris McCullough,PF,mcculch01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mcculch01.html
Active,Chris Paul,PG,paulch01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/paulch01.html
Active,Christian Wood,PF,woodch01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/woodch01.html
Inactive,Chuck Hayes,C,hayesch01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hayesch01.html
Inactive,Cleanthony Early,SF,earlycl01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/e/earlycl01.html
Inactive,Cliff Alexander,PF,alexacl01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/alexacl01.html
Active,Clint Capela,C,capelca01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/capelca01.html
Active,Cody Zeller,PF,zelleco01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/z/zelleco01.html
Active,Cole Aldrich,C,aldrico01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/aldrico01.html
Active,Corey Brewer,SF,breweco01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/breweco01.html
Inactive,Cory Jefferson,PF,jeffeco01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jeffeco01.html
Active,Cory Joseph,PG,josepco01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/josepco01.html
Inactive,Coty Clarke,SF,clarkco01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/clarkco01.html
Active,Courtney Lee,SG,leeco01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/leeco01.html
Active,Cristiano Felicio,C,feliccr01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/f/feliccr01.html
Active,D.J. Augustin,PG,augusdj01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/augusdj01.html
Active,D'Angelo Russell,PG,russeda01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/russeda01.html
Inactive,Dahntay Jones,SF,jonesda02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jonesda02.html
Active,Damian Jones,C,jonesda03,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jonesda03.html
Active,Damian Lillard,PG,lillada01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/lillada01.html
Inactive,Damien Inglis,SF,inglida01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/i/inglida01.html
Active,Damjan Rudez,SF,rudezda01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/rudezda01.html
Active,Daniel Ochefu,C,ochefda01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/o/ochefda01.html
Active,Danilo Gallinari,SF,gallida01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/gallida01.html
Inactive,Danny Granger,SF,grangda01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/grangda01.html
Active,Danny Green,SG,greenda02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/greenda02.html
Active,Dante Cunningham,SF,cunnida01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/cunnida01.html
Active,Dante Exum,PG,exumda01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/e/exumda01.html
Active,Danuel House,SG,houseda01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/houseda01.html
Active,Dario Saric,PF,saricda01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/saricda01.html
Inactive,Darius Miller,SF,milleda01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/milleda01.html
Inactive,Darius Morris,PG,morrida01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/morrida01.html
Active,Darrell Arthur,PF,arthuda01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/arthuda01.html
Active,Darren Collison,PG,collida01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/collida01.html
Active,Darrun Hilliard,SG,hillida01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hillida01.html
Active,David Lee,PF,leeda02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/leeda02.html
Inactive,David Stockton,PG,stockda01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/stockda01.html
Inactive,David Wear,PF,wearda01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/wearda01.html
Active,David West,PF,westda01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/westda01.html
Active,Davis Bertans,PF,bertada01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bertada01.html
Active,DeAndre Jordan,C,jordade01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jordade01.html
Active,DeAndre Liggins,SG,liggide01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/liggide01.html
Active,DeAndre' Bembry,SF,bembrde01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bembrde01.html
Active,Dejounte Murray,PG,murrade01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/murrade01.html
Inactive,DeJuan Blair,C,blairde01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/blairde01.html
Active,Delon Wright,PG,wrighde01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/wrighde01.html
Active,DeMar DeRozan,SG,derozde01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/derozde01.html
Active,DeMarcus Cousins,C,couside01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/couside01.html
Active,DeMarre Carroll,SF,carrode01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/carrode01.html
Active,Demetrius Jackson,PG,jacksde01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jacksde01.html
Active,Dennis Schroder,PG,schrode01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/schrode01.html
Active,Denzel Valentine,SG,valende01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/v/valende01.html
Active,Deron Williams,PG,willide01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/willide01.html
