,Unnamed: 0,Player,Pos,Player_ID,url,Cluster,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
667,516,Quincy Miller,PF,millequ01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/millequ01.html,2,69.0,16.0,13.5,1.6,4.4,0.35,0.5,1.6,0.292,1.1,2.8,0.383,0.404,0.7,1.0,0.706,0.6,1.9,2.4,0.5,0.4,0.5,0.8,1.2,4.3
668,517,Quincy Pondexter,SF,pondequ01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/pondequ01.html,2,279.0,47.0,18.1,1.9,4.5,0.424,0.7,2.0,0.365,1.2,2.5,0.472,0.506,0.7,1.0,0.732,0.7,1.4,2.0,0.8,0.4,0.2,0.6,1.5,5.3
669,519,Rajon Rondo,PG,rondora01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/rondora01.html,4,693.0,621.0,32.4,4.5,9.6,0.463,0.3,1.1,0.292,4.1,8.6,0.484,0.479,1.4,2.4,0.605,1.1,3.8,4.9,8.6,1.8,0.1,2.9,2.3,10.6
670,521,Ramon Sessions,PG,sessira01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/sessira01.html,0,663.0,143.0,23.7,3.6,8.2,0.436,0.3,1.0,0.316,3.3,7.2,0.452,0.454,3.1,4.0,0.792,0.5,2.2,2.7,4.1,0.7,0.1,1.7,1.4,10.6
671,522,Randy Foye,SG,foyera01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/f/foyera01.html,9,726.0,407.0,25.9,3.7,9.1,0.401,1.5,4.1,0.367,2.2,5.1,0.429,0.483,1.6,1.9,0.85,0.3,1.9,2.3,2.8,0.7,0.3,1.5,2.1,10.5
672,523,Rashad Vaughn,SG,vaughra01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/v/vaughra01.html,3,94.0,6.0,13.6,1.2,3.8,0.319,0.7,2.2,0.305,0.6,1.7,0.335,0.404,0.1,0.2,0.765,0.1,1.1,1.2,0.5,0.4,0.2,0.4,0.9,3.2
673,524,Rasual Butler,SF,butlera01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/butlera01.html,2,809.0,266.0,21.3,2.8,7.0,0.403,1.1,3.1,0.362,1.7,3.9,0.437,0.483,0.7,1.0,0.747,0.4,2.0,2.4,0.8,0.4,0.5,0.7,1.4,7.5
674,525,Raul Neto,PG,netora01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/n/netora01.html,9,110.0,53.0,15.6,1.9,4.3,0.434,0.6,1.7,0.383,1.2,2.7,0.466,0.507,0.5,0.7,0.757,0.2,1.1,1.3,1.8,0.7,0.0,1.1,1.4,4.9
675,526,Ray McCallum,PG,mccalra01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mccalra01.html,9,154.0,46.0,18.2,2.4,5.9,0.408,0.5,1.4,0.335,2.0,4.6,0.43,0.447,0.7,0.9,0.711,0.5,1.5,2.0,2.4,0.5,0.2,1.0,1.2,6.0
676,527,Raymond Felton,PG,feltora01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/f/feltora01.html,0,831.0,657.0,32.1,4.6,11.0,0.413,1.0,3.0,0.329,3.6,8.0,0.444,0.458,2.0,2.5,0.789,0.6,2.5,3.2,5.8,1.3,0.2,2.3,2.1,12.1
677,528,Reggie Bullock,SF,bullore01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bullore01.html,2,131.0,5.0,10.6,1.1,2.7,0.392,0.5,1.6,0.338,0.5,1.2,0.464,0.489,0.2,0.3,0.784,0.2,1.3,1.5,0.5,0.3,0.1,0.3,0.7,2.9
678,529,Reggie Evans,PF,evansre01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/e/evansre01.html,1,809.0,372.0,19.2,1.4,2.9,0.465,0.0,0.0,0.091,1.4,2.9,0.467,0.466,1.3,2.5,0.528,2.5,4.7,7.1,0.6,0.7,0.1,1.1,2.3,4.1
679,530,Reggie Jackson,PG,jacksre01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jacksre01.html,0,388.0,192.0,24.5,4.6,10.6,0.432,0.9,2.9,0.32,3.7,7.7,0.474,0.475,2.1,2.4,0.858,0.5,2.5,3.1,4.3,0.7,0.1,1.9,1.8,12.2
