,Season,Player,Player_ID,Pos,url,Player_ID1,Games_,Minutes_Played,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DPM,BPM,VORP,Games,Min_Played,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD
10,Active,Alan Anderson,anderal01,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/anderal01.html,anderal01,323.0,6751.0,10.3,0.525,0.462,0.237,2.6,9.7,6.1,8.8,1.4,0.4,11.2,17.6,3.7,3.6,7.3,0.052,0.0,-1.5,-2.1,-0.2,323.0,6751.0,0.404,16.2,0.538,0.202,0.108,0.096,0.132,0.462,0.456,0.647,0.338,0.402,0.297,0.343,0.479,0.02,38.0,0.866,0.352,0.365,9.0,0.0
11,Inactive,Alan Anderson,anderal01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/anderal01.html,anderal01,323.0,6751.0,10.3,0.525,0.462,0.237,2.6,9.7,6.1,8.8,1.4,0.4,11.2,17.6,3.7,3.6,7.3,0.052,0.0,-1.5,-2.1,-0.2,323.0,6751.0,0.404,16.2,0.538,0.202,0.108,0.096,0.132,0.462,0.456,0.647,0.338,0.402,0.297,0.343,0.479,0.02,38.0,0.866,0.352,0.365,9.0,0.0
12,Active,Alan Williams,willial03,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/willial03.html,willial03,33.0,232.0,20.0,0.525,0.0,0.494,20.7,32.7,26.5,4.8,2.3,6.7,16.5,21.0,0.2,0.4,0.6,0.134,0.0,1.5,-1.6,0.0,33.0,232.0,0.494,3.9,1.0,0.506,0.43,0.063,0.0,0.0,0.494,0.525,0.471,0.4,0.0,0.0,0.462,0.013,1.0,0.0,0.0,0.0,0.0,0.0
13,Active,Alec Burks,burksal01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/burksal01.html,burksal01,280.0,6284.0,14.0,0.527,0.199,0.412,3.5,11.2,7.3,13.9,1.5,0.6,12.6,22.9,5.8,3.6,9.4,0.071,0.0,-1.6,-2.0,0.1,280.0,6284.0,0.432,12.0,0.801,0.318,0.18,0.075,0.227,0.199,0.45,0.605,0.329,0.366,0.356,0.362,0.358,0.039,84.0,0.78,0.274,0.402,15.0,0.0
14,Active,Alex Abrines,abrinal01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/abrinal01.html,abrinal01,46.0,643.0,9.9,0.566,0.716,0.204,2.1,6.7,4.4,5.2,1.6,0.6,9.5,16.0,0.7,0.5,1.2,0.091,0.0,-2.5,-3.1,-0.2,46.0,643.0,0.393,20.5,0.284,0.109,0.055,0.05,0.07,0.716,0.439,0.5,0.455,0.2,0.5,0.375,0.6,0.02,4.0,0.963,0.208,0.367,1.0,0.0
15,Active,Alex Len,lenal01,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/lenal01.html,lenal01,243.0,4762.0,12.9,0.513,0.01,0.373,10.4,24.2,17.2,5.3,1.0,4.2,16.7,17.1,1.4,5.5,6.8,0.069,0.0,1.3,-2.6,-0.8,243.0,4762.0,0.463,6.5,0.99,0.489,0.214,0.134,0.153,0.01,0.465,0.62,0.316,0.297,0.327,0.214,0.663,0.175,215.0,1.0,0.429,0.333,2.0,0.0
16,Active,Alexis Ajinca,ajincal01,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/ajincal01.html,ajincal01,277.0,3671.0,14.8,0.545,0.034,0.249,10.0,23.5,16.6,6.1,1.3,3.8,15.2,19.4,2.7,4.3,6.9,0.091,0.0,0.4,-2.5,-0.4,277.0,3671.0,0.5,9.2,0.966,0.337,0.238,0.148,0.242,0.034,0.507,0.644,0.444,0.433,0.426,0.293,0.701,0.117,125.0,1.0,0.049,1.0,0.0,0.0
17,Inactive,Alexis Ajinca,ajincal01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/ajincal01.html,ajincal01,277.0,3671.0,14.8,0.545,0.034,0.249,10.0,23.5,16.6,6.1,1.3,3.8,15.2,19.4,2.7,4.3,6.9,0.091,0.0,0.4,-2.5,-0.4,277.0,3671.0,0.5,9.2,0.966,0.337,0.238,0.148,0.242,0.034,0.507,0.644,0.444,0.433,0.426,0.293,0.701,0.117,125.0,1.0,0.049,1.0,0.0,0.0
18,Active,Allen Crabbe,crabbal01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/crabbal01.html,crabbal01,204.0,4507.0,10.9,0.571,0.443,0.174,1.2,9.8,5.5,7.1,1.3,0.7,8.6,15.1,5.4,2.4,7.8,0.083,0.0,-1.1,-1.2,0.9,204.0,4507.0,0.451,17.3,0.557,0.149,0.076,0.09,0.244,0.443,0.492,0.699,0.37,0.449,0.419,0.401,0.784,0.02,22.0,0.966,0.307,0.419,1.0,0.0
19,Active,Alonzo Gee,geeal01,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/geeal01.html,geeal01,417.0,9071.0,10.7,0.522,0.248,0.325,4.7,12.6,8.5,7.6,2.1,0.9,14.5,15.2,3.8,5.9,9.7,0.051,0.0,0.2,-1.4,1.4,417.0,9071.0,0.434,10.3,0.752,0.426,0.147,0.079,0.099,0.248,0.469,0.621,0.224,0.295,0.323,0.325,0.531,0.146,308.0,0.93,0.582,0.318,3.0,1.0
20,Inactive,Alonzo Gee,geeal01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/geeal01.html,geeal01,417.0,9071.0,10.7,0.522,0.248,0.325,4.7,12.6,8.5,7.6,2.1,0.9,14.5,15.2,3.8,5.9,9.7,0.051,0.0,0.2,-1.4,1.4,417.0,9071.0,0.434,10.3,0.752,0.426,0.147,0.079,0.099,0.248,0.469,0.621,0.224,0.295,0.323,0.325,0.531,0.146,308.0,0.93,0.582,0.318,3.0,1.0
21,Active,Amir Johnson,johnsam01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/johnsam01.html,johnsam01,721.0,16119.0,16.0,0.604,0.058,0.29,10.9,18.6,14.8,8.4,1.4,3.7,15.2,14.9,28.8,19.7,48.5,0.145,0.0,2.2,2.6,18.5,721.0,16119.0,0.574,6.3,0.942,0.531,0.258,0.037,0.117,0.058,0.589,0.707,0.463,0.377,0.399,0.333,0.676,0.13,482.0,0.974,0.276,0.365,5.0,0.0
22,Inactive,Amir Johnson,johnsam01,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/johnsam01.html,johnsam01,721.0,16119.0,16.0,0.604,0.058,0.29,10.9,18.6,14.8,8.4,1.4,3.7,15.2,14.9,28.8,19.7,48.5,0.145,0.0,2.2,2.6,18.5,721.0,16119.0,0.574,6.3,0.942,0.531,0.258,0.037,0.117,0.058,0.589,0.707,0.463,0.377,0.399,0.333,0.676,0.13,482.0,0.974,0.276,0.365,5.0,0.0
23,Active,Anderson Varejao,varejan01,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/v/varejan01.html,varejan01,627.0,15051.0,15.6,0.543,0.012,0.427,11.5,23.3,17.4,7.7,1.9,2.1,12.4,14.5,22.2,24.2,46.4,0.148,0.0,2.3,1.5,13.3,627.0,15051.0,0.51,6.2,0.988,0.538,0.187,0.118,0.145,0.012,0.516,0.633,0.356,0.381,0.4,0.024,0.711,0.06,196.0,1.0,0.071,0.0,7.0,0.0
24,Inactive,Anderson Varejao,varejan01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/v/varejan01.html,varejan01,627.0,15051.0,15.6,0.543,0.012,0.427,11.5,23.3,17.4,7.7,1.9,2.1,12.4,14.5,22.2,24.2,46.4,0.148,0.0,2.3,1.5,13.3,627.0,15051.0,0.51,6.2,0.988,0.538,0.187,0.118,0.145,0.012,0.516,0.633,0.356,0.381,0.4,0.024,0.711,0.06,196.0,1.0,0.071,0.0,7.0,0.0
25,Active,Andre Drummond,drumman01,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/drumman01.html,drumman01,361.0,10761.0,21.7,0.532,0.005,0.441,16.5,31.2,23.6,3.9,2.1,4.1,11.0,20.9,14.8,19.5,34.3,0.153,0.0,1.5,0.6,7.2,361.0,10761.0,0.549,2.9,0.995,0.662,0.298,0.031,0.004,0.005,0.55,0.643,0.376,0.292,0.063,0.278,0.577,0.194,666.0,0.0,0.0,0.0,11.0,2.0
26,Active,Andre Iguodala,iguodan01,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/i/iguodan01.html,iguodan01,955.0,33248.0,16.0,0.553,0.275,0.386,3.2,14.1,8.7,20.0,2.4,1.0,14.9,18.0,44.9,41.5,86.4,0.125,0.0,1.6,3.0,42.0,955.0,33248.0,0.463,13.4,0.725,0.324,0.07,0.094,0.237,0.275,0.511,0.703,0.322,0.324,0.38,0.335,0.513,0.142,1307.0,0.828,0.31,0.345,48.0,2.0
27,Inactive,Andre Iguodala,iguodan01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/i/iguodan01.html,iguodan01,955.0,33248.0,16.0,0.553,0.275,0.386,3.2,14.1,8.7,20.0,2.4,1.0,14.9,18.0,44.9,41.5,86.4,0.125,0.0,1.6,3.0,42.0,955.0,33248.0,0.463,13.4,0.725,0.324,0.07,0.094,0.237,0.275,0.511,0.703,0.322,0.324,0.38,0.335,0.513,0.142,1307.0,0.828,0.31,0.345,48.0,2.0
28,Active,Andre Roberson,roberan03,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/roberan03.html,roberan03,235.0,5012.0,9.5,0.524,0.388,0.222,5.5,14.0,9.8,5.1,1.9,2.2,12.4,9.6,3.0,6.1,9.2,0.088,0.0,1.8,0.3,2.9,234.0,4983.0,0.464,10.5,0.612,0.527,0.064,0.007,0.013,0.388,0.593,0.649,0.263,0.167,0.167,0.26,0.724,0.147,121.0,0.967,0.581,0.308,3.0,0.0
29,Inactive,Andre Roberson,roberan03,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/roberan03.html,roberan03,235.0,5012.0,9.5,0.524,0.388,0.222,5.5,14.0,9.8,5.1,1.9,2.2,12.4,9.6,3.0,6.1,9.2,0.088,0.0,1.8,0.3,2.9,234.0,4983.0,0.464,10.5,0.612,0.527,0.064,0.007,0.013,0.388,0.593,0.649,0.263,0.167,0.167,0.26,0.724,0.147,121.0,0.967,0.581,0.308,3.0,0.0
30,Active,Andrew Bogut,bogutan01,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bogutan01.html,bogutan01,670.0,19511.0,16.4,0.545,0.005,0.27,9.9,25.2,17.5,12.3,1.1,4.3,16.0,17.0,19.0,30.9,49.9,0.123,0.0,3.5,2.4,21.4,670.0,19511.0,0.534,4.0,0.995,0.547,0.353,0.064,0.031,0.005,0.536,0.646,0.424,0.329,0.31,0.12,0.587,0.127,646.0,0.667,0.0,0.0,3.0,0.0
31,Inactive,Andrew Bogut,bogutan01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bogutan01.html,bogutan01,670.0,19511.0,16.4,0.545,0.005,0.27,9.9,25.2,17.5,12.3,1.1,4.3,16.0,17.0,19.0,30.9,49.9,0.123,0.0,3.5,2.4,21.4,670.0,19511.0,0.534,4.0,0.995,0.547,0.353,0.064,0.031,0.005,0.536,0.646,0.424,0.329,0.31,0.12,0.587,0.127,646.0,0.667,0.0,0.0,3.0,0.0
32,Active,Andrew Harrison,harrian01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/harrian01.html,harrian01,53.0,1162.0,8.5,0.469,0.436,0.546,1.8,8.3,5.0,20.2,2.0,1.5,15.9,16.2,0.0,1.4,1.3,0.056,0.0,0.4,-2.1,0.0,53.0,1162.0,0.316,15.3,0.564,0.287,0.096,0.067,0.124,0.436,0.358,0.457,0.333,0.158,0.229,0.26,0.14,0.007,1.0,0.594,0.138,0.471,3.0,0.0
33,Active,Andrew Nicholson,nichoan01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/n/nichoan01.html,nichoan01,275.0,3969.0,12.4,0.524,0.175,0.171,5.2,18.4,11.8,5.1,0.9,1.9,11.4,20.5,0.7,3.2,3.9,0.048,0.0,-1.8,-5.2,-3.2,275.0,3969.0,0.469,12.5,0.825,0.19,0.278,0.106,0.25,0.175,0.499,0.709,0.443,0.401,0.442,0.327,0.6,0.041,58.0,0.965,0.45,0.316,2.0,0.0
34,Active,Andrew Wiggins,wiggian01,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/wiggian01.html,wiggian01,220.0,7934.0,15.7,0.535,0.149,0.399,4.5,8.7,6.6,10.4,1.4,1.2,10.7,25.7,8.2,1.4,9.6,0.058,0.0,-2.3,-2.1,-0.3,220.0,7934.0,0.453,11.5,0.851,0.3,0.162,0.147,0.241,0.149,0.476,0.656,0.398,0.397,0.35,0.324,0.47,0.066,211.0,0.78,0.156,0.383,2.0,0.0
35,Active,Anthony Bennett,bennean01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bennean01.html,bennean01,151.0,1905.0,10.2,0.457,0.215,0.279,7.6,20.5,13.9,6.5,1.5,1.1,12.1,19.0,-0.9,1.4,0.5,0.012,0.0,-1.6,-5.6,-1.7,151.0,1905.0,0.392,13.1,0.785,0.314,0.086,0.064,0.32,0.215,0.427,0.652,0.2,0.22,0.312,0.261,0.66,0.103,61.0,0.972,0.283,0.282,0.0,0.0
36,Active,Anthony Brown,brownan02,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/brownan02.html,brownan02,40.0,758.0,5.4,0.427,0.551,0.114,2.3,12.5,7.3,5.4,1.3,0.6,10.2,12.0,-0.5,0.2,-0.3,-0.019,0.0,-0.9,-4.9,-0.6,40.0,758.0,0.324,18.1,0.449,0.142,0.074,0.08,0.153,0.551,0.38,0.44,0.231,0.429,0.37,0.278,0.633,0.017,3.0,0.852,0.268,0.346,0.0,0.0
37,Active,Anthony Davis,davisan02,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/davisan02.html,davisan02,314.0,10783.0,26.5,0.575,0.043,0.398,8.3,25.0,16.5,9.5,2.0,5.7,8.5,27.4,29.1,16.2,45.3,0.202,0.0,2.2,4.1,16.6,314.0,10783.0,0.513,9.5,0.957,0.347,0.198,0.171,0.242,0.043,0.523,0.707,0.436,0.435,0.393,0.288,0.697,0.141,656.0,0.969,0.176,0.231,6.0,0.0
38,Inactive,Anthony Davis,davisan02,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/davisan02.html,davisan02,314.0,10783.0,26.5,0.575,0.043,0.398,8.3,25.0,16.5,9.5,2.0,5.7,8.5,27.4,29.1,16.2,45.3,0.202,0.0,2.2,4.1,16.6,314.0,10783.0,0.513,9.5,0.957,0.347,0.198,0.171,0.242,0.043,0.523,0.707,0.436,0.435,0.393,0.288,0.697,0.141,656.0,0.969,0.176,0.231,6.0,0.0
39,Active,Anthony Morrow,morroan01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/morroan01.html,morroan01,555.0,12193.0,13.2,0.568,0.442,0.156,2.8,8.4,5.6,6.4,1.3,0.5,7.6,18.2,19.1,3.7,22.8,0.09,0.0,-2.6,-1.5,1.4,555.0,12193.0,0.447,17.7,0.558,0.093,0.105,0.147,0.213,0.442,0.471,0.556,0.476,0.45,0.447,0.417,0.556,0.001,3.0,0.949,0.359,0.423,1.0,0.0
40,Active,Anthony Tolliver,tollian01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/tollian01.html,tollian01,501.0,9987.0,11.1,0.555,0.605,0.236,4.8,15.2,9.9,6.5,1.0,1.1,10.2,13.7,11.1,7.3,18.4,0.088,0.0,-0.5,-0.7,3.4,501.0,9987.0,0.413,18.4,0.395,0.17,0.069,0.039,0.118,0.605,0.493,0.657,0.405,0.316,0.363,0.36,0.736,0.032,75.0,0.996,0.335,0.394,0.0,0.0
41,Inactive,Anthony Tolliver,tollian01,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/tollian01.html,tollian01,501.0,9987.0,11.1,0.555,0.605,0.236,4.8,15.2,9.9,6.5,1.0,1.1,10.2,13.7,11.1,7.3,18.4,0.088,0.0,-0.5,-0.7,3.4,501.0,9987.0,0.413,18.4,0.395,0.17,0.069,0.039,0.118,0.605,0.493,0.657,0.405,0.316,0.363,0.36,0.736,0.032,75.0,0.996,0.335,0.394,0.0,0.0
42,Active,Archie Goodwin,goodwar01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/goodwar01.html,goodwar01,153.0,2212.0,11.1,0.5,0.224,0.429,3.9,11.3,7.5,13.1,1.5,1.2,16.9,22.2,-0.8,1.4,0.6,0.013,0.0,-1.3,-4.5,-1.4,153.0,2212.0,0.419,9.0,0.776,0.53,0.137,0.03,0.079,0.224,0.473,0.572,0.22,0.292,0.317,0.23,0.356,0.077,53.0,0.805,0.213,0.211,5.0,0.0
43,Inactive,Archie Goodwin,goodwar01,PG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/goodwar01.html,goodwar01,153.0,2212.0,11.1,0.5,0.224,0.429,3.9,11.3,7.5,13.1,1.5,1.2,16.9,22.2,-0.8,1.4,0.6,0.013,0.0,-1.3,-4.5,-1.4,153.0,2212.0,0.419,9.0,0.776,0.53,0.137,0.03,0.079,0.224,0.473,0.572,0.22,0.292,0.317,0.23,0.356,0.077,53.0,0.805,0.213,0.211,5.0,0.0
44,Active,Arinze Onuaku,onuakar01,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/o/onuakar01.html,onuakar01,19.0,126.0,14.5,0.62,0.0,0.435,9.7,22.3,15.8,10.9,0.4,2.5,15.4,11.4,0.2,0.1,0.3,0.096,0.0,-0.3,-2.0,0.0,19.0,126.0,0.652,3.2,1.0,0.565,0.391,0.043,0.0,0.0,0.652,0.692,0.667,0.0,0.0,0.0,0.733,0.174,4.0,0.0,0.0,0.0,0.0,0.0
45,Inactive,Arinze Onuaku,onuakar01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/o/onuakar01.html,onuakar01,19.0,126.0,14.5,0.62,0.0,0.435,9.7,22.3,15.8,10.9,0.4,2.5,15.4,11.4,0.2,0.1,0.3,0.096,0.0,-0.3,-2.0,0.0,19.0,126.0,0.652,3.2,1.0,0.565,0.391,0.043,0.0,0.0,0.652,0.692,0.667,0.0,0.0,0.0,0.733,0.174,4.0,0.0,0.0,0.0,0.0,0.0
46,Active,Aron Baynes,baynear01,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/baynear01.html,baynear01,275.0,3827.0,14.4,0.563,0.006,0.338,11.2,20.8,16.0,5.7,0.7,2.2,14.6,17.3,5.3,5.1,10.4,0.131,0.0,0.5,-1.6,0.4,275.0,3827.0,0.509,5.5,0.994,0.49,0.295,0.12,0.089,0.006,0.511,0.601,0.449,0.364,0.418,0.143,0.748,0.112,114.0,1.0,0.286,0.0,0.0,0.0
47,Active,Arron Afflalo,afflaar01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/afflaar01.html,afflaar01,697.0,19820.0,12.2,0.557,0.331,0.255,1.9,10.0,6.0,10.8,0.9,0.5,10.4,18.0,23.6,9.4,33.0,0.08,0.0,-1.3,-1.0,5.2,697.0,19820.0,0.451,15.2,0.669,0.188,0.115,0.143,0.223,0.331,0.483,0.612,0.41,0.465,0.424,0.385,0.549,0.004,24.0,0.946,0.439,0.428,5.0,0.0
48,Inactive,Arron Afflalo,afflaar01,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/afflaar01.html,afflaar01,697.0,19820.0,12.2,0.557,0.331,0.255,1.9,10.0,6.0,10.8,0.9,0.5,10.4,18.0,23.6,9.4,33.0,0.08,0.0,-1.3,-1.0,5.2,697.0,19820.0,0.451,15.2,0.669,0.188,0.115,0.143,0.223,0.331,0.483,0.612,0.41,0.465,0.424,0.385,0.549,0.004,24.0,0.946,0.439,0.428,5.0,0.0
