,Unnamed: 0,X1,X2,labels,Player,Status,Player_ID,url,G,GS,MP_,FG_100,FGA_100,FG%_100,3P_100,3PA_100,3P%_100,2P_100,2PA_100,2P%_100,FT_100,FTA_100,FT%_100,ORB_100,DRB_100,TRB_100,AST_100,STL_100,BLK_100,TOV_100,PF_100,PTS_100,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DPM,BPM,VORP
428,,,,,,,speigma01,,628,74,9617,10.6,22.8,0.465,0.7,1.8,0.357,9.9,20.9,0.475,5.1,6.3,0.8,4.8,9.2,14.1,2.2,0.9,1.7,2.9,7.4,26.9,107,104,17.1,0.526,0.081,0.278,10.7,20.4,15.6,7.1,0.9,2.6,10.3,24.8,12.1,12.5,24.7,0.123,-1.7,-1.1,-2.9,-2.1
429,,,,,,,webstma02,,580,266,13914,6.5,15.5,0.418,3.0,7.9,0.382,3.4,7.6,0.454,3.3,4.2,0.791,1.3,5.6,6.9,2.2,1.1,0.6,2.0,4.0,19.2,109,109,11.7,0.556,0.509,0.272,2.9,12.4,7.6,6.8,1.1,0.9,10.5,16.8,14.7,10.0,24.7,0.085,0.2,-0.9,-0.7,4.6
430,,,,,,,willima02,,836,649,24059,6.9,15.7,0.443,1.5,4.2,0.352,5.4,11.4,0.477,3.9,4.9,0.804,2.3,7.2,9.5,2.4,1.4,0.9,1.9,3.8,19.3,110,107,13.7,0.542,0.271,0.31,5.0,16.0,10.5,7.3,1.4,1.4,9.5,17.2,28.7,22.9,51.5,0.103,-0.4,-0.1,-0.5,9.1
431,,,,,,,plumlma01,,291,204,6697,7.5,13.4,0.561,0.0,0.1,0.0,7.5,13.3,0.566,4.8,8.2,0.579,4.5,9.9,14.4,4.4,1.8,2.0,3.3,6.0,19.8,113,105,18.1,0.582,0.009,0.615,10.0,21.8,15.9,13.5,1.8,3.2,16.1,17.9,11.8,8.3,20.1,0.144,0.0,2.3,2.2,7.2
432,,,,,,,barnema02,,909,354,21557,6.5,14.9,0.437,2.3,6.8,0.335,4.2,8.1,0.522,2.4,3.2,0.743,2.5,7.4,9.9,3.9,1.7,1.0,2.7,5.5,17.7,107,106,12.8,0.542,0.457,0.216,5.6,16.4,11.1,11.4,1.7,1.6,14.3,16.7,19.1,22.8,41.9,0.093,0.3,0.7,1.0,16.4
433,,,,,,,bonnema01,,792,112,13356,6.9,14.8,0.464,3.1,7.5,0.414,3.7,7.2,0.516,1.3,1.7,0.78,2.4,6.9,9.3,2.2,1.1,0.8,1.2,5.1,18.2,119,106,13.6,0.585,0.51,0.115,5.5,15.1,10.4,6.3,1.1,1.2,7.0,14.8,23.8,14.6,38.5,0.138,1.2,-0.2,1.0,10.1
434,,,,,,,dellama01,,265,74,5843,5.1,12.8,0.395,2.4,6.1,0.391,2.7,6.7,0.398,1.6,2.0,0.812,1.0,3.5,4.5,8.7,1.3,0.1,2.9,4.9,14.1,108,111,10.2,0.515,0.477,0.153,2.3,7.7,5.0,24.4,1.3,0.2,17.4,14.5,5.4,3.4,8.8,0.072,-0.7,-1.9,-2.6,-0.9
435,,,,,,,harklma01,,332,164,7598,6.5,14.0,0.464,1.3,4.2,0.313,5.2,9.8,0.528,2.0,3.3,0.601,2.8,5.5,8.3,1.9,2.2,1.4,2.1,4.1,16.3,104,108,12.2,0.527,0.3,0.239,6.1,12.1,9.1,5.5,2.2,2.1,11.7,15.4,3.9,6.8,10.8,0.068,-1.3,0.7,-0.6,2.7
436,,,,,,,artesro01,,984,839,31361,7.8,18.8,0.414,1.9,5.7,0.339,5.9,13.1,0.447,4.3,6.0,0.715,1.9,5.5,7.4,4.4,2.9,0.9,3.0,4.3,21.8,102,103,14.8,0.508,0.301,0.32,4.3,12.0,8.1,14.5,2.9,1.2,12.2,21.3,19.9,41.2,61.1,0.094,0.6,1.2,1.8,29.9
437,,,,,,,leoname01,,274,33,4536,6.8,14.7,0.464,2.1,5.6,0.371,4.7,9.0,0.522,2.0,2.4,0.826,2.5,9.7,12.2,2.4,0.5,1.1,2.3,7.3,17.7,109,108,11.5,0.563,0.385,0.166,5.5,21.0,13.2,7.3,0.5,1.6,12.8,15.8,4.8,3.7,8.5,0.09,-1.5,-0.7,-2.1,-0.1
438,,,,,,,beaslmi01,,500,203,11830,11.2,24.6,0.457,1.1,3.2,0.347,10.1,21.4,0.474,4.1,5.4,0.756,2.4,7.9,10.3,2.8,1.3,1.1,3.7,4.8,27.7,99,108,15.3,0.513,0.129,0.221,5.3,17.8,11.6,9.7,1.3,1.7,12.1,26.8,1.1,11.5,12.6,0.051,-2.2,-1.2,-3.4,-4.3
439,,,,,,,cartemi01,,216,188,6791,8.2,20.1,0.411,0.8,3.4,0.251,7.4,16.7,0.443,4.5,6.4,0.695,1.7,7.0,8.7,9.0,2.5,0.9,5.1,4.5,21.8,94,106,14.3,0.476,0.168,0.322,3.7,15.9,9.6,30.6,2.5,1.5,18.3,24.5,-3.7,7.4,3.6,0.026,-1.4,0.7,-0.7,2.2
440,,,,,,,kiddgmi01,,258,254,6991,6.7,14.3,0.465,0.1,0.2,0.212,6.6,14.1,0.47,3.9,5.5,0.703,3.5,8.8,12.3,2.4,1.3,1.5,2.0,4.1,17.3,106,106,13.7,0.515,0.017,0.386,7.4,19.3,13.3,7.8,1.3,2.4,10.7,16.6,5.4,8.0,13.5,0.093,-2.4,1.3,-1.1,1.6
441,,,,,,,conlemi01,,683,653,22196,8.2,18.5,0.44,2.0,5.3,0.378,6.2,13.3,0.465,4.2,5.1,0.812,0.7,4.0,4.7,9.1,2.4,0.3,3.3,3.2,22.5,111,107,17.1,0.541,0.285,0.278,1.5,9.0,5.2,28.4,2.4,0.5,13.6,20.9,36.2,22.7,58.9,0.127,2.2,-0.5,1.7,20.8
442,,,,,,,dunlemi02,,974,585,27157,7.4,16.7,0.441,2.4,6.5,0.377,4.9,10.2,0.482,3.5,4.4,0.803,1.3,6.6,7.9,4.1,1.3,0.6,2.6,3.7,20.7,109,107,13.9,0.555,0.387,0.261,2.8,14.4,8.5,13.0,1.3,0.9,12.1,18.4,32.7,25.3,58.0,0.103,0.5,-0.2,0.3,15.9
443,,,,,,,millemi01,,1026,570,27742,7.6,16.5,0.459,3.0,7.4,0.407,4.6,9.1,0.501,2.5,3.3,0.769,1.2,7.0,8.2,5.0,1.1,0.4,2.9,3.8,20.7,110,108,14.4,0.576,0.447,0.201,2.6,15.7,9.1,15.8,1.1,0.6,14.1,18.2,39.2,21.5,60.7,0.105,1.5,-0.6,0.9,20.4
444,,,,,,,muscami01,,170,11,2266,7.3,14.3,0.508,1.3,3.3,0.383,6.0,11.0,0.546,2.4,2.9,0.826,3.7,6.7,10.4,2.9,1.2,2.0,2.3,5.1,18.2,114,105,14.8,0.584,0.23,0.203,8.5,14.7,11.6,9.0,1.2,3.2,12.8,16.0,3.3,3.0,6.3,0.134,-0.9,1.1,0.2,1.3
445,,,,,,,scottmi01,,281,7,4322,8.9,19.4,0.46,2.3,6.8,0.336,6.7,12.7,0.527,3.1,3.9,0.786,2.4,7.3,9.8,3.0,1.0,0.4,2.2,4.1,23.2,107,106,14.6,0.549,0.348,0.202,5.6,16.2,11.0,9.7,1.0,0.6,9.5,21.0,4.8,4.5,9.3,0.103,-0.6,-1.7,-2.4,-0.4
446,,,,,,,plumlmi01,,265,133,4460,6.8,12.9,0.531,0.0,0.0,0.0,6.8,12.9,0.531,1.7,3.1,0.562,5.0,9.3,14.3,1.3,1.4,2.5,2.6,4.9,15.4,106,104,14.2,0.541,0.0,0.242,11.2,20.8,16.0,3.9,1.4,3.9,15.4,14.8,3.4,5.7,9.1,0.098,-2.7,1.2,-1.5,0.6
447,,,,,,,kuzmimi01,,48,3,693,7.5,17.9,0.42,2.7,8.6,0.317,4.8,9.3,0.515,2.4,3.1,0.791,2.3,4.1,6.4,3.3,1.8,0.6,2.5,4.0,20.2,106,114,12.2,0.524,0.48,0.172,4.9,8.8,6.9,9.8,1.8,1.0,11.5,18.8,0.5,0.3,0.8,0.053,-0.3,-2.0,-2.3,-0.1
448,,,,,,,radulmi01,,53,2,488,7.6,14.3,0.53,0.0,0.0,0.0,7.6,14.3,0.53,5.0,6.1,0.825,6.0,6.1,12.1,2.5,0.9,1.4,3.2,9.8,20.2,115,113,14.7,0.594,0.0,0.425,12.7,13.8,13.3,7.9,0.9,2.2,15.9,17.5,0.9,0.1,1.1,0.104,-0.9,-2.0,-2.9,-0.1
449,,,,,,,teletmi01,,290,14,5224,8.3,20.4,0.408,4.8,12.9,0.37,3.6,7.5,0.472,2.3,3.0,0.755,1.8,7.6,9.4,2.4,0.9,0.8,2.4,4.9,23.7,106,110,13.4,0.545,0.631,0.148,4.0,17.1,10.6,7.9,0.9,1.2,9.9,21.2,4.7,3.6,8.3,0.077,0.8,-2.3,-1.5,0.7
450,,,,,,,mcgarmi01,,52,2,557,8.9,16.9,0.527,0.0,0.5,0.0,8.9,16.4,0.544,2.6,4.5,0.58,5.1,11.3,16.5,1.5,1.5,1.6,3.4,7.4,20.4,104,102,15.4,0.54,0.032,0.266,11.2,23.8,17.6,4.8,1.5,2.5,15.3,19.1,0.4,0.8,1.3,0.108,-2.8,-0.3,-3.1,-0.2
