first_pos,second_pos,third_pos,fourth_pos,fifth_pos,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
A.Bradley,J.Green,K.Olynyk,R.Rondo,J.Sullinger,BOS,19,161,108.7,105.7,3,61.8,2.24,19.5,24.8,78.4,49.7,0.1,52.3,54.7,101.83,50.7
D.Exum,D.Favors,R.Gobert,G.Hayward,R.Hood,UTA,16,161,103.4,92.6,10.8,64.7,1.88,19,27.9,80.7,55.2,0.1,50,52,87.9,58
L.Amundson,C.Anthony,J.Calderon,L.Galloway,J.Smith,NYK,9,159,109.9,104,5.9,63.7,2.97,20.3,24.7,71.8,47.3,0.1,51.7,53.3,90.38,52.1
T.Ariza,P.Beverley,J.Harden,T.Jones,D.Motiejunas,HOU,14,157,106.8,105.9,0.9,58.4,1.46,17.5,23.5,70.1,46.7,0.2,52.6,56.6,96.02,50
B.Diaw,T.Duncan,M.Ginobili,K.Leonard,T.Parker,SAS,39,156,97.4,105.1,-7.8,73.6,1.88,19.5,13.3,77.4,45.6,0.1,48.4,52.9,96.68,46
G.Henderson,A.Jefferson,L.Stephenson,K.Walker,C.Zeller,CHA,22,155,93.3,102.1,-8.8,58.5,2.03,17.1,15.9,84.3,47.8,0.1,44.6,48.4,96.37,43.6
E.Fournier,C.Frye,T.Harris,E.Payton,N.Vucevic,ORL,16,153,98.4,107.9,-9.5,58.2,1.37,17.6,21.6,76,47.9,0.2,51.6,53.3,95,44
M.Carter-Williams,R.Covington,L.Mbah a Moute,K.McDaniels,N.Noel,PHI,19,152,101,86,14.9,59.1,1.76,16.3,29.7,67.3,48.4,0.1,45.7,49,93.67,58.9
T.Harris,K.O'Quinn,V.Oladipo,E.Payton,N.Vucevic,ORL,14,152,95.3,102.3,-7.1,64.7,2.2,19.7,15.2,72.1,43.4,0.1,47.9,50,93.63,47.5
G.Dieng,Z.LaVine,S.Muhammad,A.Wiggins,T.Young,MIN,16,151,101,118.5,-17.5,66.4,1.72,19.4,28.3,64.7,45.7,0.2,48.9,52.4,95.71,42.3
A.Brooks,M.Dunleavy,P.Gasol,J.Noah,T.Snell,CHI,11,149,98.1,106,-7.9,65.4,1.94,18,22.4,81.9,51.6,0.1,46.2,49.7,94.26,43
D.Augustin,K.Caldwell-Pope,A.Drummond,G.Monroe,K.Singler,DET,12,146,101.2,110.3,-9.1,66.4,1.83,19.1,26.7,75.8,50.2,0.1,49,51.5,91.74,46.3
B.Biyombo,G.Henderson,M.Kidd-Gilchrist,K.Walker,C.Zeller,CHA,10,146,90.6,90.3,0.2,68.4,1.16,17,32.3,80.8,58.2,0.2,43.2,48.1,94.53,53.8
D.DeRozan,A.Johnson,K.Lowry,J.Valanciunas,G.Vasquez,TOR,18,146,96,105.1,-9.2,55.4,1.06,15.6,31.1,72.4,51.8,0.2,47.8,50.9,88.8,40.9
G.Henderson,A.Jefferson,M.Kidd-Gilchrist,M.Williams,C.Zeller,CHA,10,146,106.7,104.1,2.6,68.5,2.3,21.3,20.8,82.9,53,0.1,51.9,55.3,96.08,52.6
A.Bradley,J.Green,R.Rondo,J.Sullinger,T.Zeller,BOS,16,145,106.3,98.5,7.8,62.7,1.91,20.5,17.1,77.8,51.4,0.1,56.1,57.9,101.27,54.6
C.Brewer,G.Dieng,Z.LaVine,A.Wiggins,T.Young,MIN,10,145,90.8,104.3,-13.5,56.9,1.35,15.1,26.3,71.2,47.1,0.1,42.6,46.5,95.14,41.9
I.Mahinmi,D.Rudez,L.Scola,R.Stuckey,C.Watson,IND,21,142,97.9,99.6,-1.7,58.7,1.24,16.6,18.6,74.8,49,0.2,50.2,54.1,96.34,49
M.Bonner,T.Duncan,D.Green,K.Leonard,T.Parker,SAS,21,141,107.9,98.9,9,52.5,1.75,17.3,13,82.2,49.6,0.1,55.3,58.3,96.14,53.8
C.Bosh,N.Cole,L.Deng,D.Wade,S.Williams,MIA,10,139,110.7,111,-0.3,64.5,2.73,19.9,18.6,70.8,44.7,0.1,53.1,56.4,91.36,50.8
T.Chandler,M.Ellis,D.Harris,D.Nowitzki,C.Parsons,DAL,32,138,118.4,107.4,11,58.2,2.03,18.5,27.9,75.4,50.8,0.1,55.1,59.4,97.62,56.5
C.Frye,T.Harris,V.Oladipo,E.Payton,N.Vucevic,ORL,17,138,97.5,119,-21.6,56.2,1.69,16.1,23.1,70.2,44,0.1,46,49.1,94.33,38.8
G.Antetokounmpo,B.Knight,O.Mayo,J.Parker,L.Sanders,MIL,15,137,99.1,106.1,-7,60,1.31,16.7,28.9,68.6,48.5,0.2,47,52,99.98,44.7
G.Henderson,A.Jefferson,L.Stephenson,K.Walker,M.Williams,CHA,21,137,94.9,102.4,-7.5,55.4,2.43,16.6,11.2,82.8,44.4,0.1,46,48.9,92.72,44
B.Bogdanovic,J.Johnson,B.Lopez,D.Williams,T.Young,BKN,20,135,103.7,115.8,-12,56.8,2.1,16.7,26.1,68.8,45.2,0.1,46.9,50.8,98.25,42.9
C.Copeland,R.Hibbert,S.Hill,L.Scola,D.Sloan,IND,11,135,102.4,101.1,1.3,48.5,1.25,14.7,28.4,78.9,56,0.2,49.6,53.4,92.76,51.9
E.Bledsoe,A.Len,M.Morris,M.Morris,P.Tucker,PHX,14,133,111,114.2,-3.3,52.2,1.5,17.1,25,70.8,48.7,0.2,55.7,58.1,95.32,47.6
T.Black,J.Clarkson,W.Ellington,J.Hill,W.Johnson,LAL,7,132,101.9,90.5,11.4,53.4,1.57,15.8,33.6,90.4,60.8,0.1,46.7,49.6,91.79,53
J.Butler,P.Gasol,T.Gibson,K.Hinrich,D.Rose,CHI,20,132,109.3,102.3,7,52.4,1.67,16,23.9,72.8,51,0.1,51.8,56.2,95.74,54.1
C.Frye,D.Marble,V.Oladipo,E.Payton,N.Vucevic,ORL,8,132,106.8,108,-1.2,56.5,1.84,18.2,22.7,78.3,47.9,0.1,53.5,55.1,104.07,46.6
T.Hansbrough,P.Patterson,T.Ross,G.Vasquez,L.Williams,TOR,24,132,120,103.6,16.4,49,2.08,15.4,28.1,67.3,46.5,0.1,54.1,57.6,90.02,52.5
S.Adams,S.Ibaka,P.Jones,A.Roberson,R.Westbrook,OKC,15,131,105.1,99,6.1,52,1.39,15.2,28.4,76.7,54.2,0.1,48.4,53.6,96.96,52.1
R.Butler,K.Humphries,A.Miller,O.Porter,K.Seraphin,WAS,19,131,106.3,109.5,-3.2,67,2.28,21.1,35.8,72.4,53.7,0.1,49.3,51.6,87.3,50.3
E.Bledsoe,M.Morris,M.Morris,P.Tucker,B.Wright,PHX,13,130,94.9,96.5,-1.6,57,1.63,16.7,20.7,80.9,50,0.1,45.6,49.3,94.19,51.4
T.Burke,D.Favors,R.Gobert,G.Hayward,J.Ingles,UTA,26,128,104.7,89.8,14.9,55.2,1.07,16.9,29.6,77.9,56.4,0.2,54.6,58,94.33,62.6
C.Boozer,W.Ellington,J.Lin,R.Sacre,N.Young,LAL,16,127,107.5,100.4,7.1,54.4,1.93,17.2,17.9,77.4,48,0.1,52.8,55.8,96.35,51.6
S.Curry,D.Green,A.Iguodala,M.Speights,K.Thompson,GSW,43,127,124.4,97,27.4,69,3.35,22.3,22.7,71.8,48,0.1,58.7,62.4,104.18,68
J.Butler,M.Dunleavy,P.Gasol,T.Gibson,D.Rose,CHI,14,126,101.6,98.4,3.2,65,1.63,18.8,27.2,74.2,52.1,0.2,49.5,52.8,96.07,56.3
A.Afflalo,W.Chandler,J.Hickson,T.Lawson,T.Mozgov,DEN,19,125,99.2,111.2,-12,57.3,1.67,16.1,32,73.9,51.7,0.1,45.2,48.2,93.59,42.1
K.Martin,N.Pekovic,R.Rubio,A.Wiggins,T.Young,MIN,8,125,107.8,97.7,10.1,59.4,1.75,18.1,26.2,77.4,52.7,0.1,51.1,55.7,97.26,55.8
G.Antetokounmpo,J.Dudley,J.Henson,B.Knight,K.Middleton,MIL,18,124,111.2,98.3,12.9,65.7,1.97,20.6,30.2,69,50.2,0.1,53.7,56.5,95.27,60.5
O.Asik,D.Cunningham,T.Evans,E.Gordon,Q.Pondexter,NOP,14,124,97.1,99.1,-2,67.8,1.55,18.4,23.9,81.7,52.8,0.2,48.5,51.2,90.75,51.2
J.Butler,P.Gasol,K.Hinrich,J.Noah,D.Rose,CHI,15,124,88.7,94.8,-6.1,51.2,1,12.5,26.5,71.7,50.2,0.2,39.8,45.6,100.88,46.3
T.Burke,D.Favors,G.Hayward,J.Ingles,E.Kanter,UTA,28,123,98.3,115.3,-17,57.3,1.72,16.5,25,78.7,48.6,0.1,46.6,49.5,96.39,42
R.Hibbert,G.Hill,C.Miles,R.Stuckey,D.West,IND,22,123,110.6,94.8,15.8,58.4,1.69,17.9,23.8,79.5,53.7,0.1,53.4,57.6,96.3,60
A.Baynes,T.Duncan,D.Green,K.Leonard,T.Parker,SAS,16,122,95,94.1,0.8,62.8,1.97,18.3,20.9,71.8,45.8,0.1,44.9,48.7,97.41,51.9
T.Chandler,M.Ellis,R.Jefferson,D.Nowitzki,R.Rondo,DAL,14,122,108.8,93.2,15.6,59.2,1.71,17.9,17.3,76.5,48.4,0.1,53.7,58.2,98.52,59.2
A.Brooks,J.Butler,M.Dunleavy,P.Gasol,J.Noah,CHI,13,121,97.4,103.4,-6,72.1,2.14,19.4,26.3,70.9,47.8,0.1,45.6,48.3,89.39,49.3
J.Butler,P.Gasol,J.Noah,D.Rose,T.Snell,CHI,14,121,111.4,101.9,9.6,61.1,2,19.4,23.4,78.1,50,0.1,54.3,57.3,98.26,54.7
K.Garnett,J.Jack,J.Johnson,S.Karasev,M.Plumlee,BKN,10,121,106.8,107.5,-0.6,61.6,1.49,19.1,25.3,70.3,50,0.2,54.3,57.9,92.43,50.8
P.Antic,D.Carroll,K.Korver,P.Millsap,J.Teague,ATL,29,120,106.6,95.6,11,59.6,2.07,17.2,12.4,76,41.6,0.1,52.6,56.1,101.15,56.7
K.Bazemore,A.Horford,K.Korver,D.Schroder,M.Scott,ATL,28,120,96.4,110.3,-13.9,79.8,2.22,22.1,12.3,62.2,38.7,0.1,49.5,52.4,93.64,44.6
L.Amundson,A.Bargnani,L.Galloway,S.Larkin,L.Thomas,NYK,12,119,87.1,108.4,-21.3,56.4,1.42,15.3,19.8,76,45.8,0.1,42.4,45.2,89.45,33.8
J.Butler,M.Dunleavy,P.Gasol,K.Hinrich,J.Noah,CHI,10,119,95.8,105.3,-9.5,61.9,1.49,16.3,23.9,73.3,47.6,0.1,44.5,49.8,96.61,45.3
C.Andersen,C.Bosh,M.Chalmers,L.Deng,D.Wade,MIA,10,118,96.7,102.2,-5.4,66.7,1.33,18.7,20.9,77,50.3,0.2,49.2,53.9,92.79,50.3
B.Biyombo,G.Henderson,J.Taylor,K.Walker,M.Williams,CHA,11,118,82.6,100.8,-18.2,47.4,1.2,13,16.8,75.5,43.5,0.1,41.5,43.5,91.57,34.9
K.Caldwell-Pope,A.Drummond,B.Jennings,G.Monroe,J.Smith,DET,12,118,98.2,105.3,-7.1,45.9,1.05,12.9,33.6,78,53.9,0.2,45.5,48.4,90.89,40.3
A.Johnson,J.Johnson,K.Lowry,T.Ross,J.Valanciunas,TOR,15,118,109.7,105.7,4.1,52.9,1.93,16.6,35.1,68.2,52.9,0.1,49.1,52.4,94.71,53.7
C.Butler,K.Caldwell-Pope,A.Drummond,R.Jackson,G.Monroe,DET,9,117,104.8,110,-5.2,53.5,1.74,16.9,32.4,75.8,53.1,0.1,50.2,51.5,94.51,46.4
E.Davis,W.Ellington,J.Hill,W.Johnson,J.Lin,LAL,11,117,102.9,99.3,3.6,54.4,1.6,17.6,26,81,55.6,0.1,51.7,53.5,96.29,54.2
G.Henderson,A.Jefferson,M.Kidd-Gilchrist,K.Walker,C.Zeller,CHA,13,117,104,102.1,1.9,65.6,2.35,18.4,31.3,81.3,52.1,0.1,44.7,50.1,96.42,50.5
G.Henderson,A.Jefferson,M.Kidd-Gilchrist,M.Williams,M.Williams,CHA,12,117,112.6,93.3,19.3,64.1,3,21.2,15.3,87.6,52.7,0.1,55.2,58.1,94.14,62
L.Fields,A.Johnson,K.Lowry,T.Ross,J.Valanciunas,TOR,9,116,99.5,108,-8.5,63.8,1.67,19.3,21.4,76,49.5,0.2,50.7,53.2,95.22,46.4
G.Henderson,A.Jefferson,M.Kidd-Gilchrist,K.Walker,M.Williams,CHA,16,116,98,95.9,2.1,51.5,1.63,16.6,18.3,86.7,52.6,0.1,49.1,51.8,99.38,50.3
S.Adams,S.Ibaka,R.Jackson,J.Lamb,L.Thomas,OKC,8,115,97.7,104.2,-6.5,52.4,1.34,14.9,24.8,73.5,48.3,0.1,46.1,50,91.49,43.6
T.Black,J.Clarkson,W.Johnson,R.Kelly,J.Lin,LAL,7,114,112.7,115.3,-2.6,55.9,2.17,17.5,26.5,81.6,51.9,0.1,52,55.6,91.61,46.4
E.Fournier,T.Harris,V.Oladipo,E.Payton,N.Vucevic,ORL,20,114,112.1,114.5,-2.4,55.4,1.65,17,28.3,78.1,52,0.1,53.6,57,100.84,47.1
D.Collison,R.Evans,R.Gay,B.McLemore,J.Thompson,SAC,11,113,98.2,107,-8.8,51.9,1.02,14.7,27,70.3,48.9,0.2,48.9,53.2,94.13,42.1
K.Irving,L.James,K.Love,S.Marion,T.Thompson,CLE,26,112,123.5,95.3,28.2,55,2.62,17.8,33.3,83.1,58.5,0.1,54.2,59.6,95.87,64.5
T.Allen,M.Conley,M.Gasol,J.Green,Z.Randolph,MEM,22,109,114.5,87.9,26.7,49.4,1.35,15.7,29.5,82.8,59.3,0.2,54.8,59.6,90.16,64.6
E.Bledsoe,B.Knight,A.Len,M.Morris,P.Tucker,PHX,9,107,99.8,100.5,-0.6,52.2,1.04,16,22.8,77.3,52.5,0.2,52.7,55.8,101.51,51.4
T.Booker,D.Exum,R.Gobert,G.Hayward,J.Ingles,UTA,38,107,97,90.3,6.6,59.7,1.08,15.3,31,79.6,55.1,0.2,46.5,50.7,91.75,54.1
A.Jefferson,M.Kidd-Gilchrist,L.Stephenson,K.Walker,M.Williams,CHA,12,107,86,111.2,-25.1,58.1,1.3,15.6,20.2,83.1,49.7,0.2,43.5,46,95.41,36.2
R.Anderson,A.Davis,T.Evans,E.Gordon,J.Holiday,NOP,15,106,118.5,115.3,3.1,54.7,2.26,17.5,28.7,66.3,46,0.1,53.8,57.6,97.46,50.1
T.Black,J.Clarkson,W.Ellington,R.Kelly,R.Sacre,LAL,7,106,105,120,-15,54.4,1.95,16,27.7,72.6,48.9,0.1,48.1,51.4,89.95,39.4
S.Adams,E.Kanter,A.Roberson,D.Waiters,R.Westbrook,OKC,9,105,110.6,106.5,4.1,38.9,1.17,12.2,40.8,77,57.4,0.1,49.5,52.3,95.32,50.8
D.Carroll,A.Horford,K.Korver,P.Millsap,D.Schroder,ATL,13,104,113.7,105.1,8.6,70.2,2.13,23,17.3,75.6,49.1,0.1,60.2,62.2,95.11,56.4
G.Dieng,R.Hummel,A.Wiggins,M.Williams,T.Young,MIN,8,104,108.7,107.3,1.4,62.7,1.93,18.6,32.9,77,55.2,0.1,49.4,54.1,92.48,52.6
H.Barnes,S.Curry,D.Green,A.Iguodala,K.Thompson,GSW,37,102,113.6,91.9,21.8,50,1.24,14.4,24,71.3,50.5,0.2,53.9,59.7,108.55,65.1
M.Carter-Williams,R.Covington,L.Mbah a Moute,N.Noel,H.Thompson,PHI,12,102,93.9,101.5,-7.6,76.1,1.26,19,22.1,72.4,46.2,0.2,49.4,52.5,99.03,43.4
D.DeRozan,A.Johnson,T.Ross,J.Valanciunas,G.Vasquez,TOR,13,102,100,102.6,-2.7,69.3,2,20.5,15.2,74.7,46.4,0.1,51.2,54,90.52,49.6
C.Boozer,J.Clarkson,W.Ellington,R.Kelly,R.Sacre,LAL,9,101,90.8,110.5,-19.7,56.6,1.79,16.7,10.6,77.9,42.8,0.1,46,48.7,97.12,38.3
S.Adams,E.Kanter,K.Singler,D.Waiters,R.Westbrook,OKC,10,100,100.1,107.5,-7.4,42.7,1.15,14.1,30.2,87.2,57.3,0.2,51.1,51.8,97.75,43
T.Ariza,P.Beverley,J.Harden,D.Motiejunas,J.Smith,HOU,30,100,110.8,115.2,-4.3,61.3,1.88,18,22.2,71.8,44.1,0.1,52.9,57.1,98.96,45
L.Amundson,A.Bargnani,L.Galloway,A.Shved,L.Thomas,NYK,8,99,87.7,97.2,-9.5,60.6,1.59,15.9,26.2,78,49.2,0.1,40.9,43.8,97.59,42.7
G.Antetokounmpo,B.Knight,K.Middleton,J.O'Bryant,Z.Pachulia,MIL,10,99,94.7,93.4,1.3,70.7,1.56,19.2,30.8,70.7,50.8,0.2,46,48.8,93.13,53.2
