unique_id,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
10002.11,16,151,101,118.5,-17.5,66.4,1.72,19.4,28.3,64.7,45.7,0.2,48.9,52.4,95.71,42.3
11100.011,11,149,98.1,106,-7.9,65.4,1.94,18,22.4,81.9,51.6,0.1,46.2,49.7,94.26,43
11100.011,12,146,101.2,110.3,-9.1,66.4,1.83,19.1,26.7,75.8,50.2,0.1,49,51.5,91.74,46.3
11101.001,10,146,90.6,90.3,0.2,68.4,1.16,17,32.3,80.8,58.2,0.2,43.2,48.1,94.53,53.8
1110.002,18,146,96,105.1,-9.2,55.4,1.06,15.6,31.1,72.4,51.8,0.2,47.8,50.9,88.8,40.9
21101,10,146,106.7,104.1,2.6,68.5,2.3,21.3,20.8,82.9,53,0.1,51.9,55.3,96.08,52.6
10110.011,16,145,106.3,98.5,7.8,62.7,1.91,20.5,17.1,77.8,51.4,0.1,56.1,57.9,101.27,54.6
10101.11,10,145,90.8,104.3,-13.5,56.9,1.35,15.1,26.3,71.2,47.1,0.1,42.6,46.5,95.14,41.9
20100.2,21,142,97.9,99.6,-1.7,58.7,1.24,16.6,18.6,74.8,49,0.2,50.2,54.1,96.34,49
1002.011,21,141,107.9,98.9,9,52.5,1.75,17.3,13,82.2,49.6,0.1,55.3,58.3,96.14,53.8
11001.11,10,139,110.7,111,-0.3,64.5,2.73,19.9,18.6,70.8,44.7,0.1,53.1,56.4,91.36,50.8
1001.111,32,138,118.4,107.4,11,58.2,2.03,18.5,27.9,75.4,50.8,0.1,55.1,59.4,97.62,56.5
12.101,17,138,97.5,119,-21.6,56.2,1.69,16.1,23.1,70.2,44,0.1,46,49.1,94.33,38.8
101.111,15,137,99.1,106.1,-7,60,1.31,16.7,28.9,68.6,48.5,0.2,47,52,99.98,44.7
12100.1,21,137,94.9,102.4,-7.5,55.4,2.43,16.6,11.2,82.8,44.4,0.1,46,48.9,92.72,44
