first_pos,second_pos,third_pos,fourth_pos,fifth_pos,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
W.Matthews,D.Nowitzki,Z.Pachulia,C.Parsons,D.Williams,DAL,40,419,100.8,101.1,-0.3,66.9,1.79,18.5,19.6,76.8,48.6,0.1,49,52.9,93.56,52.3
W.Ellington,J.Johnson,B.Lopez,D.Sloan,T.Young,BKN,26,408,108.2,106.4,1.8,59.9,1.85,18.9,17.3,78.1,48.7,0.1,53.9,57.7,94.02,51.7
N.Batum,C.Lee,K.Walker,M.Williams,C.Zeller,CHA,23,406,114.5,104.5,9.9,63.7,2.31,19.6,19.1,78.7,49.1,0.1,55.2,59,97.43,55
D.Jordan,L.Mbah a Moute,C.Paul,P.Pierce,J.Redick,LAC,30,375,109.4,98.3,11.2,67.3,2.19,20,20.7,79.3,51.3,0.1,54.1,56.5,95.71,55.8
S.Adams,K.Durant,S.Ibaka,D.Waiters,R.Westbrook,OKC,49,360,113.2,99.8,13.4,60.1,1.84,18.4,28.2,74.9,53.6,0.1,53.5,57.7,99.95,60
C.Bosh,L.Deng,G.Dragic,D.Wade,H.Whiteside,MIA,28,339,100.3,100,0.3,57.3,1.52,17.4,22.9,77,51.3,0.2,50.4,52.9,92.35,50.9
E.Fournier,C.Frye,T.Harris,E.Payton,N.Vucevic,ORL,26,334,106.9,100.3,6.5,64.2,2.03,20.1,21.7,76.9,48.7,0.1,53.2,55.5,93.74,53
L.Allen,M.Ellis,P.George,G.Hill,I.Mahinmi,IND,40,333,101.6,94.8,6.8,54.9,1.17,15.8,28.6,79.3,55.2,0.2,50.1,53.9,96.98,55.1
M.Ellis,P.George,G.Hill,I.Mahinmi,C.Miles,IND,35,333,100.4,107.2,-6.7,51.7,1.17,15.1,14.3,69.5,40.8,0.2,51.8,55.8,103.32,44.8
D.DeRozan,J.Johnson,K.Lowry,L.Scola,J.Valanciunas,TOR,25,327,102.1,107.8,-5.7,50.6,1.3,14.8,24.8,75.7,50,0.1,48.6,53.4,95.87,47.1
J.Dudley,M.Gortat,O.Porter Jr.,G.Temple,J.Wall,WAS,38,311,101.9,105,-3.1,72,2.26,21.5,20.1,79.7,49,0.1,51.4,53.1,98,49.7
D.Favors,R.Gobert,G.Hayward,R.Hood,R.Neto,UTA,29,305,105.7,98.4,7.2,51.5,1.23,15.9,27,78,53.9,0.2,52.6,56.4,92.26,54.9
B.Biyombo,C.Joseph,K.Lowry,P.Patterson,T.Ross,TOR,42,297,111.1,94.7,16.4,57,1.55,16.7,26.9,70.7,50.1,0.1,53.1,57.3,91.24,62.9
B.Bogdanovic,J.Jack,J.Johnson,B.Lopez,T.Young,BKN,30,296,104.7,108.4,-3.7,59.4,1.57,18.1,28.5,76.6,51.7,0.2,50.7,53.9,96.43,47
T.Ariza,P.Beverley,J.Harden,D.Howard,D.Motiejunas,HOU,33,295,112.7,100.3,12.5,65.9,1.73,19.9,25.2,74.3,50.8,0.2,56.5,59.6,99.16,55.6
A.Aminu,M.Harkless,D.Lillard,C.McCollum,M.Plumlee,POR,36,290,113.2,98.8,14.4,61.1,1.64,18.7,25.3,75.2,51.2,0.2,56.7,59.4,100.92,57.3
K.Faried,D.Gallinari,G.Harris,N.Jokic,E.Mudiay,DEN,21,290,104.8,107.3,-2.6,64.3,1.84,18.2,31.4,78.5,53.5,0.1,47.5,51.9,97.41,49
G.Antetokounmpo,J.Bayless,K.Middleton,G.Monroe,J.Parker,MIL,27,289,110.7,111.1,-0.3,63.9,2.6,20.3,17.8,73.4,45.1,0.1,53.4,57.1,94.85,49.4
K.Garnett,T.Prince,R.Rubio,K.Towns,A.Wiggins,MIN,25,276,103.3,92.6,10.7,70.6,2.75,21.2,18.3,81.2,49.7,0.1,48.8,52.8,93.21,58.3
B.Griffin,D.Jordan,L.Mbah a Moute,C.Paul,J.Redick,LAC,18,273,111.1,91.7,19.4,67.1,2.23,21.3,25.4,80.5,54.2,0.1,55.7,56.9,97.27,62.1
R.Felton,W.Matthews,D.Nowitzki,Z.Pachulia,D.Williams,DAL,37,272,115.2,100.6,14.6,56.7,2.4,17.8,22.4,78.2,50.1,0.1,53,57.4,93.2,58.5
G.Dieng,T.Prince,R.Rubio,K.Towns,A.Wiggins,MIN,36,262,106,108.6,-2.7,63.6,2.09,19.4,26.3,71.1,48.5,0.1,50.1,53.5,93.99,51
T.Allen,M.Conley,M.Gasol,C.Lee,Z.Randolph,MEM,25,261,103.3,97.5,5.9,65.3,2.16,19.2,23.6,75.5,48.8,0.1,48,52.3,92.15,53.9
N.Batum,P.Hairston,K.Walker,M.Williams,C.Zeller,CHA,23,259,108.1,107.6,0.5,70.1,2.23,20.6,16.4,77,46.4,0.1,53.7,57,96.78,48.7
D.Favors,R.Gobert,G.Hayward,R.Hood,S.Mack,UTA,22,256,109.8,100.4,9.4,59.1,1.52,18.3,27.9,80.9,56.2,0.2,55,58,92.17,56.7
A.Bogut,S.Curry,D.Green,B.Rush,K.Thompson,GSW,31,254,111.7,95.1,16.6,70.8,1.82,22.1,16.3,76.4,50.4,0.2,60.9,62.4,105.66,59.5
K.Irving,L.James,K.Love,T.Mozgov,J.Smith,CLE,28,251,99.5,107.1,-7.6,62.3,1.41,18.4,22.1,77.1,50.2,0.2,52,54,96.68,45.6
A.Horford,K.Korver,P.Millsap,T.Sefolosha,J.Teague,ATL,45,235,103.2,96.9,6.3,62.4,1.64,18.7,21.3,71.1,47.5,0.2,51.9,54.7,97.81,54.1
B.Beal,J.Dudley,M.Gortat,O.Porter Jr.,J.Wall,WAS,30,230,108.1,100.6,7.6,67.9,1.92,20.7,21.8,76.6,49.1,0.1,54.7,57.4,102.13,55.6
C.Anthony,J.Calderon,R.Lopez,K.Porzingis,S.Vujacic,NYK,17,229,101.3,97.5,3.8,64.2,1.71,18,26.6,80.2,53.1,0.1,47.8,51.4,96.64,50.4
D.Carroll,D.DeRozan,K.Lowry,L.Scola,J.Valanciunas,TOR,15,229,104.1,107,-2.8,57.1,1.51,16.6,28.4,80.1,51.9,0.1,49.8,53.1,95.99,46.2
K.Bryant,J.Clarkson,R.Hibbert,L.Nance Jr.,L.Williams,LAL,18,221,95.8,116.6,-20.7,53.2,1.51,15.8,18.9,71.5,44.4,0.1,47.6,50.3,97.72,38.2
J.Butler,P.Gasol,T.Gibson,D.Rose,T.Snell,CHI,22,220,93.3,90.6,2.7,51.9,1.53,15,20,72.7,49.2,0.1,43.9,48.2,96.34,54
R.Hollis-Jefferson,J.Jack,J.Johnson,B.Lopez,T.Young,BKN,16,220,98.9,95.8,3.1,53.6,1.3,15.7,28.6,84.4,56.4,0.2,46.9,50.9,101.29,50.9
E.Fournier,A.Gordon,V.Oladipo,E.Payton,N.Vucevic,ORL,22,219,102.3,108.5,-6.2,65.4,1.87,19.3,24.4,77.3,50.7,0.1,50.5,53,102.64,48.5
B.Biyombo,D.DeRozan,C.Joseph,P.Patterson,T.Ross,TOR,54,218,104.7,91,13.7,45.5,1.42,12.9,22,79.7,52,0.1,46.7,53.3,96.57,59
J.Butler,P.Gasol,N.Mirotic,D.Rose,T.Snell,CHI,26,203,99.4,102.9,-3.5,63.1,1.87,17.6,18.6,69.1,44.3,0.1,47.5,51.7,100.89,50.6
T.Ariza,P.Beverley,C.Brewer,J.Harden,D.Howard,HOU,41,201,105,111.9,-6.9,60.7,1.4,16.8,23.2,67,45.5,0.2,52.7,55.6,100.25,43.3
D.Booker,T.Chandler,A.Len,R.Price,P.Tucker,PHX,14,200,95.7,98.2,-2.5,55.8,0.98,14.8,33.3,81.7,56.9,0.2,46.6,50.4,98.78,47.1
M.Barnes,M.Conley,M.Gasol,J.Green,C.Lee,MEM,26,199,101.6,105,-3.3,61.1,1.69,17.7,19.3,71.3,45.5,0.1,49.8,53.6,94.75,47.7
K.Bryant,J.Clarkson,R.Hibbert,J.Randle,L.Williams,LAL,33,198,94.6,118,-23.3,46.1,1.05,12.7,19.5,72.7,46.4,0.2,45,50.4,100.4,35.1
M.Dellavedova,L.James,K.Love,J.Smith,T.Thompson,CLE,46,198,120.4,96.2,24.2,62.4,2.58,18.7,30.2,81.3,55.8,0.1,53.8,58,93.84,62.3
T.Ariza,P.Beverley,C.Capela,J.Harden,D.Howard,HOU,22,197,107.7,100.5,7.2,55.3,1.2,15.6,36.3,79.9,58.6,0.2,51.5,55,94.71,54.1
B.Beal,M.Gortat,M.Morris,O.Porter Jr.,J.Wall,WAS,18,197,107.2,101.6,5.6,67.4,1.9,20.4,23.4,81.1,54.2,0.1,53.7,56.6,101.14,55.2
L.Deng,G.Dragic,J.Johnson,A.Stoudemire,D.Wade,MIA,16,197,118.5,107.8,10.7,57.4,2,20.6,22.5,75,51,0.1,60.1,62.9,94.39,56.5
A.Crabbe,E.Davis,G.Henderson,M.Leonard,C.McCollum,POR,34,194,106.3,104.3,2,58.9,1.82,18.3,16.9,84.2,51,0.1,53.6,56.5,96.52,50.6
K.Faried,G.Harris,N.Jokic,E.Mudiay,J.Sampson,DEN,14,193,111.6,102.5,9.1,66.9,1.82,20.6,28.3,79.3,55.7,0.2,55.4,58.4,96.93,55.6
L.Deng,G.Dragic,J.Richardson,H.Whiteside,J.Winslow,MIA,22,190,111.3,105.5,5.7,59.8,1.91,18.6,29.9,75.9,54.5,0.1,53.7,56.1,98.43,57.4
C.Aldrich,J.Crawford,W.Johnson,P.Prigioni,A.Rivers,LAC,23,187,90.4,108.6,-18.3,57.8,1.21,15.6,16.7,63,38.4,0.2,45.5,49.4,96.56,36.5
L.Aldridge,D.Green,K.Leonard,T.Parker,D.West,SAS,25,185,104,97.4,6.6,59.1,2.41,19.1,19.4,82.3,49.7,0.1,50.4,52.9,96.13,52.8
O.Casspi,D.Cousins,R.Gay,B.McLemore,R.Rondo,SAC,23,178,103.8,104.4,-0.7,60.4,1.48,18.8,21.3,76.2,50.4,0.2,54.8,56.7,103.17,51.7
T.Hardaway Jr.,A.Horford,D.Schroder,M.Scott,T.Sefolosha,ATL,39,178,106,86.7,19.3,69.7,2.41,20.8,15.7,80.3,50,0.1,52.4,55.7,96.98,62.4
E.Bledsoe,T.Chandler,B.Knight,M.Morris,P.Tucker,PHX,13,177,105,100.2,4.8,46.6,1.26,14.3,23.6,79.8,51.5,0.1,51.1,54.7,100.11,52
A.Aminu,M.Leonard,D.Lillard,C.McCollum,M.Plumlee,POR,22,175,113,111.3,1.6,62.4,1.96,18.7,14.8,78.5,47.6,0.1,56.3,60.4,98.86,48.8
H.Barnes,S.Curry,D.Green,A.Iguodala,K.Thompson,GSW,37,172,142,95,47,65.9,2.22,22.5,27,71.6,54.1,0.1,72.3,75,107.67,73.2
K.Caldwell-Pope,A.Drummond,R.Jackson,M.Morris,A.Tolliver,DET,45,169,106.6,97.2,9.4,37.3,1.51,12,26.2,77.5,50.9,0.1,50,51.8,97.02,52.1
T.Allen,M.Conley,M.Gasol,J.Green,Z.Randolph,MEM,18,167,96.2,108,-11.8,47.9,1.1,13.9,28,71.5,48.7,0.2,46.5,50,90.72,43.4
E.Fournier,T.Harris,V.Oladipo,E.Payton,N.Vucevic,ORL,19,165,90.7,104,-13.3,64.2,1.51,17,20.6,75.6,48.1,0.1,43.3,47.8,98.49,43.4
M.Dellavedova,L.James,K.Love,T.Mozgov,J.Smith,CLE,35,163,109.5,109.4,0.1,61.4,1.56,18.5,25.8,76.6,53.1,0.2,55.3,57.8,92.91,49
N.Batum,P.Hairston,A.Jefferson,K.Walker,M.Williams,CHA,14,162,111.2,100.2,10.9,57.6,2.42,18.3,20.8,81.4,49.7,0.1,52.6,55.6,96.84,52.8
A.Baynes,S.Blake,S.Johnson,M.Morris,A.Tolliver,DET,27,160,104.6,92,12.5,55.1,1.4,16.9,20.5,83.3,52.6,0.2,54.1,56.4,95,56.8
W.Johnson,D.Jordan,L.Mbah a Moute,C.Paul,J.Redick,LAC,29,158,104.3,86,18.3,63.3,1.9,17.9,18.7,72,46.1,0.1,50.7,54,98.59,61.4
A.Bogut,S.Curry,D.Green,A.Iguodala,K.Thompson,GSW,46,156,124,92.2,31.8,71.9,1.89,22.6,22,69,50,0.2,66.1,67.8,97.86,69.4
M.Ellis,P.George,G.Hill,J.Hill,M.Turner,IND,25,156,101,104.7,-3.7,56.8,1.42,17.7,23.4,73.7,48.1,0.2,52.2,54.1,98.29,47.7
B.Bogdanovic,W.Ellington,B.Lopez,D.Sloan,T.Young,BKN,18,155,99.8,106,-6.2,55,1.61,16.5,15.1,72.1,44.4,0.1,49.2,53.3,97.07,45.7
B.Griffin,D.Jordan,C.Paul,J.Redick,L.Stephenson,LAC,16,155,115,95,19.9,63.1,2.24,21.2,16.4,75.8,49.8,0.1,60.2,61.6,102.81,64.1
L.Deng,G.Dragic,D.Wade,H.Whiteside,J.Winslow,MIA,31,154,103.5,90.7,12.8,43.8,1.14,13.7,26.2,77.1,52.7,0.2,49.8,53.9,100.22,59.2
L.James,K.Love,T.Mozgov,J.Smith,M.Williams,CLE,15,154,104.6,101.9,2.6,62.5,1.43,18.9,27.4,81,54.9,0.2,53.8,55.7,96.27,50.8
D.DeRozan,K.Lowry,N.Powell,L.Scola,J.Valanciunas,TOR,15,150,99.5,109.8,-10.2,50.9,1.06,15,25,83.2,55.2,0.2,50.8,54.3,91.11,43.9
J.Butler,P.Gasol,T.Gibson,N.Mirotic,D.Rose,CHI,11,146,111.5,110.7,0.7,55.8,1.57,18.3,25.7,69.2,50.2,0.2,55.6,59.2,97.56,51.9
N.Bjelica,G.Dieng,Z.LaVine,K.Martin,S.Muhammad,MIN,19,144,96.7,96.9,-0.1,55.1,1.06,14.2,18.4,80.9,51,0.2,45.7,53.3,101.73,49.9
Q.Acy,D.Cousins,R.Gay,B.McLemore,R.Rondo,SAC,13,143,106.2,104.9,1.3,63.8,1.46,19.9,17.9,79.9,52.1,0.2,57,60,103.73,53
H.Barnes,S.Curry,F.Ezeli,D.Green,K.Thompson,GSW,16,142,109.8,106.7,3.2,69,1.98,21.4,19.8,75,49.1,0.1,57.3,59.6,101.47,54.2
B.Biyombo,D.DeRozan,C.Joseph,K.Lowry,P.Patterson,TOR,44,142,115.8,97.5,18.3,38,1.09,11.7,29.4,71.8,54.1,0.1,54.2,59,92.93,61.9
A.Gordon,T.Harris,V.Oladipo,E.Payton,N.Vucevic,ORL,14,141,105,112.6,-7.6,56.8,1.86,16.9,29.5,79.2,51.7,0.1,47.6,51.1,98.35,44.1
B.Beal,M.Gortat,K.Humphries,O.Porter Jr.,J.Wall,WAS,10,139,95,104.4,-9.3,63,1.15,16.8,28.6,75,50.7,0.2,47.3,50.8,103.06,44.6
G.Antetokounmpo,O.Mayo,K.Middleton,G.Monroe,J.Parker,MIL,17,135,107.4,95.8,11.6,59.2,1.58,18.3,23.3,73.7,50.2,0.2,52.9,57.3,102.19,59.5
G.Antetokounmpo,O.Mayo,K.Middleton,J.Parker,M.Plumlee,MIL,12,133,106.1,103.4,2.7,64.7,1.83,20.2,27.8,73,49.4,0.2,52,54.5,98.62,49.6
A.Bradley,J.Jerebko,K.Olynyk,M.Smart,E.Turner,BOS,21,133,118.9,96.4,22.5,62.2,2.74,20,23.9,75.9,49.3,0.1,56.6,59.5,96.24,62.6
O.Casspi,D.Collison,D.Cousins,R.Gay,R.Rondo,SAC,30,133,113.6,100.7,12.9,63.7,1.53,18.4,37.2,74.5,57.9,0.2,53,57.9,99.89,60.1
A.Crabbe,E.Davis,M.Harkless,G.Henderson,C.McCollum,POR,26,132,100.8,99.5,1.2,54.4,1.56,15.8,27.9,75.9,50.2,0.1,46.9,50.4,96.51,49
A.Aminu,A.Crabbe,D.Lillard,C.McCollum,M.Plumlee,POR,37,131,109.8,102.3,7.5,52.5,2.04,14.5,24.6,73.7,47.5,0.1,45.9,53.8,100.82,55.6
O.Asik,A.Davis,T.Evans,A.Gee,E.Gordon,NOP,15,131,104.1,109.6,-5.5,64.7,1.78,18.6,26.6,76.1,50.2,0.1,48.9,52.9,93.66,47.6
B.Biyombo,D.Carroll,D.DeRozan,K.Lowry,L.Scola,TOR,15,130,102.6,110.3,-7.8,53.1,1.63,15.8,21.7,79.2,49.3,0.1,48.9,52.7,93.17,45.7
J.Crawford,W.Johnson,D.Jordan,C.Paul,J.Redick,LAC,36,130,118.2,98.2,20,60.5,2.09,17.8,31,71.2,50.2,0.1,53.1,57.7,99.69,63.6
N.Batum,J.Lin,K.Walker,M.Williams,C.Zeller,CHA,30,129,112.2,103.4,8.8,54.1,2.04,15.4,25,79.3,51.3,0.1,48.9,55,99.1,52
J.Butler,P.Gasol,D.McDermott,N.Mirotic,D.Rose,CHI,32,129,101.8,94.8,7,60.7,1.42,17.5,18.6,78.6,51.2,0.2,51.5,55.8,107.5,55.7
A.Crabbe,E.Davis,G.Henderson,M.Leonard,D.Lillard,POR,30,129,110,96.4,13.6,57.8,1.91,17.5,23.7,78.6,52.6,0.1,52.3,56,98.84,60
K.Durant,S.Ibaka,E.Kanter,D.Waiters,R.Westbrook,OKC,38,129,129.1,114.9,14.2,53.4,1.8,16.8,40.2,77.9,59.1,0.1,55.1,62.2,96.79,58.1
E.Bledsoe,B.Knight,A.Len,J.Leuer,P.Tucker,PHX,13,128,100.5,97,3.6,57.8,1.19,17.4,33.6,73,53.8,0.2,51.5,53.1,98.09,52.1
A.Bradley,A.Johnson,J.Sullinger,I.Thomas,E.Turner,BOS,19,127,108.6,97.4,11.2,56.8,1.75,17.4,27,84.8,57.1,0.1,51.3,55.3,100.28,57.8
D.Booker,T.Chandler,B.Knight,A.Len,P.Tucker,PHX,9,126,93.2,111.5,-18.3,65.6,1.15,17.4,24.8,77.8,52.7,0.2,47.3,51.8,101.72,41.8
S.Curry,F.Ezeli,D.Green,A.Iguodala,K.Thompson,GSW,34,126,122.5,92.3,30.2,69.7,2.02,21.7,24.5,77.6,54.7,0.1,62.1,65,105.83,68.7
K.Garnett,K.Martin,R.Rubio,K.Towns,A.Wiggins,MIN,12,122,100.2,104.3,-4.1,71.1,1.88,19.1,21.2,70.9,46.5,0.1,46.8,52.2,97.58,50.3
M.Gortat,M.Morris,O.Porter Jr.,G.Temple,J.Wall,WAS,19,122,96.4,92.3,4,67,1.43,18.9,20.4,84.9,51.6,0.2,50.2,52.7,99.55,52.5
L.Aldridge,T.Duncan,M.Ginobili,K.Leonard,T.Parker,SAS,31,121,107.8,92.2,15.6,64,2,19.1,27.6,81.5,54.9,0.1,49.3,54.6,95.68,60.6
K.Faried,D.Gallinari,G.Harris,J.Hickson,E.Mudiay,DEN,9,121,101.4,108.5,-7.1,63.7,1.91,18.8,30.7,80.4,55.3,0.1,48.7,50.5,97.09,48.3
J.Dudley,M.Gortat,K.Oubre Jr.,G.Temple,J.Wall,WAS,15,115,105.3,105.1,0.2,68.6,2,21.3,21,67.5,45.5,0.1,55,55.7,100.07,49.7
L.Aldridge,B.Diaw,M.Ginobili,K.Leonard,P.Mills,SAS,41,114,113.2,97.9,15.3,66.7,2.13,21.1,18.5,74.3,48.2,0.1,56,60.1,95.15,59.4
L.Galloway,J.Grant,K.O'Quinn,L.Thomas,D.Williams,NYK,27,114,96.2,102.6,-6.4,60.3,1.24,15.4,25,80.4,53,0.2,45.3,51,97.91,47.3
W.Cauley-Stein,D.Cousins,R.Gay,B.McLemore,R.Rondo,SAC,13,113,112.1,100.3,11.8,61.4,1.63,18.9,27.5,83.3,56.2,0.2,55,58.5,100.55,57.5
D.Favors,G.Hayward,R.Hood,T.Lyles,R.Neto,UTA,19,113,108.2,97.9,10.3,53.5,1.59,16.3,22.4,79.4,52.2,0.1,51.9,55.9,91.32,55.9
M.Dunleavy,P.Gasol,T.Gibson,E.Moore,D.Rose,CHI,9,112,115.4,112.4,3,60.6,2.22,19.2,24,65.5,47,0.1,54.5,58.7,99.09,53.7
T.Ariza,P.Beverley,J.Harden,D.Howard,J.Smith,HOU,18,110,107.1,101,6.1,64.8,1.84,17.6,28.6,83.5,53.2,0.1,48.1,53.3,102.99,53.2
A.Brown,J.Clarkson,R.Hibbert,L.Nance Jr.,L.Williams,LAL,7,109,93.8,97.4,-3.6,46.2,1.24,12.4,21,75.9,47.6,0.1,42.8,47.7,98.55,46.2
R.Gobert,G.Hayward,R.Hood,T.Lyles,R.Neto,UTA,17,109,113.2,102.5,10.7,53.6,2.05,17.7,19.5,79.8,50,0.1,56.3,58.1,86.25,55.3
M.Belinelli,D.Collison,D.Cousins,R.Gay,R.Rondo,SAC,26,108,111.1,106.1,4.9,68.7,2.19,20.4,22.3,71.6,46.8,0.1,56,57.4,105.5,56.2
R.Covington,N.Noel,J.Okafor,I.Smith,N.Stauskas,PHI,12,106,92.7,109.7,-16.9,52.9,1.02,15.6,15.4,76.7,47.9,0.2,49.2,53.4,103.07,42.5
K.Bazemore,A.Horford,P.Millsap,T.Sefolosha,J.Teague,ATL,44,105,99,106,-6.9,59.7,1.54,15.4,20.6,72.2,45.7,0.1,45.7,50.8,101.16,42.6
C.Bosh,G.Dragic,G.Green,D.Wade,H.Whiteside,MIA,14,105,108.5,99.4,9.1,53.4,1.42,17.2,29.8,68.6,51.3,0.2,54.3,56.5,93.43,59.2
R.Covington,J.Grant,N.Noel,I.Smith,N.Stauskas,PHI,16,105,103.6,99.1,4.5,67.5,1.75,19.1,13.7,75,42.5,0.1,52.2,56.6,103.35,51.8
M.Ellis,P.George,G.Hill,S.Hill,I.Mahinmi,IND,20,105,119.3,94.9,24.4,61.3,2.38,19.1,30,83.3,58.3,0.1,54.2,58.8,100.89,66.7
A.Afflalo,C.Anthony,J.Calderon,R.Lopez,L.Thomas,NYK,28,103,107,100.4,6.5,51.2,1.07,16.2,19.5,81.4,54,0.2,55.7,60.9,98.72,52.3
B.Biyombo,D.DeRozan,K.Lowry,T.Ross,L.Scola,TOR,18,103,104.5,107.6,-3.1,50,1.29,15.4,20.2,79.2,52.4,0.2,52.6,56.1,94.01,48.4
B.Bogdanovic,J.Johnson,S.Larkin,B.Lopez,T.Young,BKN,22,103,109.6,109.6,0,56.6,1.68,17.4,26.4,72.9,52.1,0.1,51.7,56.2,91.76,49.9
R.Felton,W.Matthews,Z.Pachulia,C.Parsons,D.Williams,DAL,22,103,111.9,106.1,5.8,55.3,1.62,16.2,26.4,72.2,50,0.1,51.2,56.5,94.78,50.6
J.Barea,W.Matthews,D.Nowitzki,Z.Pachulia,C.Parsons,DAL,8,102,122.1,110.2,12,56.3,3.77,18.6,22,73.8,46.9,0.1,56,58.9,91.78,54.3
B.Biyombo,D.DeRozan,K.Lowry,P.Patterson,T.Ross,TOR,33,102,95.4,108.2,-12.7,47.8,1.1,12.7,20.7,74.7,47.7,0.1,45.6,50.6,98.1,41
A.Drummond,E.Ilyasova,R.Jackson,S.Johnson,M.Morris,DET,21,102,107.4,111.9,-4.5,50,1.4,15.5,23.7,87.5,50.9,0.1,53.4,55.6,96.7,44.5
A.Bradley,J.Jerebko,M.Smart,E.Turner,T.Zeller,BOS,19,101,105.3,106,-0.7,59.5,1.79,17.4,33.3,67.7,50.8,0.1,48.2,51.9,97.18,52.8
B.Griffin,W.Johnson,D.Jordan,C.Paul,J.Redick,LAC,17,100,104.9,97.4,7.5,63,2.13,18.2,22,78.4,49.7,0.1,49.4,53,97.62,56.7
J.Clarkson,R.Hibbert,J.Randle,D.Russell,M.World Peace,LAL,18,99,90.2,104.1,-13.9,56.1,1.32,14.5,19.6,67.3,43.8,0.1,42.8,46.8,97.05,42
M.Conley,M.Gasol,J.Green,C.Lee,Z.Randolph,MEM,25,98,98.8,115.9,-17.2,66.7,2.29,17.9,22,72.6,43.4,0.1,44.1,49.1,92.32,41.6
E.Fournier,C.Frye,T.Harris,V.Oladipo,N.Vucevic,ORL,13,98,101.3,102.8,-1.4,58.8,1.74,18.2,20.9,77.2,47.9,0.1,50.6,53.1,94.27,48.2
D.Arthur,D.Gallinari,G.Harris,N.Jokic,E.Mudiay,DEN,10,97,113.3,99.2,14.2,65.9,2.16,20.2,23.1,77.6,51.5,0.1,53.9,58.8,96.79,59.6
A.Bradley,J.Crowder,K.Olynyk,J.Sullinger,I.Thomas,BOS,23,97,115.3,94.5,20.8,61.4,2.16,18.6,25.8,77.2,51.4,0.1,52.4,57.9,103.72,63.1
D.DeRozan,C.Joseph,K.Lowry,P.Patterson,J.Valanciunas,TOR,30,97,125.6,111.8,13.8,47.4,1.71,14.4,28.4,82.9,56,0.1,56.7,62.8,93.12,59.7
D.Booker,T.Chandler,A.Goodwin,M.Morris,P.Tucker,PHX,6,96,103.5,114.2,-10.7,60.6,1.19,17,25.3,75,52.1,0.2,52.3,56.8,95.42,45.4
