first_pos,second_pos,third_pos,fourth_pos,fifth_pos,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
K.Durant,A.Iguodala,S.Livingston,K.Thompson,D.West,GSW,35,167,111.7,98.4,13.3,68.9,2.12,22.5,17.7,78.9,52.3,0.1,58,60.7,96.65,60.6
G.Dragic,J.Johnson,T.Johnson,D.Waiters,H.Whiteside,MIA,20,69,98,111.9,-14,52.8,1.27,13.9,26.8,77.6,51.4,0.1,44.8,49.9,104.12,45.6
G.Dragic,W.Ellington,R.McGruder,J.McRoberts,H.Whiteside,MIA,10,95,108,113.9,-5.9,69.5,2.04,21,31.3,69.3,50.9,0.1,52.6,54.6,94.76,49.5
G.Dragic,W.Ellington,J.Johnson,T.Johnson,H.Whiteside,MIA,14,53,100.1,107.3,-7.2,46.3,1.06,13.8,22.4,76.8,51.4,0.2,51.1,53.5,98.55,44.7
G.Dragic,W.Ellington,J.Johnson,T.Johnson,W.Reed,MIA,14,69,98.9,101.3,-2.4,60,1.5,16.9,16.4,90,51.2,0.1,50.4,53.3,104.88,47.7
G.Dieng,R.Rubio,B.Rush,K.Towns,A.Wiggins,MIN,20,271,112.3,105.3,7,58.8,1.69,18.5,27.6,76.1,53.8,0.1,54,58.3,96.25,56.3
G.Dieng,S.Muhammad,R.Rubio,K.Towns,A.Wiggins,MIN,35,126,117.3,102.3,15.1,65.5,2.29,20.3,33.9,78.2,56.2,0.1,54.2,58,100.2,61.7
G.Dieng,Z.LaVine,R.Rubio,K.Towns,A.Wiggins,MIN,41,880,107.5,109.7,-2.3,63.7,1.76,19,25.6,76.6,50.8,0.1,51.7,55.7,96.24,50.1
G.Dieng,K.Dunn,Z.LaVine,K.Towns,A.Wiggins,MIN,28,159,112.4,118.5,-6.1,53.2,1.56,16.7,35,81.4,54.3,0.1,52.5,55.9,98.15,44.2
B.Diaw,R.Gobert,G.Hayward,J.Ingles,S.Mack,UTA,13,63,120.6,117.5,3.1,58,1.61,18.3,22,78.7,52.3,0.2,59.5,65.2,90.77,53.5
B.Diaw,R.Gobert,G.Hayward,G.Hill,J.Ingles,UTA,18,68,103.8,108.8,-5,53.3,1.41,14.4,21.9,83.1,51.2,0.1,47.1,53.1,93.26,51.2
B.Diaw,R.Gobert,G.Hayward,G.Hill,R.Hood,UTA,17,86,118.2,88.3,29.9,54.3,2.11,16.7,25.7,86.7,58.8,0.1,52.4,59.1,94.01,69.9
B.Diaw,D.Exum,R.Gobert,G.Hayward,R.Hood,UTA,10,91,114,83.2,30.8,58.3,2.1,19,18.2,74.7,51,0.1,56.6,59.9,88.26,71.9
L.Deng,T.Mozgov,J.Randle,D.Russell,N.Young,LAL,28,403,110.8,103.7,7.1,62,1.98,18.8,25.1,77.3,50.3,0.1,53.2,56,97.98,50.6
M.Delaney,T.Hardaway Jr.,P.Millsap,M.Muscala,T.Sefolosha,ATL,17,59,122.3,97,25.3,61.5,2.13,20.5,16.7,77.8,48.3,0.1,62.9,65.7,98.16,62.1
D.Dedmon,M.Ginobili,D.Lee,P.Mills,J.Simmons,SAS,23,73,109.3,77.7,31.5,65.6,1.33,19,32.7,74.7,58,0.2,55.2,59.3,102.51,74.9
D.DeRozan,K.Lowry,N.Powell,P.Siakam,J.Valanciunas,TOR,8,70,104,106.4,-2.4,53.4,1.55,17.2,13.1,68.4,39.8,0.1,55.6,56.8,99.25,45.3
D.DeRozan,C.Joseph,L.Nogueira,P.Patterson,T.Ross,TOR,22,90,110,108.6,1.4,37.1,1.44,10.7,27.1,67.8,46.8,0.1,45.5,52.8,102.2,49.8
E.Davis,M.Harkless,D.Lillard,C.McCollum,M.Plumlee,POR,13,164,122.1,122.1,0,61.8,2.49,20.3,32.5,83.6,55.3,0.1,57.1,59.3,98.26,47.4
A.Davis,B.Hield,S.Hill,J.Holiday,T.Jones,NOP,13,122,108.2,99.3,8.9,57.3,2.17,18.7,15,74.1,46.3,0.1,54.4,56.5,100.85,53.9
S.Curry,D.Green,P.McCaw,Z.Pachulia,K.Thompson,GSW,8,68,113.2,98.5,14.7,73.8,2.14,21.5,27.3,73.4,50,0.1,54.1,57.8,103.28,55.8
S.Curry,D.Green,A.Iguodala,J.McGee,K.Thompson,GSW,28,68,133,115.9,17,81.7,2.64,25.5,35.7,71,55.2,0.1,63.8,67.4,106.93,60.2
S.Curry,K.Durant,D.Green,Z.Pachulia,K.Thompson,GSW,43,532,120.3,97.1,23.1,77.6,2.4,24.2,23.7,80.8,54.9,0.1,60.5,63.7,103.65,63.8
S.Curry,K.Durant,D.Green,J.McGee,K.Thompson,GSW,24,126,124.4,92.2,32.1,72.7,3.31,23.8,20.7,80.1,54,0.1,61,63.5,107.25,67.2
S.Curry,K.Durant,D.Green,A.Iguodala,K.Thompson,GSW,45,224,122.4,98.4,23.9,70.5,2.25,21.5,19.2,69.3,48.6,0.1,59.1,65.4,107.01,67.8
D.Cunningham,A.Davis,B.Hield,S.Hill,J.Holiday,NOP,18,189,106.5,95.9,10.6,59.5,1.96,18.5,16,75.8,46.8,0.1,53.8,56.1,97.77,55.8
J.Crowder,A.Horford,K.Olynyk,M.Smart,I.Thomas,BOS,22,98,110.1,120.6,-10.4,64.8,1.64,17,18,67.4,42.7,0.1,51.2,58.4,99,47.6
J.Crowder,A.Horford,A.Johnson,M.Smart,I.Thomas,BOS,22,166,119.6,105.1,14.5,69.1,2.41,20.7,25.9,74.6,48.4,0.1,56.6,60,95.55,54.4
J.Crowder,A.Horford,J.Jerebko,M.Smart,I.Thomas,BOS,16,55,120.9,103.4,17.5,66.7,1.88,19.5,17.5,76.5,50.5,0.1,58.3,65.5,102.17,58.7
J.Crawford,B.Griffin,D.Jordan,J.Redick,A.Rivers,LAC,15,55,116.6,106.4,10.2,57.8,2.17,16.1,23.5,81.1,52.9,0.1,53.6,58.3,102.76,59.5
J.Crawford,B.Griffin,D.Jordan,C.Paul,A.Rivers,LAC,21,67,108.9,114.9,-6.1,55.8,1.32,16.3,13.2,81.8,48.1,0.2,57.2,60.9,99.6,45.8
